actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-02-13T00:41:55.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-02-13T00:41:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-02-13T00:41:57.4Z,1,REGULAR,jumpball,recovered,[],1628404,,,1610612752,0,0,2025-02-13T00:41:57Z,40000,False,,,0,,Jump Ball K. Towns vs. O. Okongwu: Tip to J. Hart,"[1628404, 1626157, 1630168]",1610612752.0,NYK,startperiod,J. Hart,1628404.0,Hart,J. Hart,Towns,1626157.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-02-13T00:42:17.9Z,1,REGULAR,foul,personal,[],1631243,,,1610612752,0,0,2025-02-13T00:42:22Z,70000,False,,,0,,M. Gueye personal FOUL (1 PF),"[1631243, 1628404]",1610612737.0,ATL,,,,Gueye,M. Gueye,,,,,In The Paint (Non-RA),0-8 Center,1627524.0,1.0,0.0,Hart,1628404.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2025-02-13T00:42:36.9Z,1,REGULAR,2pt,Jump Shot,[],1628969,94.82588699080158,33.33333333333333,1610612752,2,0,2025-02-13T00:42:48Z,90000,False,-83.0,-4.0,1,right,M. Bridges 8' fadeaway Jump Shot (2 PTS) (J. Brunson 1 AST),"[1628969, 1628973]",1610612752.0,NYK,fadeaway,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,,,,8.34,Made,2.0,J. Brunson,1628973.0,1.0,,,,,,,,,
11,PT11M23.00S,2025-02-13T00:42:50.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629027,5.995400788436268,51.470588235294116,1610612737,2,0,2025-02-13T01:54:10Z,110000,False,-7.0,4.0,1,left,MISS T. Young driving finger roll Layup,[1629027],1610612737.0,ATL,driving finger roll,,,Young,T. Young,,,,,Restricted Area,0-8 Center,,,,,,0.84,Missed,,,,,,,,,,,,,
12,PT11M21.00S,2025-02-13T00:42:52.1Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,2,0,2025-02-13T00:42:55Z,120000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M17.00S,2025-02-13T00:42:56.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,70.12155059132719,75.98039215686273,1610612752,2,0,2025-02-13T00:43:00Z,130000,False,130.0,228.0,1,right,MISS M. Bridges 26' running pullup 3PT,[1628969],1610612752.0,NYK,running pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,26.28,Missed,,,,,,,,,,,,,
14,PT11M13.00S,2025-02-13T00:43:00.3Z,1,REGULAR,rebound,defensive,[],1630700,,,1610612737,2,0,2025-02-13T00:43:00Z,140000,False,,,0,,D. Daniels REBOUND (Off:0 Def:1),[1630700],1610612737.0,ATL,,,,Daniels,D. Daniels,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT11M06.00S,2025-02-13T00:43:07.8Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,2,0,2025-02-13T00:43:11Z,150000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1626157]",1610612737.0,ATL,,,,Young,T. Young,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,1.0,Towns,1626157.0,,
16,PT11M06.00S,2025-02-13T00:43:07.8Z,1,REGULAR,steal,,[],1626157,,,1610612752,2,0,2025-02-13T00:43:09Z,160000,False,,,0,,K. Towns STEAL (1 STL),[1626157],1610612752.0,NYK,,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
