actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-23T00:10:11.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-23T00:10:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-12-23T00:10:14.8Z,1,REGULAR,jumpball,recovered,[],203471,,,1610612761,0,0,2023-12-23T00:10:14Z,40000,False,,,0,,Jump Ball J. Poeltl vs. J. Embiid: Tip to D. Schroder,"[203471, 1627751, 203954]",1610612761.0,TOR,startperiod,D. Schroder,203471.0,Schroder,D. Schroder,Poeltl,1627751.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-12-23T00:10:26.7Z,1,REGULAR,2pt,Jump Shot,[],1627783,75.607752956636,56.61764705882353,1610612761,0,0,2023-12-23T00:10:30Z,70000,False,33.0,177.0,1,right,MISS P. Siakam 17' pullup Shot,[1627783],1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,17.99,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-12-23T00:10:28.7Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,0,0,2023-12-23T00:10:30Z,80000,False,,,0,,K. Oubre Jr. REBOUND (Off:0 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M23.00S,2023-12-23T00:10:50.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,18.577529566360056,59.31372549019608,1610612755,0,0,2023-12-23T00:12:42Z,90000,False,-47.0,122.0,1,left,MISS J. Embiid 13' pullup Shot,[203954],1610612755.0,PHI,pullup,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,13.07,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-12-23T00:10:52.5Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,0,2023-12-23T00:12:42Z,100000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M18.00S,2023-12-23T00:12:43.7Z,1,REGULAR,foul,personal,['2freethrow'],1630178,,,1610612761,0,0,2023-12-23T00:12:53Z,140000,False,,,0,,T. Maxey clear-path personal FOUL (1 PF) (Siakam 2 FT),"[1630178, 1627783]",1610612755.0,PHI,clear-path,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,202053.0,1.0,0.0,Siakam,1627783.0,,,,,,,,,
17,PT11M18.00S,2023-12-23T00:12:54.7Z,1,REGULAR,freethrow,1 of 2,[],1627783,,,1610612761,0,1,2023-12-23T00:12:54Z,170000,False,,,0,,P. Siakam clear-path Free Throw 1 of 2 (1 PTS),[1627783],1610612761.0,TOR,clear-path,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
18,PT11M18.00S,2023-12-23T00:12:57.9Z,1,REGULAR,freethrow,2 of 2,[],1627783,,,1610612761,0,2,2023-12-23T00:12:57Z,180000,False,,,0,,P. Siakam clear-path Free Throw 2 of 2 (2 PTS),[1627783],1610612761.0,TOR,clear-path,,,Siakam,P. Siakam,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
19,PT11M09.00S,2023-12-23T00:13:24.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627751,90.8508541392904,52.94117647058824,1610612761,0,4,2023-12-23T00:13:29Z,190000,False,15.0,34.0,1,right,J. Poeltl Layup (2 PTS) (S. Barnes 1 AST),"[1627751, 1630567]",1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,Restricted Area,0-8 Center,3.66,Made,,,,,,,,,,2.0,S. Barnes,1630567.0,1.0,,,,,
