actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-18T23:43:40.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-18T23:43:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-18T23:43:42.8Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-03-18T23:43:42Z,40000,False,,,0,,Jump Ball M. Bamba vs. B. Adebayo: Tip to T. Maxey,"[1630178, 1628964, 1628389]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Bamba,1628964.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-03-18T23:43:56.8Z,1,REGULAR,2pt,Jump Shot,[],1630178,3.4986859395532193,17.647058823529413,1610612755,2,0,2024-03-18T23:44:04Z,70000,False,162.0,-20.0,1,left,T. Maxey 16' pullup Jump Shot (2 PTS) (M. Bamba 1 AST),"[1630178, 1628964]",1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Right,16.3,Made,2.0,M. Bamba,1628964.0,1.0,,,,,,,,,,,,,,
9,PT11M28.00S,2024-03-18T23:44:11.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631170,93.24901445466492,50.73529411764706,1610612748,2,2,2024-03-18T23:44:15Z,90000,False,4.0,11.0,1,right,J. Jaquez Jr. cutting Layup (2 PTS) (B. Adebayo 1 AST),"[1631170, 1628389]",1610612748.0,MIA,cutting,,,Jaquez Jr.,J. Jaquez Jr.,,,,,Restricted Area,0-8 Center,1.16,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
11,PT11M08.00S,2024-03-18T23:44:31.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],200768,13.485545335085414,44.6078431372549,1610612755,2,2,2024-03-18T23:44:39Z,110000,False,27.0,74.0,1,left,MISS K. Lowry 7' driving floating Shot,[200768],1610612755.0,PHI,driving floating,,,Lowry,K. Lowry,,,,,In The Paint (Non-RA),0-8 Center,7.91,Missed,,,,,,,,,,,,,,,,,,
12,PT11M07.00S,2024-03-18T23:44:32.9Z,1,REGULAR,rebound,defensive,[],1629130,,,1610612748,2,2,2024-03-18T23:44:39Z,120000,False,,,0,,D. Robinson REBOUND (Off:0 Def:1),[1629130],1610612748.0,MIA,,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M53.00S,2024-03-18T23:44:47.8Z,1,REGULAR,turnover,out-of-bounds,[],1626179,,,1610612748,2,2,2024-03-18T23:44:53Z,130000,False,,,0,,T. Rozier bad pass out-of-bounds TURNOVER (1 TO),[1626179],1610612748.0,MIA,bad pass,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1662.0,1.0,,,,,,,,
14,PT10M39.00S,2024-03-18T23:45:03.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,35.56176084099869,55.88235294117647,1610612755,2,2,2024-03-18T23:45:08Z,140000,False,-29.0,282.0,1,left,MISS T. Maxey 28' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,28.33,Missed,,,,,,,,,,,,,,,,,,
15,PT10M37.00S,2024-03-18T23:45:05.2Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,2,2,2024-03-18T23:45:08Z,150000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M33.00S,2024-03-18T23:45:10.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626179,93.51182654402102,50.49019607843137,1610612748,2,4,2024-03-18T23:45:14Z,160000,False,2.0,8.0,1,right,T. Rozier running Layup (2 PTS) (B. Adebayo 2 AST),"[1626179, 1628389]",1610612748.0,MIA,running,,,Rozier,T. Rozier,,,,,Restricted Area,0-8 Center,0.89,Made,2.0,B. Adebayo,1628389.0,2.0,,,,,,,,,,,,,,
