actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-25T18:11:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-25T18:11:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2024-02-25T18:11:41.4Z,1,REGULAR,jumpball,recovered,[],1627741,,,1610612755,0,0,2024-02-25T18:11:41Z,40000,False,,,0,,Jump Ball P. Reed vs. B. Lopez: Tip to B. Hield,"[1627741, 1630194, 201572]",1610612755.0,PHI,startperiod,B. Hield,1627741.0,Hield,B. Hield,Reed,1630194.0,Lopez,201572.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-02-25T18:11:54.4Z,1,REGULAR,2pt,Jump Shot,[],1630194,19.66162943495401,29.65686274509804,1610612755,0,0,2024-02-25T18:11:59Z,70000,False,102.0,132.0,1,left,MISS P. Reed 16' pullup Shot,[1630194],1610612755.0,PHI,pullup,,,Reed,P. Reed,,,,,Mid-Range,16-24 Right Center,16.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-02-25T18:11:57.4Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2024-02-25T18:11:59Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2024-02-25T18:12:03.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203081,92.9862023653088,49.01960784313725,1610612749,0,2,2024-02-25T18:12:15Z,90000,False,-5.0,13.0,1,right,D. Lillard running reverse Layup (2 PTS),[203081],1610612749.0,MIL,running reverse,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.43,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M19.00S,2024-02-25T18:12:17.1Z,1,REGULAR,turnover,bad pass,[],1630194,,,1610612755,0,2,2024-02-25T18:12:48Z,100000,False,,,0,,P. Reed bad pass TURNOVER (1 TO),"[1630194, 203081]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Lillard,203081.0,,,,,,,,,,
11,PT11M19.00S,2024-02-25T18:12:17.1Z,1,REGULAR,steal,,[],203081,,,1610612749,0,2,2024-02-25T18:12:19Z,110000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2024-02-25T18:12:21.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203081,93.64323258869908,52.20588235294118,1610612749,0,4,2024-02-25T18:12:25Z,120000,False,11.0,7.0,1,right,D. Lillard running finger roll Layup (4 PTS),[203081],1610612749.0,MIL,running finger roll,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,1.32,Made,,,,,4.0,,,,,,,,,,,,,
13,PT10M55.00S,2024-02-25T18:12:39.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,7.5722733245729295,48.529411764705884,1610612755,2,4,2024-02-25T18:12:44Z,130000,False,7.0,19.0,1,left,T. Harris driving Layup (2 PTS) (T. Maxey 1 AST),"[202699, 1630178]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,2.01,Made,,,,,2.0,,,,T. Maxey,1630178.0,1.0,,,,,,,
46,PT10M41.00S,2024-02-25T18:12:57.3Z,1,REGULAR,turnover,lost ball,[],203507,,,1610612749,2,4,2024-02-25T18:16:49Z,175000,False,,,0,,G. Antetokounmpo lost ball TURNOVER (1 TO),"[203507, 1630178]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,1.0,Maxey,1630178.0,,,,,,,,,,
