actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-02-03T23:10:46.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-03T23:10:46Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-03T23:10:50.9Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2024-02-03T23:10:51Z,40000,False,,,0,,Jump Ball N. Claxton vs. P. Reed: Tip to C. Johnson,"[1629661, 1629651, 1630194]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2024-02-03T23:11:07.0Z,1,REGULAR,2pt,Jump Shot,[],1630560,83.36070959264126,30.392156862745097,1610612751,0,2,2024-02-03T23:11:11Z,70000,False,-98.0,104.0,1,right,C. Thomas 14' pullup Jump Shot (2 PTS) (N. Claxton 1 AST),"[1630560, 1629651]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,14.28,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2024-02-03T23:11:23.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,33.295006570302235,67.64705882352942,1610612755,0,2,2024-02-03T23:11:27Z,90000,False,-88.0,260.0,1,left,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,27.5,Missed,,,,,,,,,,,,,,,,,,
10,PT11M19.00S,2024-02-03T23:11:26.1Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,0,2,2024-02-03T23:11:27Z,100000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M07.00S,2024-02-03T23:11:38.8Z,1,REGULAR,3pt,Jump Shot,[],1628969,70.87713534822602,80.63725490196079,1610612751,0,5,2024-02-03T23:12:21Z,110000,False,153.0,221.0,1,right,M. Bridges 26' 3PT pullup (3 PTS) (C. Thomas 1 AST),"[1628969, 1630560]",1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,26.92,Made,3.0,C. Thomas,1630560.0,1.0,,,,,,,,,,,,,,
13,PT10M53.00S,2024-02-03T23:11:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,7.013797634691201,50.245098039215684,1610612755,2,5,2024-02-03T23:11:58Z,130000,False,-1.0,13.0,1,left,T. Maxey driving finger roll Layup (2 PTS),[1630178],1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,1.35,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M40.00S,2024-02-03T23:12:06.2Z,1,REGULAR,turnover,bad pass,[],1630560,,,1610612751,2,5,2024-02-03T23:12:10Z,140000,False,,,0,,C. Thomas bad pass TURNOVER (1 TO),"[1630560, 202694]",1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,8-16 Left,,,,,,,,,,,1.0,Morris Sr.,202694.0,,,,,,,
15,PT10M40.00S,2024-02-03T23:12:06.2Z,1,REGULAR,steal,,[],202694,,,1610612755,2,5,2024-02-03T23:12:08Z,150000,False,,,0,,M. Morris Sr. STEAL (1 STL),[202694],1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2024-02-03T23:12:12.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,9.116294349540084,50.0,1610612755,2,5,2024-02-03T23:12:21Z,160000,False,0.0,33.0,1,left,MISS K. Oubre Jr. driving floating Shot,[1626162],1610612755.0,PHI,driving floating,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,3.32,Missed,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2024-02-03T23:12:16.9Z,1,REGULAR,rebound,offensive,[],1626162,,,1610612755,2,5,2024-02-03T23:21:06Z,170000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:0),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,
62,PT10M28.00S,2024-02-03T23:12:17.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1626162,7.408015768725363,49.50980392156863,1610612755,2,5,2024-02-03T23:21:06Z,175000,False,2.0,17.0,1,left,MISS K. Oubre Jr. tip Layup - blocked,"[1626162, 1629651]",1610612755.0,PHI,tip,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1.73,Missed,,,,,,,,,,,,Claxton,1629651.0,,,,,
63,PT10M28.00S,2024-02-03T23:12:17.2Z,1,REGULAR,block,,[],1629651,,,1610612755,2,5,2024-02-04T00:34:30Z,177500,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
64,PT10M28.00S,2024-02-03T23:12:17.2Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,2,5,2024-02-04T00:34:30Z,178750,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Restricted Area,0-8 Center,,,,,,,62.0,1.0,1.0,0.0,,,,,,,,,,
18,PT10M24.00S,2024-02-03T23:12:21.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,92.29632063074901,3.9215686274509807,1610612751,2,5,2024-02-03T23:12:30Z,180000,False,-230.0,20.0,1,right,MISS M. Bridges running 3PT,[1628969],1610612751.0,BKN,running,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.13,Missed,,,,,,,,,,,,,,,,,,
19,PT10M21.00S,2024-02-03T23:12:24.6Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,2,5,2024-02-03T23:12:30Z,190000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Left Corner 3,24+ Left,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT10M05.00S,2024-02-03T23:12:40.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630194,17.000657030223394,56.61764705882353,1610612755,4,5,2024-02-03T23:12:44Z,200000,False,-33.0,107.0,1,left,P. Reed 11' Jump Shot (2 PTS) (M. Morris Sr. 1 AST),"[1630194, 202694]",1610612755.0,PHI,,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,11.23,Made,2.0,M. Morris Sr.,202694.0,1.0,,,,,,,,,,,,,,
22,PT09M54.00S,2024-02-03T23:12:55.2Z,1,REGULAR,foul,personal,[],202694,,,1610612751,4,5,2024-02-03T23:13:07Z,220000,False,,,0,,M. Morris Sr. personal FOUL (1 PF),"[202694, 1629661]",1610612755.0,PHI,,,,Morris Sr.,M. Morris Sr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,202058.0,1.0,0.0,Johnson,1629661.0
24,PT09M49.00S,2024-02-03T23:13:19.6Z,1,REGULAR,3pt,Jump Shot,[],203915,92.29632063074901,97.05882352941177,1610612751,4,5,2024-02-03T23:13:24Z,240000,False,235.0,20.0,1,right,MISS S. Dinwiddie 3PT,[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Right Corner 3,24+ Right,23.61,Missed,,,,,,,,,,,,,,,,,,
25,PT09M45.00S,2024-02-03T23:13:23.6Z,1,REGULAR,rebound,defensive,[],1626162,,,1610612755,4,5,2024-02-03T23:13:24Z,250000,False,,,0,,K. Oubre Jr. REBOUND (Off:1 Def:1),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Right Corner 3,24+ Right,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,,
26,PT09M38.00S,2024-02-03T23:13:30.4Z,1,REGULAR,3pt,Jump Shot,[],1626162,31.061103810775293,77.20588235294117,1610612755,4,5,2024-02-03T23:13:35Z,260000,False,-136.0,239.0,1,left,MISS K. Oubre Jr. 27' pullup 3PT,[1626162],1610612755.0,PHI,pullup,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Left Center,27.54,Missed,,,,,,,,,,,,,,,,,,
27,PT09M35.00S,2024-02-03T23:13:33.4Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,4,5,2024-02-03T23:13:35Z,270000,False,,,0,,N. Claxton REBOUND (Off:0 Def:2),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Above the Break 3,24+ Left Center,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,
28,PT09M26.00S,2024-02-03T23:13:42.5Z,1,REGULAR,2pt,Jump Shot,[],1629661,76.65900131406045,45.833333333333336,1610612751,4,7,2024-02-03T23:13:46Z,280000,False,-21.0,167.0,1,right,C. Johnson 16' pullup Jump Shot (2 PTS),[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Center,16.82,Made,2.0,,,,,,,,,,,,,,,,,
29,PT09M05.00S,2024-02-03T23:14:03.6Z,1,REGULAR,3pt,Jump Shot,[],1626162,4.911300919842304,97.30392156862744,1610612755,4,7,2024-02-03T23:14:10Z,290000,False,-237.0,-6.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,,
30,PT09M02.00S,2024-02-03T23:14:06.6Z,1,REGULAR,rebound,offensive,[],1630194,,,1610612755,4,7,2024-02-03T23:14:10Z,300000,False,,,0,,P. Reed REBOUND (Off:1 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Left Corner 3,24+ Left,,,,,,,29.0,2.0,1.0,1.0,,,,,,,,,,
