actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-11-09T00:10:48.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-09T00:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2023-11-09T00:10:54.3Z,1,REGULAR,jumpball,recovered,[],1626162,,,1610612755,0,0,2023-11-09T00:10:54Z,40000,False,,,0,,Jump Ball J. Embiid vs. K. Porzingis: Tip to K. Oubre Jr.,"[1626162, 203954, 204001]",1610612755.0,PHI,startperiod,K. Oubre Jr.,1626162.0,Oubre Jr.,K. Oubre Jr.,Embiid,203954.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M51.00S,2023-11-09T00:10:56.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626162,7.802233902759525,52.69607843137255,1610612755,2,0,2023-11-09T00:11:02Z,70000,False,-13.0,21.0,1,left,K. Oubre Jr. DUNK (2 PTS),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,2.48,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M34.00S,2023-11-09T00:11:13.3Z,1,REGULAR,2pt,Jump Shot,[],1627759,69.72733245729303,50.49019607843137,1610612738,2,0,2023-11-09T00:11:26Z,80000,False,2.0,232.0,1,right,MISS J. Brown 23' Jump Shot,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,23.21,Missed,,,,,,,,,,,,,,,,,,
9,PT11M30.00S,2023-11-09T00:11:17.3Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,2,0,2023-11-09T00:11:19Z,90000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2023-11-09T00:11:34.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,9.149145860709593,56.372549019607845,1610612755,4,0,2023-11-09T00:11:37Z,100000,False,-32.0,34.0,1,left,T. Maxey driving floating Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,4.63,Made,2.0,,,,,,,,,,,,,,,,,
11,PT10M58.00S,2023-11-09T00:11:49.5Z,1,REGULAR,3pt,Jump Shot,[],204001,70.38436268068331,79.65686274509804,1610612738,4,0,2023-11-09T00:11:53Z,110000,False,148.0,226.0,1,right,MISS K. Porzingis 27' 3PT,[204001],1610612738.0,BOS,,,,Porzingis,K. Porzingis,,,,,Above the Break 3,24+ Right Center,27.02,Missed,,,,,,,,,,,,,,,,,,
12,PT10M55.00S,2023-11-09T00:11:52.6Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,4,0,2023-11-09T00:11:52Z,120000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Right Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
13,PT10M51.00S,2023-11-09T00:11:58.2Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612755,4,0,2023-11-09T00:12:08Z,130000,False,,,0,,J. Brown shooting personal FOUL (1 PF) (Harris 2 FT),"[1627759, 202699]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,,,,,,,,203592.0,1.0,0.0,Harris,202699.0,,,,,,,,
15,PT10M51.00S,2023-11-09T00:12:22.4Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],202699,,,1610612755,5,0,2023-11-09T00:12:22Z,150000,False,,,0,,T. Harris Free Throw 1 of 2 (1 PTS),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
