actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-15T00:10:49.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-15T00:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-11-15T00:10:53.8Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2023-11-15T00:10:53Z,40000,False,,,0,,Jump Ball J. Embiid vs. M. Turner: Tip to T. Maxey,"[1630178, 203954, 1626167]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-15T00:11:05.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,15.292378449408673,49.50980392156863,1610612755,0,0,2023-11-15T00:11:09Z,70000,False,2.0,91.0,1,left,MISS T. Maxey 9' driving floating Shot,[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,9.12,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-11-15T00:11:07.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2023-11-15T00:11:09Z,80000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2023-11-15T00:11:21.3Z,1,REGULAR,3pt,Jump Shot,[],1631097,75.607752956636,10.294117647058826,1610612754,0,3,2023-11-15T00:11:26Z,90000,False,-199.0,177.0,1,right,B. Mathurin 26' 3PT step back (3 PTS),[1631097],1610612754.0,IND,step back,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,26.58,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M16.00S,2023-11-15T00:11:33.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203954,11.218791064388967,45.58823529411765,1610612755,0,3,2023-11-15T00:11:42Z,100000,False,22.0,53.0,1,left,MISS J. Embiid turnaround Shot,[203954],1610612755.0,PHI,turnaround,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,5.74,Missed,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2023-11-15T00:11:33.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612754,0,3,2023-11-15T00:11:42Z,110000,False,,,0,,TEAM defensive REBOUND,[],1610612754.0,IND,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,10.0,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2023-11-15T00:11:43.4Z,1,REGULAR,foul,personal,[],203954,,,1610612754,0,3,2023-11-15T00:11:52Z,120000,False,,,0,,J. Embiid loose ball personal FOUL (1 PF),"[203954, 1626167]",1610612755.0,PHI,loose ball,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1198.0,1.0,0.0,Turner,1626167.0,,,,,,,,
14,PT11M02.00S,2023-11-15T00:11:58.3Z,1,REGULAR,2pt,Jump Shot,[],1628971,87.17148488830486,66.17647058823529,1610612754,0,3,2023-11-15T00:12:02Z,140000,False,81.0,68.0,1,right,MISS B. Brown 10' pullup Shot - blocked,"[1628971, 1630178]",1610612754.0,IND,pullup,,,Brown,B. Brown,,,,,Mid-Range,8-16 Right,10.57,Missed,,,,,,,,,,,Maxey,1630178.0,,,,,,
15,PT11M02.00S,2023-11-15T00:11:58.3Z,1,REGULAR,block,,[],1630178,,,1610612754,0,3,2023-11-15T00:12:01Z,150000,False,,,0,,T. Maxey BLOCK (1 BLK),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT10M59.00S,2023-11-15T00:12:01.3Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,3,2023-11-15T00:12:02Z,160000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M55.00S,2023-11-15T00:12:05.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202699,5.568331143232584,48.774509803921575,1610612755,2,3,2023-11-15T00:12:10Z,170000,False,6.0,0.0,1,left,T. Harris running Layup (2 PTS),[202699],1610612755.0,PHI,running,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,0.61,Made,,,,,2.0,,,,,,,,,,,,,
