actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-21T00:10:49.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-21T00:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-21T00:10:52.3Z,1,REGULAR,jumpball,recovered,[],201144,,,1610612750,0,0,2023-12-21T00:10:52Z,40000,False,,,0,,Jump Ball R. Gobert vs. J. Embiid: Tip to M. Conley,"[201144, 203497, 203954]",1610612750.0,MIN,startperiod,M. Conley,201144.0,Conley,M. Conley,Gobert,203497.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-12-21T00:11:08.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203497,94.30026281208936,48.529411764705884,1610612750,0,0,2023-12-21T00:11:19Z,70000,False,-7.0,1.0,1,right,MISS R. Gobert reverse Layup,[203497],1610612750.0,MIN,reverse,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,0.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-12-21T00:11:09.1Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2023-12-21T00:11:20Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2023-12-21T00:11:23.4Z,1,REGULAR,foul,personal,[],203497,,,1610612755,0,0,2023-12-21T00:11:37Z,90000,False,,,0,,R. Gobert loose ball personal FOUL (1 PF),"[203497, 203954]",1610612750.0,MIN,loose ball,,,Gobert,R. Gobert,,,,,Mid-Range,8-16 Left,,,,1179.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,
11,PT11M20.00S,2023-12-21T00:11:42.8Z,1,REGULAR,3pt,Jump Shot,[],1629001,9.411957950065702,3.1862745098039214,1610612755,0,0,2023-12-21T00:11:48Z,110000,False,234.0,36.0,1,left,MISS D. Melton step back 3PT,[1629001],1610612755.0,PHI,step back,,,Melton,D. Melton,,,,,Right Corner 3,24+ Right,23.69,Missed,,,,,,,,,,,,,,,,,,
12,PT11M17.00S,2023-12-21T00:11:45.8Z,1,REGULAR,rebound,defensive,[],1626157,,,1610612750,0,0,2023-12-21T00:11:48Z,120000,False,,,0,,K. Towns REBOUND (Off:0 Def:1),[1626157],1610612750.0,MIN,,,,Towns,K. Towns,,,,,Right Corner 3,24+ Right,,,11.0,,,,,,1.0,1.0,0.0,,,,,,,,,
13,PT11M10.00S,2023-12-21T00:11:52.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626157,85.75886990801577,44.6078431372549,1610612750,0,0,2023-12-21T00:11:59Z,130000,False,-27.0,81.0,1,right,MISS K. Towns 8' driving floating Shot,[1626157],1610612750.0,MIN,driving floating,,,Towns,K. Towns,,,,,In The Paint (Non-RA),8-16 Center,8.58,Missed,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2023-12-21T00:11:53.8Z,1,REGULAR,rebound,defensive,[],203954,,,1610612755,0,0,2023-12-21T00:12:29Z,140000,False,,,0,,J. Embiid REBOUND (Off:0 Def:1),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,,,13.0,,,,,,1.0,1.0,0.0,,,,,,,,,
15,PT10M59.00S,2023-12-21T00:12:03.0Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,0,0,2023-12-21T00:12:11Z,150000,False,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,,,,202056.0,,,,,,,,1.0,,,,,,,,
