actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-04-12T23:10:49.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-04-12T23:10:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-04-12T23:10:52.8Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-04-12T23:10:52Z,40000,False,,,0,,Jump Ball J. Embiid vs. W. Carter Jr.: Tip to T. Maxey,"[1630178, 203954, 1628976]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-04-12T23:11:09.5Z,1,REGULAR,foul,personal,[],1630591,,,1610612755,0,0,2024-04-12T23:11:15Z,70000,False,,,0,,J. Suggs personal FOUL (1 PF),"[1630591, 203954]",1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Above the Break 3,24+ Right Center,2530.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-04-12T23:11:31.6Z,1,REGULAR,foul,personal,['2freethrow'],1630532,,,1610612755,0,0,2024-04-12T23:18:56Z,90000,False,,,0,,F. Wagner shooting personal FOUL (1 PF) (Embiid 2 FT),"[1630532, 203954]",1610612753.0,ORL,shooting,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,1628172.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
11,PT11M38.00S,2024-04-12T23:12:00.2Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,0,2024-04-12T23:12:00Z,110000,False,,,0,,MISS J. Embiid Free Throw 1 of 2,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M38.00S,2024-04-12T23:12:00.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612755,0,0,2024-04-12T23:12:00Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
13,PT11M38.00S,2024-04-12T23:12:18.0Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,1,0,2024-04-12T23:12:18Z,130000,False,,,0,,J. Embiid Free Throw 2 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
14,PT11M24.00S,2024-04-12T23:12:33.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628976,92.72339027595268,51.71568627450981,1610612753,1,2,2024-04-12T23:12:37Z,140000,False,9.0,16.0,1,right,W. Carter Jr. alley-oop DUNK (2 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,alley-oop,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,1.81,P. Banchero,1631094.0,1.0,,,,,,,,
16,PT11M08.00S,2024-04-12T23:12:49.3Z,1,REGULAR,3pt,Jump Shot,[],202699,3.7614980289093296,97.54901960784314,1610612755,1,2,2024-04-12T23:12:53Z,160000,False,-238.0,-17.0,1,left,MISS T. Harris 3PT,[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,23.83,,,,,,,,,,,
17,PT11M05.00S,2024-04-12T23:12:52.3Z,1,REGULAR,rebound,defensive,[],1630591,,,1610612753,1,2,2024-04-12T23:12:53Z,170000,False,,,0,,J. Suggs REBOUND (Off:0 Def:1),[1630591],1610612753.0,ORL,,,,Suggs,J. Suggs,,,,,Left Corner 3,24+ Left,,,,,,,16.0,,,,,,1.0,1.0,0.0,,,,,
