actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-16T23:10:28.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-16T23:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-16T23:10:30.8Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612755,0,0,2024-03-16T23:10:30Z,40000,False,,,0,,Jump Ball M. Bamba vs. N. Richards: Tip to K. Lowry,"[200768, 1628964, 1630208]",1610612755.0,PHI,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Bamba,1628964.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-03-16T23:10:51.8Z,1,REGULAR,3pt,Jump Shot,[],1626162,10.82457293035479,96.56862745098039,1610612755,0,0,2024-03-16T23:10:57Z,70000,False,-233.0,49.0,1,left,MISS K. Oubre Jr. 3PT,[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Left Corner 3,24+ Left,23.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-03-16T23:10:52.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612766,0,0,2024-03-16T23:10:57Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612766.0,CHA,,,,,,,,,,Left Corner 3,24+ Left,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2024-03-16T23:10:57.3Z,1,REGULAR,foul,personal,[],201587,,,1610612766,0,0,2024-03-16T23:11:34Z,90000,False,,,0,,N. Batum loose ball personal FOUL (1 PF),"[201587, 1628970]",1610612755.0,PHI,loose ball,,,Batum,N. Batum,,,,,Restricted Area,0-8 Center,,,,101284.0,1.0,0.0,Bridges,1628970.0,,,,,,,,,,,,
11,PT11M12.00S,2024-03-16T23:11:28.5Z,1,REGULAR,3pt,Jump Shot,[],203995,73.50525624178712,14.215686274509807,1610612766,0,3,2024-03-16T23:11:33Z,110000,False,-179.0,197.0,1,right,V. Micic 26' 3PT  (3 PTS) (T. Mann 1 AST),"[203995, 1630544]",1610612766.0,CHA,,,,Micic,V. Micic,,,,,Above the Break 3,24+ Left Center,26.58,Made,,,,,,,3.0,T. Mann,1630544.0,1.0,,,,,,,,
13,PT10M54.00S,2024-03-16T23:11:47.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626162,14.109724047306173,57.35294117647059,1610612755,2,3,2024-03-16T23:11:54Z,130000,False,-37.0,80.0,1,left,K. Oubre Jr. 8' fadeaway Jump Shot (2 PTS) (K. Lowry 1 AST),"[1626162, 200768]",1610612755.0,PHI,fadeaway,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),8-16 Center,8.81,Made,,,,,,,2.0,K. Lowry,200768.0,1.0,,,,,,,,
14,PT10M31.00S,2024-03-16T23:12:10.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630208,92.69053876478318,45.34313725490197,1610612766,2,3,2024-03-16T23:12:13Z,140000,False,-23.0,16.0,1,right,MISS N. Richards Layup,[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,2.84,Missed,,,,,,,,,,,,,,,,,,
16,PT10M30.00S,2024-03-16T23:12:11.1Z,1,REGULAR,rebound,offensive,[],1630208,,,1610612766,2,3,2024-03-16T23:12:13Z,150000,False,,,0,,N. Richards REBOUND (Off:1 Def:0),[1630208],1610612766.0,CHA,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,,,14.0,,,,,,,,,,1.0,0.0,1.0,,,,,
17,PT10M30.00S,2024-03-16T23:12:14.2Z,1,REGULAR,foul,personal,['2freethrow'],1628964,,,1610612766,2,3,2024-03-16T23:12:22Z,160000,False,,,0,,M. Bamba shooting personal FOUL (1 PF) (Richards 2 FT),"[1628964, 1630208]",1610612755.0,PHI,shooting,,,Bamba,M. Bamba,,,,,Restricted Area,0-8 Center,,,,1198.0,1.0,0.0,Richards,1630208.0,,,,,,,,,,,,
