actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-06T00:44:04.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-06T00:44:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-06T00:44:07.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-01-06T00:44:07Z,40000,False,,,0,,Jump Ball J. Embiid vs. I. Hartenstein: Tip to T. Maxey,"[1630178, 203954, 1628392]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-06T00:44:20.1Z,1,REGULAR,turnover,out-of-bounds,[],203954,,,1610612755,0,0,2024-01-06T00:44:28Z,70000,False,,,0,,J. Embiid bad pass out-of-bounds TURNOVER (1 TO),[203954],1610612755.0,PHI,bad pass,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,2003.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2024-01-06T00:44:41.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628973,92.59198423127464,46.07843137254902,1610612752,0,2,2024-01-06T00:44:46Z,80000,False,-20.0,17.0,1,right,J. Brunson driving floating bank Jump Shot (2 PTS),[1628973],1610612752.0,NYK,driving floating bank,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,2.6,Made,2.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2024-01-06T00:44:52.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203954,6.258212877792378,48.529411764705884,1610612755,2,2,2024-01-06T00:44:59Z,90000,False,7.0,6.0,1,left,J. Embiid driving finger roll Layup (2 PTS) (T. Maxey 1 AST),"[203954, 1630178]",1610612755.0,PHI,driving finger roll,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,0.97,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,
11,PT11M01.00S,2024-01-06T00:45:09.3Z,1,REGULAR,3pt,Jump Shot,[],1628973,70.12155059132719,79.41176470588235,1610612752,2,2,2024-01-06T00:45:14Z,110000,False,147.0,228.0,1,right,MISS J. Brunson 27' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,27.17,Missed,,,,,,,,,,,,,,,,
12,PT10M57.00S,2024-01-06T00:45:11.7Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,2,2,2024-01-06T00:45:11Z,120000,False,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT10M49.00S,2024-01-06T00:45:19.7Z,1,REGULAR,2pt,Jump Shot,[],1630178,20.97568988173456,50.98039215686274,1610612755,2,2,2024-01-06T00:45:24Z,130000,False,-5.0,145.0,1,left,MISS T. Maxey 14' pullup Shot,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Center,,,14.48,Missed,,,,,,,,,,,,,,,,
14,PT10M46.00S,2024-01-06T00:45:22.7Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612752,2,2,2024-01-06T00:45:24Z,140000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,8-16 Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M43.00S,2024-01-06T00:45:26.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628978,68.80749014454665,23.284313725490197,1610612752,2,5,2024-01-06T00:45:34Z,150000,False,-134.0,241.0,1,right,D. DiVincenzo 27' 3PT running pullup (3 PTS),[1628978],1610612752.0,NYK,running pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,27.53,Made,3.0,,,,,,,,,,,,,,,
16,PT10M30.00S,2024-01-06T00:45:39.3Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,2,5,2024-01-06T00:45:46Z,160000,False,,,0,,J. Embiid lost ball TURNOVER (2 TO),"[203954, 1628978]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Mid-Range,16-24 Center,,2.0,,,,,,,,,,,DiVincenzo,1628978.0,,,,,,
17,PT10M30.00S,2024-01-06T00:45:39.3Z,1,REGULAR,steal,,[],1628978,,,1610612752,2,5,2024-01-06T00:45:41Z,170000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2024-01-06T00:45:44.8Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612752,2,5,2024-01-06T00:45:50Z,180000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (DiVincenzo 2 FT),"[1626162, 1628978]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,1204.0,,,,,,,,,,,,,,1.0,0.0,DiVincenzo,1628978.0,,
20,PT10M27.00S,2024-01-06T00:46:08.1Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1628978,,,1610612752,2,6,2024-01-06T00:46:08Z,200000,False,,,0,,D. DiVincenzo Free Throw 1 of 2 (4 PTS),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,Made,4.0,,,,,,,,,,,,,,,
21,PT10M27.00S,2024-01-06T00:46:21.4Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1628978,,,1610612752,2,7,2024-01-06T00:46:21Z,210000,False,,,0,,D. DiVincenzo Free Throw 2 of 2 (5 PTS),[1628978],1610612752.0,NYK,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
