actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-02T00:10:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-02T00:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-02T00:10:20.4Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-03-02T00:10:20Z,40000,False,,,0,,Jump Ball M. Bamba vs. N. Richards: Tip to T. Maxey,"[1630178, 1628964, 1630208]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Bamba,1628964.0,Richards,1630208.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-03-02T00:10:33.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,26.067674113009204,14.705882352941174,1610612755,0,0,2024-03-02T00:10:37Z,70000,False,176.0,193.0,1,left,MISS T. Maxey 26' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.12,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2024-03-02T00:10:36.1Z,1,REGULAR,rebound,defensive,[],1628970,,,1610612766,0,0,2024-03-02T00:10:37Z,80000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2024-03-02T00:10:49.7Z,1,REGULAR,3pt,Jump Shot,[],1628970,68.9060446780552,72.30392156862744,1610612766,0,3,2024-03-02T00:10:53Z,90000,False,112.0,240.0,1,right,M. Bridges 26' 3PT  (3 PTS) (T. Mann 1 AST),"[1628970, 1630544]",1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,26.45,Made,,,,,3.0,T. Mann,1630544.0,1.0,,,,,,,,,,
11,PT11M12.00S,2024-03-02T00:11:05.3Z,1,REGULAR,2pt,Jump Shot,[],1627741,24.359395532194483,38.48039215686274,1610612755,2,3,2024-03-02T00:11:09Z,110000,False,58.0,176.0,1,left,B. Hield 18' pullup Jump Shot (2 PTS) (T. Harris 1 AST),"[1627741, 202699]",1610612755.0,PHI,pullup,,,Hield,B. Hield,,,,,Mid-Range,16-24 Center,18.57,Made,,,,,2.0,T. Harris,202699.0,1.0,,,,,,,,,,
13,PT10M55.00S,2024-03-02T00:11:24.7Z,1,REGULAR,foul,personal,[],1627741,,,1610612766,2,3,2024-03-02T00:11:33Z,130000,False,,,0,,B. Hield personal FOUL (1 PF),"[1627741, 1628998]",1610612755.0,PHI,,,,Hield,B. Hield,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,1628172.0,1.0,0.0,Martin,1628998.0,,,,,
15,PT10M42.00S,2024-03-02T00:11:52.0Z,1,REGULAR,2pt,Jump Shot,[],1628998,75.607752956636,71.56862745098039,1610612766,2,3,2024-03-02T00:11:55Z,150000,False,108.0,177.0,1,right,MISS C. Martin 20' pullup Shot,[1628998],1610612766.0,CHA,pullup,,,Martin,C. Martin,,,,,Mid-Range,16-24 Right Center,20.71,Missed,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2024-03-02T00:11:55.0Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612755,2,3,2024-03-02T00:11:55Z,160000,False,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Mid-Range,16-24 Right Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M30.00S,2024-03-02T00:12:03.3Z,1,REGULAR,3pt,Jump Shot,[],1628964,19.8915900131406,94.11764705882354,1610612755,2,3,2024-03-02T00:12:07Z,170000,False,-221.0,134.0,1,left,MISS M. Bamba 25' 3PT,[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,Above the Break 3,24+ Left Center,25.84,Missed,,,,,,,,,,,,,,,,,,
