actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-08T00:43:32.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-08T00:43:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2024-02-08T00:43:38.0Z,1,REGULAR,jumpball,recovered,[],1630228,,,1610612744,0,0,2024-02-08T00:43:38Z,40000,False,,,0,,Jump Ball D. Green vs. P. Reed: Tip to J. Kuminga,"[1630228, 203110, 1630194]",1610612744.0,GSW,startperiod,J. Kuminga,1630228.0,Kuminga,J. Kuminga,Green,203110.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-02-08T00:43:47.4Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,0,0,2024-02-08T00:43:54Z,70000,False,,,0,,D. Green bad pass out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,bad pass,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2024-02-08T00:44:14.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630194,14.898160315374511,52.205882352941174,1610612755,2,0,2024-02-08T00:44:18Z,80000,False,-11.0,88.0,1,left,P. Reed 8' driving floating Jump Shot (2 PTS) (T. Maxey 1 AST),"[1630194, 1630178]",1610612755.0,PHI,driving floating,,,Reed,P. Reed,,,,,In The Paint (Non-RA),8-16 Center,,8.82,Made,2.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,,,
10,PT11M14.00S,2024-02-08T00:44:27.3Z,1,REGULAR,foul,personal,['2freethrow'],1626162,,,1610612744,2,0,2024-02-08T00:44:44Z,100000,False,,,0,,K. Oubre Jr. shooting personal FOUL (1 PF) (Wiggins 2 FT),"[1626162, 203952]",1610612755.0,PHI,shooting,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,1626302.0,1.0,0.0,Wiggins,203952.0,,,,,,,,
12,PT11M14.00S,2024-02-08T00:44:51.6Z,1,REGULAR,freethrow,1 of 2,[],203952,,,1610612744,2,0,2024-02-08T00:44:51Z,120000,False,,,0,,MISS A. Wiggins Free Throw 1 of 2,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,Missed,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2024-02-08T00:44:51.6Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612744,2,0,2024-02-08T00:44:51Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
14,PT11M14.00S,2024-02-08T00:45:05.4Z,1,REGULAR,freethrow,2 of 2,[],203952,,,1610612744,2,1,2024-02-08T00:45:05Z,140000,False,,,0,,A. Wiggins Free Throw 2 of 2 (1 PTS),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,
16,PT10M52.00S,2024-02-08T00:45:43.1Z,1,REGULAR,3pt,Jump Shot,[],1630178,27.644546649145866,85.29411764705883,1610612755,2,1,2024-02-08T00:46:32Z,160000,False,-176.0,207.0,1,left,MISS T. Maxey 27' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,27.23,Missed,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2024-02-08T00:45:49.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,1,2024-02-08T00:49:13Z,170000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,
