actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-15T00:11:37.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-15T00:11:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-15T00:11:39.5Z,1,REGULAR,jumpball,recovered,[],1629130,,,1610612748,0,0,2024-02-15T00:11:39Z,40000,False,,,0,,Jump Ball B. Adebayo vs. P. Reed: Tip to D. Robinson,"[1629130, 1628389, 1630194]",1610612748.0,MIA,startperiod,D. Robinson,1629130.0,Robinson,D. Robinson,Adebayo,1628389.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2024-02-15T00:11:52.2Z,1,REGULAR,turnover,lost ball,[],1631107,,,1610612748,0,0,2024-02-15T00:11:58Z,70000,False,,,0,,N. Jovic lost ball TURNOVER (1 TO),"[1631107, 1626162]",1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Mid-Range,16-24 Left Center,1.0,Oubre Jr.,1626162.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2024-02-15T00:11:52.2Z,1,REGULAR,steal,,[],1626162,,,1610612755,0,0,2024-02-15T00:11:55Z,80000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2024-02-15T00:11:57.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,7.5722733245729295,47.30392156862745,1610612755,2,0,2024-02-15T00:12:04Z,90000,False,13.0,19.0,1,left,T. Maxey running Layup (2 PTS),[1630178],1610612755.0,PHI,running,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,2.31,Made,2.0,,,,,,,,,,,,,,
10,PT11M17.00S,2024-02-15T00:12:18.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628997,94.1688567674113,47.30392156862745,1610612748,2,2,2024-02-15T00:12:23Z,100000,False,-13.0,2.0,1,right,C. Martin driving finger roll Layup (2 PTS),[1628997],1610612748.0,MIA,driving finger roll,,,Martin,C. Martin,,,,,Restricted Area,0-8 Center,,,,1.37,Made,2.0,,,,,,,,,,,,,,
11,PT10M57.00S,2024-02-15T00:12:38.5Z,1,REGULAR,3pt,Jump Shot,[],1630231,6.521024967148489,97.30392156862744,1610612755,5,2,2024-02-15T00:12:42Z,110000,False,-237.0,9.0,1,left,K. Martin 3PT  (3 PTS) (B. Hield 1 AST),"[1630231, 1627741]",1610612755.0,PHI,,,,Martin,K. Martin,,,,,Left Corner 3,24+ Left,,,,23.67,Made,3.0,B. Hield,1627741.0,1.0,,,,,,,,,,,
13,PT10M45.00S,2024-02-15T00:12:50.8Z,1,REGULAR,3pt,Jump Shot,[],1629639,66.83639947437582,63.48039215686274,1610612748,5,5,2024-02-15T00:12:55Z,130000,False,67.0,259.0,1,right,T. Herro 26' 3PT pullup (3 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Center,,,,26.78,Made,3.0,,,,,,,,,,,,,,
14,PT10M28.00S,2024-02-15T00:13:07.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630231,6.521024967148489,50.73529411764706,1610612755,7,5,2024-02-15T00:13:11Z,140000,False,-4.0,9.0,1,left,K. Martin alley-oop DUNK (5 PTS) (T. Maxey 1 AST),"[1630231, 1630178]",1610612755.0,PHI,alley-oop,,,Martin,K. Martin,,,,,Restricted Area,0-8 Center,,,,0.95,Made,5.0,T. Maxey,1630178.0,1.0,,,,,,,,,,,
17,PT10M16.00S,2024-02-15T00:13:36.5Z,1,REGULAR,foul,personal,['2freethrow'],1627741,,,1610612748,7,5,2024-02-15T00:13:45Z,170000,False,,,0,,B. Hield shooting personal FOUL (1 PF) (Herro 2 FT),"[1627741, 1629639]",1610612755.0,PHI,shooting,,,Hield,B. Hield,,,,,Restricted Area,0-8 Center,,,,,,,,,,1162.0,1.0,0.0,Herro,1629639.0,,,,,,
