actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-10T00:10:27.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-10T00:10:27Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-02-10T00:10:31.6Z,1,REGULAR,jumpball,recovered,[],1630180,,,1610612737,0,0,2024-02-10T00:10:31Z,40000,False,,,0,,Jump Ball O. Okongwu vs. P. Reed: Tip to S. Bey,"[1630180, 1630168, 1630194]",1610612737.0,ATL,startperiod,S. Bey,1630180.0,Bey,S. Bey,Okongwu,1630168.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2024-02-10T00:10:40.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630168,86.02168199737189,50.98039215686274,1610612737,0,2,2024-02-10T00:10:46Z,70000,False,5.0,79.0,1,right,O. Okongwu 7' driving Hook (2 PTS) (J. Johnson 1 AST),"[1630168, 1630552]",1610612737.0,ATL,driving,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,7.91,Made,2.0,J. Johnson,1630552.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2024-02-10T00:10:56.9Z,1,REGULAR,3pt,Jump Shot,[],1626166,24.392247043363994,10.294117647058822,1610612755,0,2,2024-02-10T00:11:00Z,90000,False,199.0,177.0,1,left,MISS C. Payne 26' 3PT,[1626166],1610612755.0,PHI,,,,Payne,C. Payne,,,,,Above the Break 3,24+ Right Center,26.58,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2024-02-10T00:10:58.9Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,2,2024-02-10T00:11:00Z,100000,False,,,0,,J. Johnson REBOUND (Off:0 Def:1),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,Above the Break 3,24+ Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M21.00S,2024-02-10T00:11:06.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630552,93.11760840998686,49.01960784313725,1610612737,0,4,2024-02-10T00:11:12Z,110000,False,-5.0,12.0,1,right,J. Johnson running finger roll Layup (2 PTS),[1630552],1610612737.0,ATL,running finger roll,,,Johnson,J. Johnson,,,,,Restricted Area,0-8 Center,1.31,Made,2.0,,,,,,,,,,,,,,,,,
12,PT11M08.00S,2024-02-10T00:11:18.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627741,19.530223390275953,60.5392156862745,1610612755,0,4,2024-02-10T00:11:22Z,120000,False,-53.0,131.0,1,left,MISS B. Hield 14' pullup Shot,[1627741],1610612755.0,PHI,pullup,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,14.13,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2024-02-10T00:11:21.5Z,1,REGULAR,rebound,defensive,[],1630552,,,1610612737,0,4,2024-02-10T00:11:22Z,130000,False,,,0,,J. Johnson REBOUND (Off:0 Def:2),[1630552],1610612737.0,ATL,,,,Johnson,J. Johnson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,
14,PT11M00.00S,2024-02-10T00:11:26.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203992,95.0886990801577,51.225490196078425,1610612737,0,4,2024-02-10T00:11:34Z,140000,False,6.0,-6.0,1,right,MISS B. Bogdanovic running reverse Layup,[203992],1610612737.0,ATL,running reverse,,,Bogdanovic,B. Bogdanovic,,,,,Restricted Area,0-8 Center,0.88,Missed,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2024-02-10T00:11:28.9Z,1,REGULAR,rebound,defensive,[],1630194,,,1610612755,0,4,2024-02-10T00:11:34Z,150000,False,,,0,,P. Reed REBOUND (Off:0 Def:1),[1630194],1610612755.0,PHI,,,,Reed,P. Reed,,,,,Restricted Area,0-8 Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
