actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-02-06T00:10:57.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-06T00:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-06T00:11:00.1Z,1,REGULAR,jumpball,recovered,[],1630182,,,1610612742,0,0,2024-02-06T00:11:00Z,40000,False,,,0,,Jump Ball M. Kleber vs. P. Reed: Tip to J. Green,"[1630182, 1628467, 1630194]",1610612742.0,DAL,startperiod,J. Green,1630182.0,Green,J. Green,Kleber,1628467.0,Reed,1630194.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2024-02-06T00:11:14.4Z,1,REGULAR,turnover,bad pass,[],1629029,,,1610612742,0,0,2024-02-06T00:11:19Z,70000,False,,,0,,L. Doncic bad pass TURNOVER (1 TO),"[1629029, 202699]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,1.0,Harris,202699.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2024-02-06T00:11:14.4Z,1,REGULAR,steal,,[],202699,,,1610612755,0,0,2024-02-06T00:11:16Z,80000,False,,,0,,T. Harris STEAL (1 STL),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2024-02-06T00:11:18.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630178,6.652431011826544,50.49019607843137,1610612755,2,0,2024-02-06T00:11:25Z,90000,False,-2.0,10.0,1,left,T. Maxey running finger roll Layup (2 PTS),[1630178],1610612755.0,PHI,running finger roll,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,1.03,Made,2.0,,,,,,,,,,,,,,
10,PT11M21.00S,2024-02-06T00:11:34.8Z,1,REGULAR,3pt,Jump Shot,[],1627884,79.71419185282524,7.107843137254902,1610612742,2,0,2024-02-06T00:11:39Z,100000,False,-214.0,138.0,1,right,MISS D. Jones Jr. 25' 3PT,[1627884],1610612742.0,DAL,,,,Jones Jr.,D. Jones Jr.,,,,,Above the Break 3,24+ Left Center,,,,25.52,Missed,,,,,,,,,,,,,,,
11,PT11M19.00S,2024-02-06T00:11:36.8Z,1,REGULAR,rebound,defensive,[],1627863,,,1610612755,2,0,2024-02-06T00:11:39Z,110000,False,,,0,,D. House Jr. REBOUND (Off:0 Def:1),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M58.00S,2024-02-06T00:12:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.469776609724048,49.754901960784316,1610612755,2,0,2024-02-06T00:18:23Z,170000,False,1.0,-1.0,1,left,MISS T. Harris driving reverse Layup,[202699],1610612755.0,PHI,driving reverse,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,0.16,Missed,,,,,,,,,,,,,,,
18,PT10M53.00S,2024-02-06T00:12:19.4Z,1,REGULAR,rebound,offensive,[],1627863,,,1610612755,2,0,2024-02-06T00:16:00Z,180000,False,,,0,,D. House Jr. REBOUND (Off:1 Def:1),[1627863],1610612755.0,PHI,,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,,,,,,17.0,2.0,1.0,1.0,,,,,,,,,,
19,PT10M53.00S,2024-02-06T00:12:19.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627863,5.590000152587891,50.0,1610612755,2,0,2024-02-06T00:15:53Z,190000,False,0.0,0.0,1,left,MISS D. House Jr. tip Layup,[1627863],1610612755.0,PHI,tip,,,House Jr.,D. House Jr.,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
