actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2024-02-23T00:11:12.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-23T00:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-23T00:11:14.6Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2024-02-23T00:11:14Z,40000,False,,,0,,Jump Ball P. Reed vs. I. Hartenstein: Tip to T. Maxey,"[1630178, 1630194, 1628392]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Reed,1630194.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-02-23T00:11:29.5Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612755,0,0,2024-02-23T00:11:48Z,70000,False,,,0,,B. Hield bad pass TURNOVER (1 TO),"[1627741, 1628973]",1610612755.0,PHI,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,1.0,Brunson,1628973.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2024-02-23T00:11:29.5Z,1,REGULAR,steal,,[],1628973,,,1610612752,0,0,2024-02-23T00:11:31Z,80000,False,,,0,,J. Brunson STEAL (1 STL),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2024-02-23T00:11:33.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628973,92.32917214191852,55.14705882352941,1610612752,0,2,2024-02-23T00:12:27Z,90000,False,26.0,20.0,1,right,J. Brunson running Layup (2 PTS),[1628973],1610612752.0,NYK,running,,,Brunson,J. Brunson,,,,,Restricted Area,0-8 Center,,,,3.23,Made,2.0,,,,,,,,,,,,,,
10,PT11M23.00S,2024-02-23T00:11:48.6Z,1,REGULAR,3pt,Jump Shot,[],1630178,32.14520367936925,51.71568627450981,1610612755,3,2,2024-02-23T00:12:36Z,100000,False,-9.0,250.0,1,left,T. Maxey 24' 3PT pullup (3 PTS),[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,,,,24.98,Made,3.0,,,,,,,,,,,,,,
11,PT11M12.00S,2024-02-23T00:12:03.2Z,1,REGULAR,foul,personal,[],201587,,,1610612752,3,2,2024-02-23T00:12:07Z,110000,False,,,0,,N. Batum personal FOUL (1 PF),"[201587, 1628973]",1610612755.0,PHI,,,,Batum,N. Batum,,,,,Above the Break 3,24+ Center,,,,,,,203593.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,
13,PT11M06.00S,2024-02-23T00:12:20.0Z,1,REGULAR,3pt,Jump Shot,[],1628973,69.20170827858082,77.45098039215686,1610612752,3,2,2024-02-23T00:13:02Z,130000,False,137.0,237.0,1,right,MISS J. Brunson 27' pullup 3PT,[1628973],1610612752.0,NYK,pullup,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,,27.39,Missed,,,,,,,,,,,,,,,
14,PT11M03.00S,2024-02-23T00:12:23.0Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612755,3,2,2024-02-23T00:12:25Z,140000,False,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612755.0,PHI,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,
15,PT10M55.00S,2024-02-23T00:12:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202699,5.995400788436268,54.65686274509803,1610612755,3,2,2024-02-23T00:13:45Z,150000,False,-23.0,4.0,1,left,MISS T. Harris driving Layup - blocked,"[202699, 1628978]",1610612755.0,PHI,driving,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,,,,2.36,Missed,,,,,,,,,,,DiVincenzo,1628978.0,,,
