actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-30T01:10:36.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-30T01:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-10-30T01:10:38.7Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2025-10-30T01:10:38Z,40000,False,,,0,,Jump Ball N. Jokić vs. D. Jordan: Tip to A. Gordon,"[203932, 203999, 201599]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Jordan,201599.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2025-10-30T01:10:58.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203999,11.12023653088042,38.970588235294116,1610612743,2,0,2025-10-30T01:11:08Z,70000,False,55.0,52.0,1,left,N. Jokić 7' turnaround Hook (2 PTS),[203999],1610612743.0,DEN,turnaround,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,7.58,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2025-10-30T01:11:20.8Z,1,REGULAR,2pt,Jump Shot,[],1630530,90.3580814717477,23.03921568627451,1610612740,2,0,2025-10-30T01:11:28Z,80000,False,-135.0,38.0,1,right,MISS T. Murphy III 14' pullup Shot,[1630530],1610612740.0,NOP,pullup,,,Murphy III,T. Murphy III,,,,,Mid-Range,8-16 Left,14.01,Missed,,,,,,,,,,,,,,,,,,
9,PT11M09.00S,2025-10-30T01:11:25.8Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,2,0,2025-10-30T01:11:28Z,90000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M03.00S,2025-10-30T01:11:32.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631128,6.389618922470433,3.1862745098039214,1610612743,2,0,2025-10-30T01:11:49Z,100000,False,234.0,8.0,1,left,MISS C. Braun step back 3PT,[1631128],1610612743.0,DEN,step back,,,Braun,C. Braun,,,,,Right Corner 3,24+ Right,23.42,Missed,,,,,,,,,,,,,,,,,,
11,PT11M01.00S,2025-10-30T01:11:34.0Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,2,0,2025-10-30T01:11:49Z,110000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Right Corner 3,24+ Right,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT10M51.00S,2025-10-30T01:11:44.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642847,83.919185282523,63.970588235294116,1610612740,2,0,2025-10-30T01:12:04Z,120000,False,70.0,99.0,1,right,MISS J. Fears 12' Jump Shot,[1642847],1610612740.0,NOP,,,,Fears,J. Fears,,,,,In The Paint (Non-RA),8-16 Right,12.09,Missed,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2025-10-30T01:11:47.3Z,1,REGULAR,rebound,offensive,[],201599,,,1610612740,2,0,2025-10-30T01:12:04Z,130000,False,,,0,,D. Jordan REBOUND (Off:1 Def:0),[201599],1610612740.0,NOP,,,,Jordan,D. Jordan,,,,,In The Paint (Non-RA),8-16 Right,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,
14,PT10M48.00S,2025-10-30T01:11:50.1Z,1,REGULAR,foul,personal,['2freethrow'],203932,,,1610612740,2,0,2025-10-30T01:11:59Z,140000,False,,,0,,A. Gordon shooting personal FOUL (1 PF) (Williamson 2 FT),"[203932, 1629627]",1610612743.0,DEN,shooting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,,,,,1641518.0,1.0,0.0,Williamson,1629627.0,,,,,,,,
16,PT10M48.00S,2025-10-30T01:12:18.8Z,1,REGULAR,freethrow,1 of 2,['2ndchance'],1629627,,,1610612740,2,0,2025-10-30T01:12:18Z,160000,False,,,0,,MISS Z. Williamson Free Throw 1 of 2,[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
17,PT10M48.00S,2025-10-30T01:12:18.8Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612740,2,0,2025-10-30T01:12:18Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612740.0,NOP,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,
18,PT10M48.00S,2025-10-30T01:12:26.9Z,1,REGULAR,freethrow,2 of 2,['2ndchance'],1629627,,,1610612740,2,1,2025-10-30T01:12:26Z,180000,False,,,0,,Z. Williamson Free Throw 2 of 2 (1 PTS),[1629627],1610612740.0,NOP,,,,Williamson,Z. Williamson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
