actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-03-22T21:10:29.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-22T21:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-22T21:10:33.1Z,1,REGULAR,jumpball,recovered,[],1631128,,,1610612743,0,0,2026-03-22T21:10:33Z,40000,False,,,0,,Jump Ball N. Jokić vs. D. Clingan: Tip to C. Braun,"[1631128, 203999, 1642270]",1610612743.0,DEN,startperiod,C. Braun,1631128.0,Braun,C. Braun,Jokić,203999.0,Clingan,1642270.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2026-03-22T21:10:41.9Z,1,REGULAR,2pt,Jump Shot,[],1627750,78.13731931668858,23.52941176470588,1610612743,2,0,2026-03-22T21:10:45Z,70000,False,-132.0,153.0,1,right,J. Murray 20' pullup Jump Shot (2 PTS),[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,20.23,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2026-03-22T21:10:56.9Z,1,REGULAR,3pt,Jump Shot,[],201950,33.327858081471746,43.38235294117647,1610612757,2,0,2026-03-22T21:11:12Z,80000,False,33.0,261.0,1,left,MISS J. Holiday 26' pullup 3PT,[201950],1610612757.0,POR,pullup,,,Holiday,J. Holiday,,,,,Above the Break 3,24+ Center,26.29,Missed,,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2026-03-22T21:10:59.9Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,0,2026-03-22T21:11:01Z,90000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M23.00S,2026-03-22T21:11:05.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629661,69.59592641261499,73.77450980392157,1610612743,5,0,2026-03-22T21:11:32Z,100000,False,119.0,233.0,1,right,C. Johnson 26' 3PT running pullup (3 PTS) (N. Jokić 1 AST),"[1629661, 203999]",1610612743.0,DEN,running pullup,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Right Center,26.19,Made,3.0,,,,,N. Jokić,203999.0,1.0,,,,,,,,,,
12,PT11M11.00S,2026-03-22T21:11:17.1Z,1,REGULAR,3pt,Jump Shot,[],1642270,24.78646517739816,85.04901960784314,1610612757,5,3,2026-03-22T21:11:21Z,120000,False,-175.0,180.0,1,left,D. Clingan 25' 3PT  (3 PTS) (D. Avdija 1 AST),"[1642270, 1630166]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Left Center,25.15,Made,3.0,,,,,D. Avdija,1630166.0,1.0,,,,,,,,,,
14,PT10M53.00S,2026-03-22T21:11:35.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,87.99277266754271,49.754901960784316,1610612743,7,3,2026-03-22T21:12:11Z,140000,False,-1.0,60.0,1,right,J. Murray 6' driving finger roll Layup (4 PTS) (N. Jokić 2 AST),"[1627750, 203999]",1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,6.04,Made,4.0,,,,,N. Jokić,203999.0,2.0,,,,,,,,,,
16,PT10M43.00S,2026-03-22T21:11:44.9Z,1,REGULAR,3pt,Jump Shot,[],1642270,29.38567674113009,22.54901960784314,1610612757,7,6,2026-03-22T21:11:48Z,160000,False,137.0,224.0,1,left,D. Clingan 26' 3PT  (6 PTS) (D. Avdija 2 AST),"[1642270, 1630166]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,26.25,Made,6.0,,,,,D. Avdija,1630166.0,2.0,,,,,,,,,,
18,PT10M32.00S,2026-03-22T21:11:56.0Z,1,REGULAR,3pt,Jump Shot,[],1627750,85.62746386333771,3.1862745098039214,1610612743,10,6,2026-03-22T21:12:02Z,180000,False,-234.0,83.0,1,right,J. Murray 24' 3PT step back (7 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,24.82,Made,7.0,,,,,,,,,,,,,,,,,
