actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-16T02:42:36.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-16T02:42:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-16T02:42:37.4Z,1,REGULAR,jumpball,recovered,[],1641708,,,1610612745,0,0,2025-12-16T02:42:37Z,40000,False,,,0,,Jump Ball A. Sengun vs. N. Jokić: Tip to A. Thompson,"[1641708, 1630578, 203999]",1610612745.0,HOU,startperiod,A. Thompson,1641708.0,Thompson,A. Thompson,Sengun,1630578.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2025-12-16T02:42:57.4Z,1,REGULAR,3pt,Jump Shot,[],1629006,76.16622864651774,12.009803921568627,1610612745,0,3,2025-12-16T02:43:30Z,70000,False,-190.0,172.0,1,right,J. Okogie 25' 3PT  (3 PTS) (A. Sengun 1 AST),"[1629006, 1630578]",1610612745.0,HOU,,,,Okogie,J. Okogie,,,,,Above the Break 3,24+ Left Center,25.6,Made,3.0,A. Sengun,1630578.0,1.0,,,,,,,,,,,,,,
9,PT11M07.00S,2025-12-16T02:43:25.2Z,1,REGULAR,3pt,Jump Shot,[],1631212,8.229303547963205,5.392156862745098,1610612743,3,3,2025-12-16T02:43:30Z,90000,False,223.0,25.0,1,left,P. Watson 3PT  (3 PTS) (N. Jokić 1 AST),"[1631212, 203999]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,Right Corner 3,24+ Right,22.44,Made,3.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,
11,PT10M50.00S,2025-12-16T02:43:41.7Z,1,REGULAR,turnover,bad pass,[],1630578,,,1610612745,3,3,2025-12-16T02:43:44Z,110000,False,,,0,,A. Sengun bad pass TURNOVER (1 TO),"[1630578, 1631212]",1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Watson,1631212.0,,,,,,,,,,,
12,PT10M50.00S,2025-12-16T02:43:41.7Z,1,REGULAR,steal,,[],1631212,,,1610612743,3,3,2025-12-16T02:43:43Z,120000,False,,,0,,P. Watson STEAL (1 STL),[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
13,PT10M45.00S,2025-12-16T02:43:47.3Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,3,3,2025-12-16T02:43:51Z,130000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),"[203999, 1630578]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Sengun,1630578.0,,,,,,,,,,,
14,PT10M45.00S,2025-12-16T02:43:47.3Z,1,REGULAR,steal,,[],1630578,,,1610612745,3,3,2025-12-16T02:43:49Z,140000,False,,,0,,A. Sengun STEAL (1 STL),[1630578],1610612745.0,HOU,,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M39.00S,2025-12-16T02:44:09.6Z,1,REGULAR,turnover,out-of-bounds,[],1631095,,,1610612745,3,3,2025-12-16T02:44:15Z,160000,False,,,0,,J. Smith Jr. lost ball out-of-bounds TURNOVER (1 TO),[1631095],1610612745.0,HOU,lost ball,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,16-24 Right Center,,,,,,,1.0,,,2534.0,,,,,,,,,,
17,PT10M25.00S,2025-12-16T02:44:28.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631212,8.360709592641262,4.901960784313726,1610612743,3,3,2025-12-16T02:44:32Z,170000,False,225.0,26.0,1,left,MISS P. Watson 3PT,[1631212],1610612743.0,DEN,,,,Watson,P. Watson,,,,,Right Corner 3,24+ Right,22.7,Missed,,,,,,,,,,,,,,,,,,
18,PT10M23.00S,2025-12-16T02:44:30.0Z,1,REGULAR,rebound,defensive,[],201142,,,1610612745,3,3,2025-12-16T02:44:32Z,180000,False,,,0,,K. Durant REBOUND (Off:0 Def:1),[201142],1610612745.0,HOU,,,,Durant,K. Durant,,,,,Right Corner 3,24+ Right,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,
19,PT10M17.00S,2025-12-16T02:44:36.6Z,1,REGULAR,2pt,Jump Shot,[],201142,82.34231274638634,72.79411764705883,1610612745,3,3,2025-12-16T02:44:42Z,190000,False,114.0,113.0,1,right,MISS K. Durant 16' turnaround Shot,[201142],1610612745.0,HOU,turnaround,,,Durant,K. Durant,,,,,Mid-Range,16-24 Right Center,16.09,Missed,,,,,,,,,,,,,,,,,,
20,PT10M13.00S,2025-12-16T02:44:40.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,3,2025-12-16T02:44:42Z,200000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
21,PT10M05.00S,2025-12-16T02:44:48.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,6.1268068331143235,46.81372549019608,1610612743,5,3,2025-12-16T02:44:53Z,210000,False,16.0,5.0,1,left,J. Murray driving finger roll Layup (2 PTS),[1627750],1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,1.67,Made,2.0,,,,,,,,,,,,,,,,,
22,PT09M46.00S,2025-12-16T02:45:15.9Z,1,REGULAR,foul,technical,['1freethrow'],1642461,,,1610612745,5,3,2025-12-16T02:45:23Z,220000,False,,,0,,S. Jones defensive-3-second technical FOUL (1 Tech),[1642461],1610612743.0,DEN,defensive-3-second,,,Jones,S. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,1628485.0,,,,,0.0,1.0,,,,
23,PT09M46.00S,2025-12-16T02:45:34.1Z,1,REGULAR,freethrow,1 of 1,[],201142,,,1610612745,5,4,2025-12-16T02:45:34Z,230000,False,,,0,,K. Durant technical Free Throw 1 of 1 (1 PTS),[201142],1610612745.0,HOU,technical,,,Durant,K. Durant,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
24,PT09M42.00S,2025-12-16T02:45:57.3Z,1,REGULAR,foul,personal,[],203999,,,1610612745,5,4,2025-12-16T02:46:10Z,240000,False,,,0,,N. Jokić personal FOUL (1 PF),"[203999, 201142]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,1628485.0,,,,,1.0,0.0,Durant,201142.0,,
26,PT09M29.00S,2025-12-16T02:46:29.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630578,84.97043363994744,37.00980392156863,1610612745,5,6,2025-12-16T02:47:51Z,260000,False,-65.0,89.0,1,right,A. Sengun 11' turnaround fadeaway Jump Shot (2 PTS),[1630578],1610612745.0,HOU,turnaround fadeaway,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),8-16 Left,11.0,Made,2.0,,,,,,,,,,,,,,,,,
27,PT09M17.00S,2025-12-16T02:46:40.6Z,1,REGULAR,2pt,Jump Shot,[],1629661,10.463206307490145,21.568627450980394,1610612743,7,6,2025-12-16T02:46:46Z,270000,False,142.0,46.0,1,left,C. Johnson 14' fadeaway Jump Shot (2 PTS) (N. Jokić 2 AST),"[1629661, 203999]",1610612743.0,DEN,fadeaway,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Right,14.94,Made,2.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,
29,PT09M04.00S,2025-12-16T02:46:53.3Z,1,REGULAR,2pt,Jump Shot,[],1630578,85.23324572930355,23.284313725490197,1610612745,7,8,2025-12-16T02:46:59Z,290000,False,-134.0,86.0,1,right,A. Sengun 15' pullup Jump Shot (4 PTS) (J. Smith Jr. 1 AST),"[1630578, 1631095]",1610612745.0,HOU,pullup,,,Sengun,A. Sengun,,,,,Mid-Range,8-16 Left,15.9,Made,4.0,J. Smith Jr.,1631095.0,1.0,,,,,,,,,,,,,,
31,PT08M52.00S,2025-12-16T02:47:05.4Z,1,REGULAR,3pt,Jump Shot,[],1642461,4.681340341655716,96.56862745098039,1610612743,7,8,2025-12-16T02:47:09Z,310000,False,-233.0,-8.0,1,left,MISS S. Jones 3PT,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Left Corner 3,24+ Left,23.3,Missed,,,,,,,,,,,,,,,,,,
32,PT08M49.00S,2025-12-16T02:47:08.4Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,7,8,2025-12-16T02:47:09Z,320000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Left Corner 3,24+ Left,,,,,,,,,,,31.0,1.0,1.0,0.0,,,,,,
33,PT08M38.00S,2025-12-16T02:47:19.4Z,1,REGULAR,2pt,Jump Shot,[],1630578,78.0059132720105,34.55882352941176,1610612745,7,10,2025-12-16T02:48:54Z,330000,False,-77.0,154.0,1,right,A. Sengun 17' pullup Jump Shot (6 PTS),[1630578],1610612745.0,HOU,pullup,,,Sengun,A. Sengun,,,,,Mid-Range,16-24 Left Center,17.24,Made,6.0,,,,,,,,,,,,,,,,,
34,PT08M18.00S,2025-12-16T02:47:39.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631212,4.944152431011826,50.245098039215684,1610612743,9,10,2025-12-16T02:47:44Z,340000,False,-1.0,-6.0,1,left,P. Watson cutting DUNK (5 PTS) (N. Jokić 3 AST),"[1631212, 203999]",1610612743.0,DEN,cutting,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,0.61,Made,5.0,N. Jokić,203999.0,3.0,,,,,,,,,,,,,,
36,PT07M52.00S,2025-12-16T02:48:05.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201142,80.6340341655716,60.5392156862745,1610612745,9,10,2025-12-16T02:50:27Z,360000,False,53.0,130.0,1,right,MISS K. Durant 13' turnaround Shot,[201142],1610612745.0,HOU,turnaround,,,Durant,K. Durant,,,,,In The Paint (Non-RA),8-16 Center,13.98,Missed,,,,,,,,,,,,,,,,,,
37,PT07M51.00S,2025-12-16T02:48:06.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,9,10,2025-12-16T02:48:09Z,370000,False,,,0,,N. Jokić REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,36.0,2.0,2.0,0.0,,,,,,
38,PT07M36.00S,2025-12-16T02:48:22.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631212,6.1268068331143235,50.245098039215684,1610612743,9,10,2025-12-16T02:51:02Z,380000,False,-1.0,5.0,1,left,MISS P. Watson driving floating Shot,[1631212],1610612743.0,DEN,driving floating,,,Watson,P. Watson,,,,,Restricted Area,0-8 Center,0.52,Missed,,,,,,,,,,,,,,,,,,
39,PT07M34.00S,2025-12-16T02:48:24.0Z,1,REGULAR,rebound,defensive,[],1641708,,,1610612745,9,10,2025-12-16T02:48:27Z,390000,False,,,0,,A. Thompson REBOUND (Off:0 Def:1),[1641708],1610612745.0,HOU,,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,,,,,,38.0,1.0,1.0,0.0,,,,,,
40,PT07M30.00S,2025-12-16T02:48:27.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629006,94.1688567674113,53.92156862745098,1610612745,9,12,2025-12-16T02:48:33Z,400000,False,20.0,2.0,1,right,J. Okogie running DUNK (5 PTS) (A. Thompson 1 AST),"[1629006, 1641708]",1610612745.0,HOU,running,,,Okogie,J. Okogie,,,,,Restricted Area,0-8 Center,1.97,Made,5.0,A. Thompson,1641708.0,1.0,,,,,,,,,,,,,,
42,PT07M19.00S,2025-12-16T02:48:38.7Z,1,REGULAR,3pt,Jump Shot,[],1629661,25.443495400788436,83.33333333333334,1610612743,9,12,2025-12-16T02:48:43Z,420000,False,-167.0,187.0,1,left,MISS C. Johnson 25' 3PT,[1629661],1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Left Center,25.03,Missed,,,,,,,,,,,,,,,,,,
