actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-06T03:12:48.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-06T03:12:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2026-03-06T03:12:54.2Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2026-03-06T03:12:54Z,40000,False,,,0,,Jump Ball N. Jokić vs. D. Ayton: Tip to J. Murray,"[1627750, 203999, 1629028]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokić,203999.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2026-03-06T03:13:18.2Z,1,REGULAR,foul,personal,['3freethrow'],1630559,,,1610612743,0,0,2026-03-06T03:13:33Z,70000,False,,,0,,A. Reaves shooting personal FOUL (1 PF) (Murray 3 FT),"[1630559, 1627750]",1610612747.0,LAL,shooting,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,203592.0,1.0,0.0,Murray,1627750.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2026-03-06T03:13:35.1Z,1,REGULAR,freethrow,1 of 3,[],1627750,,,1610612743,1,0,2026-03-06T03:13:35Z,90000,False,,,0,,J. Murray Free Throw 1 of 3 (1 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M41.00S,2026-03-06T03:13:52.8Z,1,REGULAR,freethrow,2 of 3,[],1627750,,,1610612743,2,0,2026-03-06T03:13:52Z,100000,False,,,0,,J. Murray Free Throw 2 of 3 (2 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M41.00S,2026-03-06T03:14:15.0Z,1,REGULAR,freethrow,3 of 3,[],1627750,,,1610612743,3,0,2026-03-06T03:14:15Z,110000,False,,,0,,J. Murray Free Throw 3 of 3 (3 PTS),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,,,,,,,,Made,3.0,,,,,,,,,,,,,
12,PT11M26.00S,2026-03-06T03:14:31.6Z,1,REGULAR,3pt,Jump Shot,[],1629029,34.11629434954008,51.9607843137255,1610612747,3,0,2026-03-06T03:14:38Z,120000,False,-10.0,268.0,1,left,MISS L. Dončić 26' 3PT,[1629029],1610612747.0,LAL,,,,Dončić,L. Dončić,,,,,Above the Break 3,24+ Center,,,,,,Missed,,26.84,,,,,,,,,,,,
13,PT11M22.00S,2026-03-06T03:14:35.6Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2026-03-06T03:14:38Z,130000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M09.00S,2026-03-06T03:14:48.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203999,92.46057818659659,55.392156862745104,1610612743,5,0,2026-03-06T03:14:52Z,140000,False,27.0,18.0,1,right,N. Jokić Layup (2 PTS) (J. Murray 1 AST),"[203999, 1627750]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,3.27,,,,,J. Murray,1627750.0,1.0,,,,,
16,PT10M55.00S,2026-03-06T03:15:03.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630559,17.69053876478318,62.254901960784316,1610612747,5,0,2026-03-06T03:15:07Z,160000,False,-61.0,114.0,1,left,MISS A. Reaves 12' pullup Shot,[1630559],1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,12.93,,,,,,,,,,,,
