actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-03-18T02:12:43.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-18T02:12:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-03-18T02:12:46.4Z,1,REGULAR,jumpball,recovered,[],1631128,,,1610612743,0,0,2026-03-18T02:12:46Z,40000,False,,,0,,Jump Ball N. Jokić vs. A. Bona: Tip to C. Braun,"[1631128, 203999, 1641737]",1610612743.0,DEN,startperiod,C. Braun,1631128.0,Braun,C. Braun,Jokić,203999.0,Bona,1641737.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-18T02:12:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,93.38042049934296,45.34313725490196,1610612743,2,0,2026-03-18T02:13:23Z,70000,False,-23.0,10.0,1,right,A. Gordon cutting Layup (2 PTS) (N. Jokić 1 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,2.52,Made,2.0,N. Jokić,203999.0,1.0,,,,,,,,,,,,,,
9,PT11M37.00S,2026-03-18T02:13:06.5Z,1,REGULAR,turnover,out-of-bounds,[],1629656,,,1610612755,2,0,2026-03-18T02:13:12Z,90000,False,,,0,,Q. Grimes bad pass out-of-bounds TURNOVER (1 TO),[1629656],1610612755.0,PHI,bad pass,,,Grimes,Q. Grimes,,,,,Mid-Range,16-24 Center,,,,,,,202041.0,1.0,,,,,,,,,,,,
10,PT11M25.00S,2026-03-18T02:13:22.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203999,88.38699080157687,52.20588235294118,1610612743,2,0,2026-03-18T02:13:27Z,100000,False,11.0,57.0,1,right,MISS N. Jokić finger roll Layup,[203999],1610612743.0,DEN,finger roll,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,5.78,Missed,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2026-03-18T02:13:24.1Z,1,REGULAR,rebound,defensive,[],1641737,,,1610612755,2,0,2026-03-18T02:13:27Z,110000,False,,,0,,A. Bona REBOUND (Off:0 Def:1),[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M17.00S,2026-03-18T02:13:29.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1642845,6.783837056504599,45.83333333333333,1610612755,2,2,2026-03-18T02:14:12Z,120000,False,21.0,11.0,1,left,V. Edgecombe running finger roll Layup (2 PTS),[1642845],1610612755.0,PHI,running finger roll,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,2.37,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M03.00S,2026-03-18T02:13:44.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,93.38042049934296,50.73529411764706,1610612743,4,2,2026-03-18T02:15:31Z,130000,False,4.0,10.0,1,right,A. Gordon cutting Layup (4 PTS) (N. Jokić 2 AST),"[203932, 203999]",1610612743.0,DEN,cutting,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,1.04,Made,4.0,N. Jokić,203999.0,2.0,,,,,,,,,,,,,,
15,PT10M45.00S,2026-03-18T02:14:01.5Z,1,REGULAR,3pt,Jump Shot,[],1641737,5.732588699080158,94.85294117647058,1610612755,4,2,2026-03-18T02:14:06Z,150000,False,-224.0,1.0,1,left,MISS A. Bona 3PT,[1641737],1610612755.0,PHI,,,,Bona,A. Bona,,,,,Left Corner 3,24+ Left,22.43,Missed,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2026-03-18T02:14:03.5Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,4,2,2026-03-18T02:14:06Z,160000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M35.00S,2026-03-18T02:14:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,91.67214191852825,43.13725490196079,1610612743,4,2,2026-03-18T02:14:18Z,170000,False,-34.0,26.0,1,right,MISS J. Murray driving finger roll Layup - blocked,"[1627750, 1631230]",1610612743.0,DEN,driving finger roll,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,4.29,Missed,,,,,,,,,,,Barlow,1631230.0,,,,,,
18,PT10M35.00S,2026-03-18T02:14:12.2Z,1,REGULAR,block,,[],1631230,,,1610612743,4,2,2026-03-18T02:14:14Z,180000,False,,,0,,D. Barlow BLOCK (1 BLK),[1631230],1610612755.0,PHI,,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M32.00S,2026-03-18T02:14:15.2Z,1,REGULAR,rebound,defensive,[],1642845,,,1610612755,4,2,2026-03-18T02:14:18Z,190000,False,,,0,,V. Edgecombe REBOUND (Off:0 Def:1),[1642845],1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Restricted Area,0-8 Center,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,
20,PT10M29.00S,2026-03-18T02:14:17.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1641737,4.944152431011826,50.245098039215684,1610612755,4,4,2026-03-18T02:14:23Z,200000,False,-1.0,-6.0,1,left,A. Bona running DUNK (2 PTS) (V. Edgecombe 1 AST),"[1641737, 1642845]",1610612755.0,PHI,running,,,Bona,A. Bona,,,,,Restricted Area,0-8 Center,0.61,Made,2.0,V. Edgecombe,1642845.0,1.0,,,,,,,,,,,,,,
22,PT10M09.00S,2026-03-18T02:14:37.7Z,1,REGULAR,turnover,bad pass,[],1627750,,,1610612743,4,4,2026-03-18T02:14:43Z,220000,False,,,0,,J. Murray bad pass TURNOVER (1 TO),"[1627750, 1642348]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,,,,,,,Edwards,1642348.0,,,,
23,PT10M09.00S,2026-03-18T02:14:37.7Z,1,REGULAR,steal,,[],1642348,,,1610612755,4,4,2026-03-18T02:15:23Z,230000,False,,,0,,J. Edwards STEAL (1 STL),[1642348],1610612755.0,PHI,,,,Edwards,J. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
24,PT10M00.00S,2026-03-18T02:14:47.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1642845,18.2161629434954,28.676470588235293,1610612755,4,4,2026-03-18T02:14:52Z,240000,False,107.0,119.0,1,left,MISS V. Edgecombe 15' pullup Shot,[1642845],1610612755.0,PHI,pullup,,,Edgecombe,V. Edgecombe,,,,,Mid-Range,8-16 Right,15.95,Missed,,,,,,,,,,,,,,,,,,
