actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-12T02:11:18.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-12T02:11:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-12T02:11:21.6Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2026-02-12T02:11:21Z,40000,False,,,0,,Jump Ball N. Jokić vs. G. Jackson: Tip to J. Murray,"[1627750, 203999, 1641713]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Jokić,203999.0,Jackson,1641713.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-02-12T02:11:39.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,92.46057818659659,40.931372549019606,1610612743,2,0,2026-02-12T02:12:05Z,70000,False,-45.0,18.0,1,right,J. Murray driving Layup (2 PTS),[1627750],1610612743.0,DEN,driving,,,Murray,J. Murray,,,,,In The Paint (Non-RA),0-8 Center,4.89,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M28.00S,2026-02-12T02:11:49.8Z,1,REGULAR,3pt,Jump Shot,[],1641713,6.389618922470433,97.79411764705883,1610612763,2,3,2026-02-12T02:11:56Z,80000,False,-239.0,8.0,1,left,G. Jackson 3PT  (3 PTS) (T. Jerome 1 AST),"[1641713, 1629660]",1610612763.0,MEM,,,,Jackson,G. Jackson,,,,,Left Corner 3,24+ Left,23.91,Made,3.0,T. Jerome,1629660.0,1.0,,,,,,,,,,,,,,
10,PT11M14.00S,2026-02-12T02:12:05.6Z,1,REGULAR,violation,kicked ball,[],203937,,,1610612743,2,3,2026-02-12T02:12:23Z,100000,False,,,0,,K. Anderson kicked ball VIOLATION,[203937],1610612763.0,MEM,,,,Anderson,K. Anderson,,,,,,,,,,,,,1627962.0,,,,,,,,,,,,,
11,PT11M12.00S,2026-02-12T02:12:26.5Z,1,REGULAR,turnover,out-of-bounds,[],203999,,,1610612743,2,3,2026-02-12T02:13:18Z,110000,False,,,0,,N. Jokić bad pass out-of-bounds TURNOVER (1 TO),[203999],1610612743.0,DEN,bad pass,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Right,,,,,,,200833.0,1.0,,,,,,,,,,,,
12,PT11M01.00S,2026-02-12T02:12:47.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1642377,9.280551905387648,46.32352941176471,1610612763,2,5,2026-02-12T02:12:57Z,120000,False,18.0,35.0,1,left,J. Wells alley-oop Layup (2 PTS) (J. Mashack 1 AST),"[1642377, 1642942]",1610612763.0,MEM,alley-oop,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,3.93,Made,2.0,J. Mashack,1642942.0,1.0,,,,,,,,,,,,,,
15,PT11M01.00S,2026-02-12T02:13:08.3Z,1,REGULAR,foul,personal,['1freethrow'],1631124,,,1610612763,2,5,2026-02-12T02:13:51Z,150000,False,,,0,,J. Strawther shooting personal FOUL (1 PF) (Wells 1 FT),"[1631124, 1642377]",1610612743.0,DEN,shooting,,,Strawther,J. Strawther,,,,,Restricted Area,0-8 Center,,,,,,,200833.0,,1.0,0.0,Wells,1642377.0,,,,,,,,
17,PT11M01.00S,2026-02-12T02:13:16.0Z,1,REGULAR,freethrow,1 of 1,['fromturnover'],1642377,,,1610612763,2,6,2026-02-12T02:13:16Z,170000,False,,,0,,J. Wells Free Throw 1 of 1 (3 PTS),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
18,PT10M53.00S,2026-02-12T02:13:20.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627750,91.27792378449409,44.85294117647059,1610612743,2,6,2026-02-12T03:26:57Z,180000,False,-26.0,29.0,1,right,MISS J. Murray driving reverse Layup,[1627750],1610612743.0,DEN,driving reverse,,,Murray,J. Murray,,,,,Restricted Area,0-8 Center,3.91,Missed,,,,,,,,,,,,,,,,,,
