actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-11-08T03:12:47.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-08T03:12:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M52.00S,2025-11-08T03:12:54.0Z,1,REGULAR,jumpball,recovered,[],202710,,,1610612744,0,0,2025-11-08T03:12:54Z,40000,False,,,0,,Jump Ball D. Green vs. N. Jokić: Tip to J. Butler III,"[202710, 203110, 203999]",1610612744.0,GSW,startperiod,J. Butler III,202710.0,Butler III,J. Butler III,Green,203110.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-11-08T03:13:06.3Z,1,REGULAR,3pt,Jump Shot,[],203110,87.99277266754271,97.54901960784314,1610612744,0,3,2025-11-08T03:13:11Z,70000,False,238.0,60.0,1,right,D. Green 24' 3PT  (3 PTS) (M. Moody 1 AST),"[203110, 1630541]",1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,24.53,Made,3.0,M. Moody,1630541.0,1.0,,,,,,,,,,,,,,
9,PT11M14.00S,2025-11-08T03:13:37.6Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,0,3,2025-11-08T03:13:44Z,90000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,204058.0,,,,,,,,,,,,,
10,PT11M01.00S,2025-11-08T03:14:00.6Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203110,68.01905387647832,24.754901960784316,1610612744,0,3,2025-11-08T03:14:04Z,100000,False,-126.0,248.0,1,right,MISS D. Green 27' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,27.84,Missed,,,,,,,,,,,,,,,,,,
11,PT10M58.00S,2025-11-08T03:14:03.6Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,3,2025-11-08T03:14:04Z,110000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT10M47.00S,2025-11-08T03:14:15.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,13.748357424441524,46.07843137254902,1610612743,0,3,2025-11-08T03:14:22Z,120000,False,20.0,77.0,1,left,MISS N. Jokić 7' turnaround Shot,[203999],1610612743.0,DEN,turnaround,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),0-8 Center,7.92,Missed,,,,,,,,,,,,,,,,,,
13,PT10M44.00S,2025-11-08T03:14:18.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,3,2025-11-08T03:14:22Z,130000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M36.00S,2025-11-08T03:14:25.6Z,1,REGULAR,2pt,Jump Shot,[],1630228,79.188567674113,34.31372549019608,1610612744,0,3,2025-11-08T03:14:31Z,140000,False,-78.0,143.0,1,right,MISS J. Kuminga 16' pullup Shot,[1630228],1610612744.0,GSW,pullup,,,Kuminga,J. Kuminga,,,,,Mid-Range,16-24 Left Center,16.32,Missed,,,,,,,,,,,,,,,,,,
15,PT10M33.00S,2025-11-08T03:14:28.6Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,0,3,2025-11-08T03:14:31Z,150000,False,,,0,,A. Gordon REBOUND (Off:0 Def:2),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Mid-Range,16-24 Left Center,,,,,,,,14.0,2.0,2.0,0.0,,,,,,,,,
