actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-04T19:13:11.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-04T19:13:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-04-04T19:13:15.1Z,1,REGULAR,jumpball,recovered,[],1628368,,,1610612759,0,0,2026-04-04T19:13:15Z,40000,False,,,0,,Jump Ball V. Wembanyama vs. N. Jokić: Tip to D. Fox,"[1628368, 1641705, 203999]",1610612759.0,SAS,startperiod,D. Fox,1628368.0,Fox,D. Fox,Wembanyama,1641705.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-04-04T19:13:31.4Z,1,REGULAR,3pt,Jump Shot,[],1630577,27.020367936925098,22.794117647058822,1610612759,0,0,2026-04-04T19:20:35Z,70000,False,136.0,201.0,1,left,MISS J. Champagnie 24' 3PT,[1630577],1610612759.0,SAS,,,,Champagnie,J. Champagnie,,,,,Above the Break 3,24+ Right Center,24.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-04-04T19:13:31.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,0,2026-04-04T19:13:48Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2026-04-04T19:13:41.1Z,1,REGULAR,foul,personal,[],1641705,,,1610612743,0,0,2026-04-04T19:14:05Z,90000,False,,,0,,V. Wembanyama loose ball personal FOUL (1 PF),"[1641705, 203932]",1610612759.0,SAS,loose ball,,,Wembanyama,V. Wembanyama,,,,,Restricted Area,0-8 Center,,,,1626300.0,1.0,0.0,Gordon,203932.0,,,,,,,,,,,,
11,PT11M23.00S,2026-04-04T19:14:01.1Z,1,REGULAR,3pt,Jump Shot,[],1629661,88.12417871222075,97.05882352941177,1610612743,3,0,2026-04-04T19:14:09Z,110000,False,235.0,59.0,1,right,C. Johnson 24' 3PT  (3 PTS) (J. Murray 1 AST),"[1629661, 1627750]",1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,24.26,Made,,,,,,,3.0,J. Murray,1627750.0,1.0,,,,,,,,
13,PT11M07.00S,2026-04-04T19:14:15.8Z,1,REGULAR,3pt,Jump Shot,[],1630170,34.37910643889619,48.529411764705884,1610612759,3,3,2026-04-04T19:14:20Z,130000,False,7.0,271.0,1,left,D. Vassell 27' 3PT  (3 PTS) (J. Champagnie 1 AST),"[1630170, 1630577]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Above the Break 3,24+ Center,27.08,Made,,,,,,,3.0,J. Champagnie,1630577.0,1.0,,,,,,,,
15,PT10M50.00S,2026-04-04T19:14:32.6Z,1,REGULAR,3pt,Jump Shot,[],1631128,90.3580814717477,5.392156862745098,1610612743,3,3,2026-04-04T19:14:39Z,150000,False,-223.0,38.0,1,right,MISS C. Braun 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,22.62,Missed,,,,,,,,,,,,,,,,,,
16,PT10M47.00S,2026-04-04T19:14:35.6Z,1,REGULAR,rebound,defensive,[],1630170,,,1610612759,3,3,2026-04-04T19:14:39Z,160000,False,,,0,,D. Vassell REBOUND (Off:0 Def:1),[1630170],1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,Left Corner 3,24+ Left,,,15.0,,,,,,,,,,1.0,1.0,0.0,,,,,
17,PT10M40.00S,2026-04-04T19:14:43.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628368,6.258212877792378,46.81372549019608,1610612759,3,5,2026-04-04T19:14:48Z,170000,False,16.0,6.0,1,left,D. Fox driving Layup (2 PTS) (D. Vassell 1 AST),"[1628368, 1630170]",1610612759.0,SAS,driving,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,1.71,Made,,,,,,,2.0,D. Vassell,1630170.0,1.0,,,,,,,,
