actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-09T01:10:44.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-09T01:10:44Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-09T01:10:46.9Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2026-04-09T01:10:46Z,40000,False,,,0,,Jump Ball N. Jokić vs. T. Hendricks: Tip to A. Gordon,"[203932, 203999, 1641707]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokić,203999.0,Hendricks,1641707.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2026-04-09T01:10:57.1Z,1,REGULAR,turnover,out-of-bounds,[],1627750,,,1610612743,0,0,2026-04-09T01:11:07Z,70000,False,,,0,,J. Murray bad pass out-of-bounds TURNOVER (1 TO),[1627750],1610612743.0,DEN,bad pass,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,203593.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-04-09T01:11:16.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642907,32.14520367936925,69.6078431372549,1610612763,0,0,2026-04-09T01:11:21Z,80000,False,-98.0,250.0,1,left,MISS C. Coward 26' pullup 3PT,[1642907],1610612763.0,MEM,pullup,,,Coward,C. Coward,,,,,Above the Break 3,24+ Left Center,,,26.82,Missed,,,,,,,,,,,,,,,,
9,PT11M35.00S,2026-04-09T01:11:18.5Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2026-04-09T01:11:47Z,90000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M30.00S,2026-04-09T01:11:25.8Z,1,REGULAR,foul,personal,[],1642907,,,1610612743,0,0,2026-04-09T01:11:34Z,100000,False,,,0,,C. Coward personal FOUL (1 PF),"[1642907, 203932]",1610612763.0,MEM,,,,Coward,C. Coward,,,,,Restricted Area,0-8 Center,203593.0,,,,,,,,1.0,0.0,Gordon,203932.0,,,,,,,,
12,PT11M25.00S,2026-04-09T01:11:46.1Z,1,REGULAR,2pt,Jump Shot,[],1629661,78.13731931668858,47.794117647058826,1610612743,2,0,2026-04-09T01:11:51Z,120000,False,-11.0,153.0,1,right,C. Johnson 15' Jump Shot (2 PTS) (A. Gordon 1 AST),"[1629661, 203932]",1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Center,,,15.34,Made,,,,,,,,,2.0,A. Gordon,203932.0,1.0,,,,
14,PT11M14.00S,2026-04-09T01:11:56.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642383,16.376478318002626,62.99019607843137,1610612763,2,0,2026-04-09T01:12:00Z,140000,False,-65.0,101.0,1,left,MISS W. Clayton Jr. 12' pullup Shot,[1642383],1610612763.0,MEM,pullup,,,Clayton Jr.,W. Clayton Jr.,,,,,In The Paint (Non-RA),8-16 Left,,,12.04,Missed,,,,,,,,,,,,,,,,
15,PT11M13.00S,2026-04-09T01:11:57.4Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,2,0,2026-04-09T01:12:00Z,150000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,In The Paint (Non-RA),8-16 Left,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M08.00S,2026-04-09T01:12:04.0Z,1,REGULAR,3pt,Jump Shot,[],1631128,90.75229960578186,1.4705882352941175,1610612743,2,0,2026-04-09T01:12:10Z,160000,False,-243.0,34.0,1,right,MISS C. Braun 24' 3PT,[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Left Corner 3,24+ Left,,,24.5,Missed,,,,,,,,,,,,,,,,
