actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
19,PT10M42.00S,2025-12-26T03:45:16.6Z,1,REGULAR,steal,,[],1630162,,,1610612750,3,0,2025-12-26T03:45:18Z,190000,False,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2025-12-26T03:45:22.2Z,1,REGULAR,turnover,bad pass,[],1630162,,,1610612750,3,0,2025-12-26T03:45:26Z,200000,False,,,0,,A. Edwards bad pass TURNOVER (2 TO),"[1630162, 1642461]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,2.0,Jones,1642461.0,,,,,,,
21,PT10M36.00S,2025-12-26T03:45:22.2Z,1,REGULAR,steal,,[],1642461,,,1610612743,3,0,2025-12-26T03:45:23Z,210000,False,,,0,,S. Jones STEAL (1 STL),[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
22,PT10M31.00S,2025-12-26T03:45:27.0Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627750,8.492115637319317,98.2843137254902,1610612743,3,0,2025-12-26T03:45:35Z,220000,False,-241.0,27.0,1,left,MISS J. Murray 24' running 3PT,[1627750],1610612743.0,DEN,running,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,24.29,Missed,,,,,,,,,,,,,,,,,,
23,PT10M28.00S,2025-12-26T03:45:30.0Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,3,0,2025-12-26T03:45:35Z,230000,False,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,Left Corner 3,24+ Left,,,22.0,,,,,,,,,,,1.0,1.0,0.0,,,,
24,PT10M20.00S,2025-12-26T03:45:38.2Z,1,REGULAR,3pt,Jump Shot,[],1630162,76.03482260183968,14.950980392156863,1610612750,3,0,2025-12-26T03:45:43Z,240000,False,-175.0,173.0,1,right,MISS A. Edwards 24' step back 3PT,[1630162],1610612750.0,MIN,step back,,,Edwards,A. Edwards,,,,,Above the Break 3,24+ Left Center,24.61,Missed,,,,,,,,,,,,,,,,,,
25,PT10M17.00S,2025-12-26T03:45:41.2Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,3,0,2025-12-26T03:45:43Z,250000,False,,,0,,N. Jokić REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Above the Break 3,24+ Left Center,,,24.0,,,,,,,,,,,1.0,1.0,0.0,,,,
26,PT10M02.00S,2025-12-26T03:45:56.5Z,1,REGULAR,turnover,lost ball,[],1631212,,,1610612743,3,0,2025-12-26T03:46:00Z,260000,False,,,0,,P. Watson lost ball TURNOVER (1 TO),"[1631212, 1630162]",1610612743.0,DEN,,,,Watson,P. Watson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Edwards,1630162.0,,,,,,,
27,PT10M02.00S,2025-12-26T03:45:56.5Z,1,REGULAR,steal,,[],1630162,,,1610612750,3,0,2025-12-26T03:45:58Z,270000,False,,,0,,A. Edwards STEAL (2 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M58.00S,2025-12-26T03:46:00.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1628978,91.27792378449409,49.01960784313725,1610612750,3,2,2025-12-26T03:48:49Z,280000,False,-5.0,29.0,1,right,D. DiVincenzo running reverse Layup (2 PTS) (J. Randle 1 AST),"[1628978, 203944]",1610612750.0,MIN,running reverse,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,2.99,Made,,2.0,J. Randle,203944.0,1.0,,,,,,,,,,,,,
30,PT09M41.00S,2025-12-26T03:46:16.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642461,6.652431011826544,56.86274509803921,1610612743,3,2,2025-12-26T03:46:23Z,300000,False,-34.0,10.0,1,left,MISS S. Jones cutting Layup - blocked,"[1642461, 203497]",1610612743.0,DEN,cutting,,,Jones,S. Jones,,,,,Restricted Area,0-8 Center,3.57,Missed,,,,,,Gobert,203497.0,,,,,,,,,,,
31,PT09M41.00S,2025-12-26T03:46:16.7Z,1,REGULAR,block,,[],203497,,,1610612743,3,2,2025-12-26T03:46:18Z,310000,False,,,0,,R. Gobert BLOCK (1 BLK),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
32,PT09M39.00S,2025-12-26T03:46:18.7Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,3,2,2025-12-26T03:49:48Z,320000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,Restricted Area,0-8 Center,,,30.0,,,,,,,,,,,1.0,1.0,0.0,,,,
34,PT09M26.00S,2025-12-26T03:46:32.1Z,1,REGULAR,3pt,Jump Shot,[],1628978,75.77201051248358,89.70588235294117,1610612750,3,2,2025-12-26T03:46:37Z,330000,False,199.0,175.0,1,right,MISS D. DiVincenzo 26' 3PT,[1628978],1610612750.0,MIN,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,26.48,Missed,,,,,,,,,,,,,,,,,,
