actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-18T02:10:42.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-18T02:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-18T02:10:45.2Z,1,REGULAR,jumpball,recovered,[],1627750,,,1610612743,0,0,2026-01-18T02:10:45Z,40000,False,,,0,,Jump Ball A. Gordon vs. A. Sarr: Tip to J. Murray,"[1627750, 203932, 1642259]",1610612743.0,DEN,startperiod,J. Murray,1627750.0,Murray,J. Murray,Gordon,203932.0,Sarr,1642259.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2026-01-18T02:10:50.9Z,1,REGULAR,3pt,Jump Shot,[],1629618,77.08607095926413,13.725490196078432,1610612743,3,0,2026-01-18T02:10:59Z,70000,False,-181.0,163.0,1,right,J. Pickett 24' 3PT pullup (3 PTS) (J. Murray 1 AST),"[1629618, 1627750]",1610612743.0,DEN,pullup,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Left Center,24.38,Made,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2026-01-18T02:11:04.9Z,1,REGULAR,3pt,Jump Shot,[],1642848,30.17411300919842,72.79411764705883,1610612764,3,0,2026-01-18T02:11:10Z,90000,False,-114.0,231.0,1,left,MISS T. Johnson 25' 3PT,[1642848],1610612764.0,WAS,,,,Johnson,T. Johnson,,,,,Above the Break 3,24+ Left Center,25.77,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2026-01-18T02:11:07.9Z,1,REGULAR,rebound,defensive,[],1629618,,,1610612743,3,0,2026-01-18T02:11:10Z,100000,False,,,0,,J. Pickett REBOUND (Off:0 Def:1),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M22.00S,2026-01-18T02:11:18.9Z,1,REGULAR,3pt,Jump Shot,[],1627750,94.95729303547962,4.6568627450980395,1610612743,6,0,2026-01-18T02:12:25Z,110000,False,-227.0,-5.0,1,right,J. Murray 3PT  (3 PTS) (J. Pickett 1 AST),"[1627750, 1629618]",1610612743.0,DEN,,,,Murray,J. Murray,,,,,Left Corner 3,24+ Left,22.68,Made,3.0,J. Pickett,1629618.0,1.0,,,,,,,,,,,,,,
13,PT11M07.00S,2026-01-18T02:11:34.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,13.091327201051248,35.049019607843135,1610612764,6,2,2026-01-18T02:11:41Z,130000,False,75.0,71.0,1,left,K. Middleton 10' fadeaway Jump Shot (2 PTS),[203114],1610612764.0,WAS,fadeaway,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Right,10.29,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M44.00S,2026-01-18T02:12:00.2Z,1,REGULAR,2pt,Jump Shot,[],1631212,94.95729303547962,77.94117647058823,1610612743,6,2,2026-01-18T02:14:22Z,140000,False,140.0,-5.0,1,right,MISS P. Watson 13' pullup Shot - blocked,"[1631212, 1642273]",1610612743.0,DEN,pullup,,,Watson,P. Watson,,,,,Mid-Range,8-16 Right,13.98,Missed,,,,,,,,,George,1642273.0,,,,,,,,
15,PT10M44.00S,2026-01-18T02:12:00.2Z,1,REGULAR,block,,[],1642273,,,1610612743,6,2,2026-01-18T02:12:03Z,150000,False,,,0,,K. George BLOCK (1 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2026-01-18T02:12:01.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,6,2,2026-01-18T02:14:22Z,160000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,8-16 Right,,,,,,,14.0,,,,,,,,,,,,,
18,PT10M42.00S,2026-01-18T02:12:25.3Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627750,86.81011826544021,98.0392156862745,1610612743,6,2,2026-01-18T02:12:32Z,180000,False,240.0,71.0,1,right,MISS J. Murray 25' fadeaway 3PT - blocked,"[1627750, 1642273]",1610612743.0,DEN,fadeaway,,,Murray,J. Murray,,,,,Right Corner 3,24+ Right,25.06,Missed,,,,,,,,,George,1642273.0,,,,,,,,
19,PT10M42.00S,2026-01-18T02:12:25.3Z,1,REGULAR,block,,[],1642273,,,1610612743,6,2,2026-01-18T02:12:28Z,190000,False,,,0,,K. George BLOCK (2 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
20,PT10M42.00S,2026-01-18T02:12:25.3Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,6,2,2026-01-18T02:12:32Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Right Corner 3,24+ Right,,,,,,,18.0,,,,,,,,,,,,,
21,PT10M42.00S,2026-01-18T02:12:30.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612743,6,2,2026-01-18T02:13:05Z,210000,False,,,0,,DEN shot clock Team TURNOVER,[],1610612743.0,DEN,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,1162.0,,,,,,,
23,PT10M21.00S,2026-01-18T02:13:35.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1642848,6.389618922470433,41.17647058823529,1610612764,6,2,2026-01-18T02:13:48Z,230000,False,44.0,8.0,1,left,MISS T. Johnson driving floating bank Shot,[1642848],1610612764.0,WAS,driving floating bank,,,Johnson,T. Johnson,,,,,In The Paint (Non-RA),0-8 Center,4.48,Missed,,,,,,,,,,,,,,,,,,
24,PT10M19.00S,2026-01-18T02:13:37.6Z,1,REGULAR,rebound,defensive,[],203932,,,1610612743,6,2,2026-01-18T02:13:48Z,240000,False,,,0,,A. Gordon REBOUND (Off:0 Def:1),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,
25,PT10M13.00S,2026-01-18T02:13:44.7Z,1,REGULAR,turnover,out-of-bounds,[],203932,,,1610612743,6,2,2026-01-18T02:18:17Z,250000,False,,,0,,A. Gordon bad pass out-of-bounds TURNOVER (1 TO),[203932],1610612743.0,DEN,bad pass,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,1.0,,,,,,
26,PT09M59.00S,2026-01-18T02:14:03.2Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1642259,7.835085413929041,39.705882352941174,1610612764,6,2,2026-01-18T02:14:13Z,260000,False,51.0,21.0,1,left,MISS A. Sarr bank Hook,[1642259],1610612764.0,WAS,bank,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,5.57,Missed,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2026-01-18T02:14:04.2Z,1,REGULAR,rebound,defensive,[],1629618,,,1610612743,6,2,2026-01-18T02:14:13Z,270000,False,,,0,,J. Pickett REBOUND (Off:0 Def:2),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,26.0,2.0,2.0,0.0,,,,,,,,,,
