actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-11T01:10:24.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-11T01:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-11T01:10:26.8Z,1,REGULAR,jumpball,recovered,[],1628971,,,1610612743,0,0,2026-04-11T01:10:26Z,40000,False,,,0,,Jump Ball J. Valančiūnas vs. B. Carlson: Tip to B. Brown,"[1628971, 202685, 1642382]",1610612743.0,DEN,startperiod,B. Brown,1628971.0,Brown,B. Brown,Valančiūnas,202685.0,Carlson,1642382.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-04-11T01:10:38.6Z,1,REGULAR,2pt,Jump Shot,[],203501,22.946780551905388,51.9607843137255,1610612743,0,0,2026-04-11T01:10:43Z,70000,False,-10.0,163.0,1,left,MISS T. Hardaway Jr. 16' pullup Shot,[203501],1610612743.0,DEN,pullup,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Center,16.35,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-04-11T01:10:40.6Z,1,REGULAR,rebound,defensive,[],1642382,,,1610612760,0,0,2026-04-11T01:10:43Z,80000,False,,,0,,B. Carlson REBOUND (Off:0 Def:1),[1642382],1610612760.0,OKC,,,,Carlson,B. Carlson,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M27.00S,2026-04-11T01:10:57.3Z,1,REGULAR,turnover,bad pass,[],1642272,,,1610612760,0,0,2026-04-11T01:11:00Z,90000,False,,,0,,J. McCain bad pass TURNOVER (1 TO),"[1642272, 1628971]",1610612760.0,OKC,,,,McCain,J. McCain,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Brown,1628971.0,,,,,,,,,,,
10,PT11M27.00S,2026-04-11T01:10:57.3Z,1,REGULAR,steal,,[],1628971,,,1610612743,0,0,2026-04-11T01:10:58Z,100000,False,,,0,,B. Brown STEAL (1 STL),[1628971],1610612743.0,DEN,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M18.00S,2026-04-11T01:11:06.4Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203501,5.995400788436268,17.647058823529413,1610612743,0,0,2026-04-11T01:11:12Z,110000,False,162.0,4.0,1,left,MISS T. Hardaway Jr. 16' step back Shot,[203501],1610612743.0,DEN,step back,,,Hardaway Jr.,T. Hardaway Jr.,,,,,Mid-Range,16-24 Right,16.18,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2026-04-11T01:11:09.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612743,0,0,2026-04-11T01:11:09Z,120000,False,,,0,,TEAM offensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Mid-Range,16-24 Right,,,11.0,,,,,,,,,,,,,,,,,
14,PT11M10.00S,2026-04-11T01:11:35.8Z,1,REGULAR,foul,personal,['2freethrow'],1630598,,,1610612743,0,0,2026-04-11T01:11:56Z,140000,False,,,0,,A. Wiggins shooting personal FOUL (1 PF) (Valančiūnas 2 FT),"[1630598, 202685]",1610612760.0,OKC,shooting,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,2534.0,1.0,0.0,Valančiūnas,202685.0,,,,,,
16,PT11M10.00S,2026-04-11T01:12:03.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",202685,,,1610612743,1,0,2026-04-11T01:12:03Z,160000,False,,,0,,J. Valančiūnas Free Throw 1 of 2 (1 PTS),[202685],1610612743.0,DEN,,,,Valančiūnas,J. Valančiūnas,,,,,,,,Made,,,,,,,,,,,,,1.0,,,,,
