actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-19T02:10:36.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-19T02:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-19T02:10:45.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612753,0,0,2025-12-19T02:10:45Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. N. Jokić: Tip to Team (ORL),"[1628976, 203999]",1610612753.0,ORL,startperiod,Team (ORL),Carter Jr.,1628976.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2025-12-19T02:11:04.9Z,1,REGULAR,turnover,out-of-bounds,[],1641710,,,1610612753,0,0,2025-12-19T02:12:11Z,80000,False,,,0,,A. Black step out-of-bounds TURNOVER (1 TO),[1641710],1610612753.0,ORL,step,,,,,,Right Corner 3,24+ Right,1662.0,1.0,Black,A. Black,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2025-12-19T02:11:22.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627750,66.5735873850197,55.63725490196079,1610612743,0,0,2025-12-19T02:11:32Z,90000,False,28.0,262.0,1,right,MISS J. Murray 26' 3PT,[1627750],1610612743.0,DEN,,,,,,,Above the Break 3,24+ Center,,,Murray,J. Murray,26.32,Missed,,,,,,,,,,,,,,,,
10,PT11M33.00S,2025-12-19T02:11:25.1Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,0,2025-12-19T02:11:25Z,100000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,,,,Above the Break 3,24+ Center,,,Banchero,P. Banchero,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M27.00S,2025-12-19T02:11:33.6Z,1,REGULAR,foul,personal,[],203999,,,1610612753,0,0,2025-12-19T02:11:43Z,110000,False,,,0,,N. Jokić personal FOUL (1 PF),"[203999, 1628976]",1610612743.0,DEN,,,,,,,Above the Break 3,24+ Right Center,201639.0,,Jokić,N. Jokić,,,,,,,1.0,0.0,Carter Jr.,1628976.0,,,,,,,,
13,PT11M23.00S,2025-12-19T02:11:51.2Z,1,REGULAR,3pt,Jump Shot,[],1628976,30.699737187910642,62.745098039215684,1610612753,0,3,2025-12-19T02:11:55Z,130000,False,-64.0,236.0,1,left,W. Carter Jr. 24' 3PT  (3 PTS) (T. Jones 1 AST),"[1628976, 1626145]",1610612753.0,ORL,,,,,,,Above the Break 3,24+ Center,,,Carter Jr.,W. Carter Jr.,24.45,Made,,,,,,,,,3.0,T. Jones,1626145.0,1.0,,,,
15,PT11M14.00S,2025-12-19T02:12:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628971,91.40932982917214,54.65686274509803,1610612743,2,3,2025-12-19T02:12:06Z,150000,False,23.0,28.0,1,right,B. Brown cutting Layup (2 PTS) (N. Jokić 1 AST),"[1628971, 203999]",1610612743.0,DEN,cutting,,,,,,Restricted Area,0-8 Center,,,Brown,B. Brown,3.67,Made,,,,,,,,,2.0,N. Jokić,203999.0,1.0,,,,
17,PT11M07.00S,2025-12-19T02:12:08.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,6.389618922470433,52.69607843137255,1610612753,2,5,2025-12-19T02:12:17Z,170000,False,-13.0,8.0,1,left,D. Bane driving Layup (2 PTS),[1630217],1610612753.0,ORL,driving,,,,,,Restricted Area,0-8 Center,,,Bane,D. Bane,1.55,Made,,,,,,,,,2.0,,,,,,,
18,PT10M50.00S,2025-12-19T02:12:24.2Z,1,REGULAR,turnover,bad pass,[],203999,,,1610612743,2,5,2025-12-19T02:12:28Z,180000,False,,,0,,N. Jokić bad pass TURNOVER (1 TO),"[203999, 1631094]",1610612743.0,DEN,,,,,,,In The Paint (Non-RA),0-8 Center,,1.0,Jokić,N. Jokić,,,,,,,,,,,,,,,Banchero,1631094.0,,
