actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-12T01:10:19.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-12T01:10:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-12T01:10:22.4Z,1,REGULAR,jumpball,recovered,[],1641816,,,1610612743,0,0,2026-01-12T01:10:22Z,40000,False,,,0,,Jump Ball A. Gordon vs. M. Turner: Tip to H. Tyson,"[1641816, 203932, 1626167]",1610612743.0,DEN,startperiod,H. Tyson,1641816.0,Tyson,H. Tyson,Gordon,203932.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2026-01-12T01:10:37.4Z,1,REGULAR,2pt,Jump Shot,[],203932,81.94809461235218,30.14705882352941,1610612743,2,0,2026-01-12T01:10:43Z,70000,False,-99.0,117.0,1,right,A. Gordon 15' fadeaway Jump Shot (2 PTS) (H. Tyson 1 AST),"[203932, 1641816]",1610612743.0,DEN,fadeaway,,,Gordon,A. Gordon,,,,,Mid-Range,8-16 Left,15.36,Made,2.0,H. Tyson,1641816.0,1.0,,,,,,,,,,,,,,
9,PT11M26.00S,2026-01-12T01:10:51.9Z,1,REGULAR,turnover,out-of-bounds,[],1629645,,,1610612749,2,0,2026-01-12T01:10:58Z,90000,False,,,0,,K. Porter Jr. bad pass out-of-bounds TURNOVER (1 TO),[1629645],1610612749.0,MIL,bad pass,,,Porter Jr.,K. Porter Jr.,,,,,Mid-Range,0-8 Center,,,,,,,1830.0,1.0,,,,,,,,,,,,
10,PT11M13.00S,2026-01-12T01:11:08.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642461,73.27529566360053,18.627450980392158,1610612743,2,0,2026-01-12T01:11:15Z,100000,False,-157.0,199.0,1,right,MISS S. Jones 25' 3PT,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Left Center,25.32,Missed,,,,,,,,,,,,,,,,,,
11,PT11M11.00S,2026-01-12T01:11:10.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,2,0,2026-01-12T01:11:15Z,110000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M05.00S,2026-01-12T01:11:17.9Z,1,REGULAR,3pt,Jump Shot,[],1629645,32.40801576872536,35.294117647058826,1610612749,2,0,2026-01-12T01:11:22Z,120000,False,74.0,252.0,1,left,MISS K. Porter Jr. 26' 3PT,[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,26.26,Missed,,,,,,,,,,,,,,,,,,
13,PT11M01.00S,2026-01-12T01:11:21.9Z,1,REGULAR,rebound,defensive,[],1629618,,,1610612743,2,0,2026-01-12T01:11:22Z,130000,False,,,0,,J. Pickett REBOUND (Off:0 Def:1),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Above the Break 3,24+ Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT10M53.00S,2026-01-12T01:11:29.3Z,1,REGULAR,3pt,Jump Shot,[],1642461,67.49342969776609,62.5,1610612743,5,0,2026-01-12T01:11:33Z,140000,False,62.0,253.0,1,right,S. Jones 26' 3PT  (3 PTS) (J. Pickett 1 AST),"[1642461, 1629618]",1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Center,26.07,Made,3.0,J. Pickett,1629618.0,1.0,,,,,,,,,,,,,,
16,PT10M31.00S,2026-01-12T01:11:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629645,5.995400788436268,47.30392156862745,1610612749,5,2,2026-01-12T01:12:23Z,160000,False,13.0,4.0,1,left,K. Porter Jr. Layup (2 PTS) (R. Rollins 1 AST),"[1629645, 1631157]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Restricted Area,0-8 Center,1.41,Made,2.0,R. Rollins,1631157.0,1.0,,,,,,,,,,,,,,
18,PT10M13.00S,2026-01-12T01:12:08.2Z,1,REGULAR,3pt,Jump Shot,[],1642461,67.23061760840999,59.80392156862745,1610612743,5,2,2026-01-12T01:12:12Z,180000,False,49.0,256.0,1,right,MISS S. Jones 26' 3PT,[1642461],1610612743.0,DEN,,,,Jones,S. Jones,,,,,Above the Break 3,24+ Center,26.02,Missed,,,,,,,,,,,,,,,,,,
19,PT10M11.00S,2026-01-12T01:12:10.2Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,5,2,2026-01-12T01:12:12Z,190000,False,,,0,,A. Green REBOUND (Off:0 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,
20,PT10M05.00S,2026-01-12T01:12:17.3Z,1,REGULAR,3pt,Jump Shot,[],1631157,3.235873850197109,97.05882352941177,1610612749,5,2,2026-01-12T01:12:21Z,200000,False,-235.0,-22.0,1,left,MISS R. Rollins 3PT,[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Left Corner 3,24+ Left,23.63,Missed,,,,,,,,,,,,,,,,,,
21,PT10M02.00S,2026-01-12T01:12:20.3Z,1,REGULAR,rebound,defensive,[],1629618,,,1610612743,5,2,2026-01-12T01:12:21Z,210000,False,,,0,,J. Pickett REBOUND (Off:0 Def:2),[1629618],1610612743.0,DEN,,,,Pickett,J. Pickett,,,,,Left Corner 3,24+ Left,,,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,
