actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-18T23:35:25.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-18T23:35:25Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-18T23:35:27.8Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612755,0,0,2022-10-18T23:35:27Z,40000,,,0,,Jump Ball J. Embiid vs. A. Horford: Tip to T. Harris,"[202699, 203954, 201143]",1610612755.0,PHI,startperiod,T. Harris,202699.0,Harris,T. Harris,Embiid,203954.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2022-10-18T23:35:46.0Z,1,REGULAR,2pt,Jump Shot,[],203954,10.85742444152431,73.52941176470588,1610612755,0,0,2022-10-18T23:53:28Z,70000,-118.0,50.0,1,left,MISS J. Embiid 12' turnaround fadeaway Shot - blocked,"[203954, 1627759]",1610612755.0,PHI,turnaround fadeaway,,,Embiid,J. Embiid,,,,,Mid-Range,8-16 Left,12.76,Missed,Brown,1627759.0,,,,,,,,,,,,,,,,
8,PT11M38.00S,2022-10-18T23:35:46.0Z,1,REGULAR,block,,[],1627759,,,1610612755,0,0,2022-10-18T23:35:49Z,80000,,,0,,J. Brown BLOCK (1 BLK),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-10-18T23:35:49.0Z,1,REGULAR,rebound,offensive,[],200782,,,1610612755,0,0,2022-10-18T23:36:01Z,90000,,,0,,P. Tucker REBOUND (Off:1 Def:0),[200782],1610612755.0,PHI,,,,Tucker,P. Tucker,,,,,Mid-Range,8-16 Left,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M35.00S,2022-10-18T23:35:53.1Z,1,REGULAR,turnover,out-of-bounds,[],200782,,,1610612755,0,0,2022-10-18T23:36:12Z,100000,,,0,,P. Tucker lost ball out-of-bounds TURNOVER (1 TO),[200782],1610612755.0,PHI,lost ball,,,Tucker,P. Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1626300.0,1.0,,,,,,,,,,
11,PT11M15.00S,2022-10-18T23:36:16.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203935,88.51839684625493,74.01960784313727,1610612738,2,0,2022-10-18T23:36:30Z,110000,120.0,55.0,1,right,M. Smart 13' driving floating bank Jump Shot (2 PTS),[203935],1610612738.0,BOS,driving floating bank,,,Smart,M. Smart,,,,,Mid-Range,8-16 Right,13.23,Made,,,,,,,,,2.0,,,,,,,,,
12,PT11M05.00S,2022-10-18T23:36:26.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202699,19.92444152431012,39.950980392156865,1610612755,2,0,2022-10-18T23:37:42Z,120000,50.0,135.0,1,left,MISS T. Harris 14' driving floating Shot,[202699],1610612755.0,PHI,driving floating,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,14.38,Missed,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2022-10-18T23:36:26.8Z,1,REGULAR,rebound,offensive,[],202699,,,1610612755,2,0,2022-10-18T23:36:38Z,130000,,,0,,T. Harris REBOUND (Off:1 Def:0),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,In The Paint (Non-RA),8-16 Center,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,
14,PT11M03.00S,2022-10-18T23:36:30.3Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202699,5.590000152587891,50.0,1610612755,2,2,2022-10-18T23:37:52Z,140000,0.0,0.0,1,left,T. Harris tip Layup (2 PTS),[202699],1610612755.0,PHI,tip,,,Harris,T. Harris,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,,,,,2.0,,,,,,,,,
15,PT10M46.00S,2022-10-18T23:36:44.1Z,1,REGULAR,3pt,Jump Shot,[],1628369,89.17542706964521,3.6764705882352944,1610612738,5,2,2022-10-18T23:36:52Z,150000,-232.0,49.0,1,right,J. Tatum 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,23.68,Made,,,,,,,,,3.0,M. Smart,203935.0,1.0,,,,,,
17,PT10M33.00S,2022-10-18T23:36:57.2Z,1,REGULAR,3pt,Jump Shot,[],203954,31.225361366622867,26.715686274509803,1610612755,5,2,2022-10-18T23:37:05Z,170000,116.0,241.0,1,left,MISS J. Embiid 26' 3PT,[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,Above the Break 3,24+ Right Center,26.76,Missed,,,,,,,,,,,,,,,,,,
18,PT10M31.00S,2022-10-18T23:36:59.2Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,5,2,2022-10-18T23:37:05Z,180000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,
19,PT10M25.00S,2022-10-18T23:37:06.5Z,1,REGULAR,foul,personal,['2freethrow'],203954,,,1610612738,5,2,2022-10-18T23:37:16Z,190000,,,0,,J. Embiid shooting personal FOUL (1 PF) (Tatum 2 FT),"[203954, 1628369]",1610612755.0,PHI,shooting,,,Embiid,J. Embiid,,,,,Restricted Area,0-8 Center,,,,,,,,,101283.0,,,,,,1.0,0.0,Tatum,1628369.0,,
21,PT10M25.00S,2022-10-18T23:37:38.4Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,6,2,2022-10-18T23:37:38Z,210000,,,0,,J. Tatum Free Throw 1 of 2 (4 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,,4.0,,,,,,,,,
22,PT10M25.00S,2022-10-18T23:37:53.2Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,7,2,2022-10-18T23:37:53Z,220000,,,0,,J. Tatum Free Throw 2 of 2 (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,,5.0,,,,,,,,,
23,PT10M12.00S,2022-10-18T23:38:10.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,6.438896189224705,42.455575980392155,1610612755,7,2,2022-10-18T23:38:29Z,230000,38.0,8.0,1,left,MISS T. Maxey driving Layup - blocked,"[1630178, 1628369]",1610612755.0,PHI,driving,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,3.85,Missed,Tatum,1628369.0,,,,,,,,,,,,,,,,
