actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-04-09T17:15:23.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-09T17:15:23Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-04-09T17:15:26.0Z,1,REGULAR,jumpball,recovered,[],1629631,,,1610612737,0,0,2023-04-09T17:15:26Z,40000,False,,,0,,Jump Ball O. Okongwu vs. M. Muscala: Tip to D. Hunter,"[1629631, 1630168, 203488]",1610612737.0,ATL,startperiod,D. Hunter,1629631.0,Hunter,D. Hunter,Okongwu,1630168.0,Muscala,203488.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-04-09T17:15:40.2Z,1,REGULAR,2pt,Jump Shot,[],1629631,25.969119579500656,41.66666666666667,1610612737,0,2,2023-04-09T17:15:47Z,70000,False,42.0,192.0,1,left,D. Hunter 19' pullup Jump Shot (2 PTS),[1629631],1610612737.0,ATL,pullup,,,Hunter,D. Hunter,,,,,Mid-Range,16-24 Center,19.61,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2023-04-09T17:15:57.6Z,1,REGULAR,3pt,Jump Shot,[],1630573,66.70499342969777,51.470588235294116,1610612738,0,2,2023-04-09T17:16:02Z,80000,False,7.0,260.0,1,right,MISS S. Hauser 26' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,26.06,Missed,,,,,,,,,,,,,,,,,,
9,PT11M24.00S,2023-04-09T17:15:58.6Z,1,REGULAR,rebound,offensive,[],1630202,,,1610612738,0,2,2023-04-09T17:16:02Z,90000,False,,,0,,P. Pritchard REBOUND (Off:1 Def:0),[1630202],1610612738.0,BOS,,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M21.00S,2023-04-09T17:16:01.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201933,74.45795006570303,12.990196078431374,1610612738,3,2,2023-04-09T17:16:05Z,100000,False,-185.0,188.0,1,right,B. Griffin 26' 3PT  (3 PTS) (P. Pritchard 1 AST),"[201933, 1630202]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Above the Break 3,24+ Left Center,26.35,Made,3.0,,,,,P. Pritchard,1630202.0,1.0,,,,,,,,,,
12,PT11M06.00S,2023-04-09T17:16:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629631,8.886333771353483,55.63725490196079,1610612737,3,4,2023-04-09T17:16:20Z,120000,False,-28.0,31.0,1,left,D. Hunter driving Layup (4 PTS),[1629631],1610612737.0,ATL,driving,,,Hunter,D. Hunter,,,,,Restricted Area,0-8 Center,4.19,Made,4.0,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2023-04-09T17:16:27.0Z,1,REGULAR,3pt,Jump Shot,[],201933,67.7562417871222,35.78431372549019,1610612738,3,4,2023-04-09T17:16:34Z,130000,False,-71.0,251.0,1,right,MISS B. Griffin 26' step back 3PT,[201933],1610612738.0,BOS,step back,,,Griffin,B. Griffin,,,,,Above the Break 3,24+ Center,26.05,Missed,,,,,,,,,,,,,,,,,,
14,PT10M54.00S,2023-04-09T17:16:28.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612737,3,4,2023-04-09T17:16:34Z,140000,False,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612737.0,ATL,,,,Bey,S. Bey,,,,,Above the Break 3,24+ Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M42.00S,2023-04-09T17:16:40.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631100,11.12023653088042,59.80392156862745,1610612737,3,4,2023-04-09T17:16:44Z,150000,False,-49.0,52.0,1,left,MISS A. Griffin 7' driving floating Shot,[1631100],1610612737.0,ATL,driving floating,,,Griffin,A. Griffin,,,,,In The Paint (Non-RA),0-8 Center,7.14,Missed,,,,,,,,,,,,,,,,,,
16,PT10M40.00S,2023-04-09T17:16:42.3Z,1,REGULAR,rebound,defensive,[],201933,,,1610612738,3,4,2023-04-09T17:16:44Z,160000,False,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,In The Paint (Non-RA),0-8 Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
17,PT10M26.00S,2023-04-09T17:16:56.2Z,1,REGULAR,3pt,Jump Shot,[],1630202,75.77201051248358,12.009803921568627,1610612738,6,4,2023-04-09T17:16:59Z,170000,False,-190.0,175.0,1,right,P. Pritchard 25' 3PT pullup (3 PTS) (B. Griffin 1 AST),"[1630202, 201933]",1610612738.0,BOS,pullup,,,Pritchard,P. Pritchard,,,,,Above the Break 3,24+ Left Center,25.84,Made,3.0,,,,,B. Griffin,201933.0,1.0,,,,,,,,,,
