actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2022-12-17T00:41:20.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-17T00:41:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-17T00:41:22.1Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2022-12-17T00:41:22Z,40000,False,,,0,,Jump Ball A. Horford vs. B. Bol: Tip to D. White,"[1628401, 201143, 1629626]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-12-17T00:41:34.3Z,1,REGULAR,3pt,Jump Shot,[],201143,88.51839684625493,4.411764705882353,1610612738,3,0,2022-12-17T00:41:39Z,70000,False,-228.0,55.0,1,right,A. Horford 3PT  (3 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Left Corner 3,24+ Left,23.45,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-12-17T00:41:49.6Z,1,REGULAR,turnover,out-of-bounds,[],1628365,,,1610612753,3,0,2022-12-17T00:42:00Z,90000,False,,,0,,M. Fultz bad pass out-of-bounds TURNOVER (1 TO),[1628365],1610612753.0,ORL,bad pass,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Center,,,,,,,1155.0,1.0,,,,,,,,,,,,
10,PT11M17.00S,2022-12-17T00:42:11.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,74.72076215505913,86.51960784313727,1610612738,3,0,2022-12-17T00:42:28Z,100000,False,183.0,185.0,1,right,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-12-17T00:42:15.7Z,1,REGULAR,rebound,defensive,[],1629626,,,1610612753,3,0,2022-12-17T00:42:28Z,110000,False,,,0,,B. Bol REBOUND (Off:0 Def:1),[1629626],1610612753.0,ORL,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Right Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
13,PT10M52.00S,2022-12-17T00:42:49.0Z,1,REGULAR,3pt,Jump Shot,[],1630532,33.196452036793694,21.07843137254902,1610612753,3,0,2022-12-17T00:42:58Z,130000,False,145.0,260.0,1,left,MISS F. Wagner 29' 3PT,[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Right Center,29.71,Missed,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2022-12-17T00:42:51.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,3,0,2022-12-17T00:43:09Z,140000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT10M34.00S,2022-12-17T00:43:07.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,78.13731931668858,36.029411764705884,1610612738,3,0,2022-12-17T00:44:07Z,150000,False,-70.0,153.0,1,right,MISS J. Tatum 16' turnaround Shot,[1628369],1610612738.0,BOS,turnaround,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left Center,16.82,Missed,,,,,,,,,,,,,,,,,,
16,PT10M32.00S,2022-12-17T00:43:09.5Z,1,REGULAR,rebound,defensive,[],1629021,,,1610612753,3,0,2022-12-17T00:43:18Z,160000,False,,,0,,M. Wagner REBOUND (Off:0 Def:1),[1629021],1610612753.0,ORL,,,,Wagner,M. Wagner,,,,,Mid-Range,16-24 Left Center,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
