actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-27T00:45:58.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-27T00:45:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-27T00:46:00.8Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2023-01-27T00:46:00Z,40000,False,,,0,,Jump Ball R. Williams III vs. J. Sims: Tip to A. Horford,"[201143, 1629057, 1630579]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Sims,1630579.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-01-27T00:46:12.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,78.89290407358739,70.58823529411765,1610612738,2,0,2023-01-27T00:47:01Z,70000,False,103.0,146.0,1,right,J. Brown 17' pullup Jump Shot (2 PTS),[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,17.85,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2023-01-27T00:46:27.5Z,1,REGULAR,3pt,Jump Shot,[],1628973,26.888961892247043,87.74509803921569,1610612752,2,0,2023-01-27T00:47:28Z,80000,False,-189.0,200.0,1,left,MISS J. Brunson 27' step back 3PT,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Left Center,27.52,Missed,,,,,,,,,,,,,,,,,,
9,PT11M29.00S,2023-01-27T00:46:28.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612738,2,0,2023-01-27T00:46:40Z,90000,False,,,0,,TEAM defensive REBOUND,[],1610612738.0,BOS,,,,,,,,,,Above the Break 3,24+ Left Center,,,,8.0,,,,,,,,,,,,,,,,
11,PT11M14.00S,2023-01-27T00:46:54.1Z,1,REGULAR,turnover,bad pass,[],1627759,,,1610612738,2,0,2023-01-27T00:51:30Z,110000,False,,,0,,J. Brown bad pass TURNOVER (1 TO),"[1627759, 1629628]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,1.0,Barrett,1629628.0,,,,,,,,,,,,,
12,PT11M14.00S,2023-01-27T00:46:54.1Z,1,REGULAR,steal,,[],1629628,,,1610612752,2,0,2023-01-27T00:46:56Z,120000,False,,,0,,R. Barrett STEAL (1 STL),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2023-01-27T00:46:59.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203944,12.434296977660972,45.588235294117645,1610612752,2,0,2023-01-27T00:50:51Z,130000,False,22.0,64.0,1,left,MISS J. Randle 6' running Layup - blocked,"[203944, 1628401]",1610612752.0,NYK,running,,,Randle,J. Randle,,,,,In The Paint (Non-RA),0-8 Center,6.81,Missed,,,,,,White,1628401.0,,,,,,,,,,,
17,PT11M09.00S,2023-01-27T00:46:59.2Z,1,REGULAR,block,,[],1628401,,,1610612752,2,0,2023-01-27T00:47:46Z,135000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
14,PT11M05.00S,2023-01-27T00:47:03.2Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,2,0,2023-01-27T00:52:02Z,140000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,13.0,,,,,,1.0,1.0,0.0,,,,,,,,
15,PT11M05.00S,2023-01-27T00:47:05.9Z,1,REGULAR,turnover,out-of-bounds,[],1628369,,,1610612738,2,0,2023-01-27T00:51:58Z,150000,False,,,0,,J. Tatum lost ball out-of-bounds TURNOVER (1 TO),[1628369],1610612738.0,BOS,lost ball,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,1.0,,,,,,,,101283.0,,,,,,,
16,PT10M51.00S,2023-01-27T00:47:26.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203944,30.17411300919842,79.16666666666666,1610612752,2,3,2023-01-27T00:47:31Z,160000,False,-146.0,231.0,1,left,J. Randle 27' 3PT  (3 PTS) (J. Brunson 1 AST),"[203944, 1628973]",1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,27.32,Made,3.0,,,,,,,,,,,J. Brunson,1628973.0,1.0,,,,
18,PT10M25.00S,2023-01-27T00:47:52.5Z,1,REGULAR,2pt,Jump Shot,[],1628369,89.17542706964521,28.431372549019606,1610612738,4,3,2023-01-27T00:49:50Z,170000,False,-108.0,49.0,1,right,J. Tatum 11' driving floating bank Jump Shot (2 PTS),[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,11.85,Made,2.0,,,,,,,,,,,,,,,,,
19,PT10M09.00S,2023-01-27T00:48:08.4Z,1,REGULAR,3pt,Jump Shot,[],1629656,27.020367936925098,81.86274509803921,1610612752,4,3,2023-01-27T00:57:30Z,180000,False,-159.0,201.0,1,left,MISS Q. Grimes 25' 3PT,[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,Above the Break 3,24+ Left Center,25.69,Missed,,,,,,,,,,,,,,,,,,
