actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-24T00:45:42.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-24T00:45:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-24T00:45:44.1Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612742,0,0,2022-11-24T00:45:44Z,40000,False,,,0,,Jump Ball D. Powell vs. A. Horford: Tip to S. Dinwiddie,"[203915, 203939, 201143]",1610612742.0,DAL,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Powell,203939.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-11-24T00:46:00.9Z,1,REGULAR,2pt,Jump Shot,[],1629029,11.12023653088042,80.63725490196079,1610612742,0,2,2022-11-24T00:46:10Z,70000,False,-153.0,52.0,1,left,L. Doncic 16' turnaround fadeaway Jump Shot (2 PTS),[1629029],1610612742.0,DAL,turnaround fadeaway,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left,16.18,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M25.00S,2022-11-24T00:46:16.0Z,1,REGULAR,3pt,Jump Shot,[],201143,71.56701708278581,76.47058823529412,1610612738,3,2,2022-11-24T00:46:21Z,80000,False,132.0,215.0,1,right,A. Horford 25' 3PT  (3 PTS) (M. Smart 1 AST),"[201143, 203935]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,25.23,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
10,PT11M10.00S,2022-11-24T00:46:33.0Z,1,REGULAR,3pt,Jump Shot,[],203493,30.56833114323259,77.20588235294117,1610612742,3,5,2022-11-24T00:46:50Z,100000,False,-136.0,235.0,1,left,R. Bullock 27' 3PT  (3 PTS) (L. Doncic 1 AST),"[203493, 1629029]",1610612742.0,DAL,,,,Bullock,R. Bullock,,,,,Above the Break 3,24+ Left Center,27.13,Made,3.0,L. Doncic,1629029.0,1.0,,,,,,,,,,,,,,
12,PT10M53.00S,2022-11-24T00:46:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,88.91261498028909,48.529411764705884,1610612738,5,5,2022-11-24T00:47:06Z,120000,False,-7.0,52.0,1,right,J. Brown driving Layup (2 PTS) (D. White 1 AST),"[1627759, 1628401]",1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,5.22,Made,2.0,D. White,1628401.0,1.0,,,,,,,,,,,,,,
14,PT10M34.00S,2022-11-24T00:47:09.1Z,1,REGULAR,turnover,traveling,[],1629029,,,1610612742,5,5,2022-11-24T00:47:17Z,140000,False,,,0,,L. Doncic traveling TURNOVER (1 TO),[1629029],1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Mid-Range,16-24 Left Center,,,,,,,1193.0,1.0,,,,,,,,,,,,
15,PT10M27.00S,2022-11-24T00:47:23.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628401,68.80749014454665,68.62745098039215,1610612738,8,5,2022-11-24T00:47:40Z,150000,False,93.0,241.0,1,right,D. White 25' 3PT step back (3 PTS) (A. Horford 1 AST),"[1628401, 201143]",1610612738.0,BOS,step back,,,White,D. White,,,,,Above the Break 3,24+ Right Center,25.81,Made,3.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,
16,PT10M13.00S,2022-11-24T00:47:37.0Z,1,REGULAR,3pt,Jump Shot,[],1629029,23.47240473061761,90.93137254901961,1610612742,8,8,2022-11-24T00:47:53Z,160000,False,-205.0,168.0,1,left,L. Doncic 26' 3PT  (5 PTS) (S. Dinwiddie 1 AST),"[1629029, 203915]",1610612742.0,DAL,,,,Doncic,L. Doncic,,,,,Above the Break 3,24+ Left Center,26.49,Made,5.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,,,,,
18,PT09M55.00S,2022-11-24T00:47:53.5Z,1,REGULAR,turnover,lost ball,[],1628401,,,1610612738,8,8,2022-11-24T00:48:08Z,180000,False,,,0,,D. White lost ball TURNOVER (1 TO),"[1628401, 1627827]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,Finney-Smith,1627827.0,,,,,,,,,,
