actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-04T23:45:34.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-04T23:45:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-04T23:45:36.3Z,1,REGULAR,jumpball,recovered,[],1630245,,,1610612741,0,0,2022-11-04T23:45:36Z,40000,,,0,,Jump Ball N. Vucevic vs. A. Horford: Tip to A. Dosunmu,"[1630245, 202696, 201143]",1610612741.0,CHI,startperiod,A. Dosunmu,1630245.0,Dosunmu,A. Dosunmu,Vucevic,202696.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-04T23:45:50.3Z,1,REGULAR,2pt,Jump Shot,[],201942,85.49605781865965,73.77450980392157,1610612741,0,0,2022-11-04T23:45:59Z,70000,119.0,84.0,1,right,MISS D. DeRozan 14' pullup Shot,[201942],1610612741.0,CHI,pullup,,,DeRozan,D. DeRozan,,,,,Mid-Range,8-16 Right,14.55,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-04T23:45:54.3Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2022-11-05T00:06:07Z,80000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M28.00S,2022-11-04T23:46:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,8.360709592641262,48.77450980392157,1610612738,2,0,2022-11-04T23:46:15Z,90000,6.0,26.0,1,left,J. Tatum cutting Layup (2 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.68,Made,,,,,2.0,A. Horford,201143.0,1.0,,,,,,,,,,
11,PT11M18.00S,2022-11-04T23:46:15.2Z,1,REGULAR,3pt,Jump Shot,[],1630172,86.41590013140605,3.6764705882352944,1610612741,2,3,2022-11-04T23:46:24Z,110000,-232.0,75.0,1,right,P. Williams 24' 3PT  (3 PTS) (N. Vucevic 1 AST),"[1630172, 202696]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Left Corner 3,24+ Left,24.35,Made,,,,,3.0,N. Vucevic,202696.0,1.0,,,,,,,,,,
13,PT10M52.00S,2022-11-04T23:46:41.9Z,1,REGULAR,2pt,Jump Shot,[],1628369,9.806176084099869,69.85294117647058,1610612738,2,3,2022-11-04T23:47:59Z,130000,-99.0,40.0,1,left,MISS J. Tatum 10' driving floating bank Shot,[1628369],1610612738.0,BOS,driving floating bank,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Left,10.69,Missed,,,,,,,,,,,,,,,,,,
14,PT10M52.00S,2022-11-04T23:46:41.9Z,1,REGULAR,rebound,defensive,[],203897,,,1610612741,2,3,2022-11-04T23:47:17Z,140000,,,0,,Z. LaVine REBOUND (Off:0 Def:1),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Mid-Range,8-16 Left,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M38.00S,2022-11-04T23:46:55.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,89.56964520367937,49.50980392156863,1610612741,2,5,2022-11-04T23:47:02Z,150000,-2.0,46.0,1,right,N. Vucevic cutting Layup (2 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,cutting,,,Vucevic,N. Vucevic,,,,,In The Paint (Non-RA),0-8 Center,4.56,Made,,,,,2.0,A. Dosunmu,1630245.0,1.0,,,,,,,,,,
17,PT10M13.00S,2022-11-04T23:47:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,12.434296977660972,63.970588235294116,1610612738,4,5,2022-11-04T23:47:34Z,170000,-70.0,64.0,1,left,M. Smart 9' driving floating Jump Shot (2 PTS) (A. Horford 2 AST),"[203935, 201143]",1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,In The Paint (Non-RA),8-16 Left,9.5,Made,,,,,2.0,A. Horford,201143.0,2.0,,,,,,,,,,
19,PT09M56.00S,2022-11-04T23:47:36.6Z,1,REGULAR,3pt,Jump Shot,[],203897,70.77858081471747,16.176470588235293,1610612741,4,5,2022-11-04T23:47:46Z,190000,-169.0,222.0,1,right,MISS Z. LaVine 27' 3PT,[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,27.92,Missed,,,,,,,,,,,,,,,,,,
20,PT09M54.00S,2022-11-04T23:47:38.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,4,5,2022-11-04T23:47:46Z,200000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT09M45.00S,2022-11-04T23:47:47.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201143,6.438896189224705,52.006740196078425,1610612738,6,5,2022-11-04T23:48:06Z,210000,-10.0,8.0,1,left,A. Horford driving DUNK (2 PTS) (J. Tatum 1 AST),"[201143, 1628369]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,1.28,Made,,,,,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,
23,PT09M32.00S,2022-11-04T23:48:01.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,88.51839684625493,37.00980392156863,1610612741,6,5,2022-11-04T23:48:17Z,230000,-65.0,55.0,1,right,MISS P. Williams 8' fadeaway Shot,[1630172],1610612741.0,CHI,fadeaway,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Left,8.54,Missed,,,,,,,,,,,,,,,,,,
24,PT09M32.00S,2022-11-04T23:48:01.3Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,6,5,2022-11-04T23:48:17Z,240000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Left,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M24.00S,2022-11-04T23:48:08.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201143,34.641918528252305,57.84313725490197,1610612738,6,5,2022-11-04T23:48:23Z,250000,-39.0,273.0,1,left,MISS A. Horford 27' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,27.59,Missed,,,,,,,,,,,,,,,,,,
26,PT09M22.00S,2022-11-04T23:48:11.5Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,6,5,2022-11-04T23:48:11Z,260000,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M10.00S,2022-11-04T23:48:25.2Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612741,6,5,2022-11-04T23:48:34Z,270000,,,0,,J. Brown shooting personal FOUL (1 PF) (DeRozan 2 FT),"[1627759, 201942]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1830.0,1.0,0.0,DeRozan,201942.0,,,,,
