actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-31T23:41:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-31T23:41:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-31T23:41:20.9Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-03-31T23:41:20Z,40000,False,,,0,,Jump Ball W. Kessler vs. B. Griffin: Tip to T. Horton-Tucker,"[1629659, 1631117, 201933]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Kessler,1631117.0,Griffin,201933.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-03-31T23:41:39.9Z,1,REGULAR,foul,offensive,[],1630534,,,1610612762,0,0,2023-03-31T23:41:56Z,70000,False,,,0,,O. Agbaji charge offensive FOUL (1 PF),"[1630534, 201933]",1610612762.0,UTA,charge,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,203592.0,1.0,0.0,Griffin,201933.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2023-03-31T23:41:39.9Z,1,REGULAR,turnover,offensive foul,[],1630534,,,1610612762,0,0,2023-03-31T23:41:56Z,90000,False,,,0,,O. Agbaji offensive foul TURNOVER (1 TO),[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,In The Paint (Non-RA),0-8 Center,203592.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M28.00S,2023-03-31T23:42:07.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1627759,21.632720105124836,93.13725490196079,1610612738,0,0,2023-03-31T23:42:43Z,100000,False,-216.0,151.0,1,left,MISS J. Brown 26' bank 3PT,[1627759],1610612738.0,BOS,bank,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,,,,,,26.32,Missed,,,,,,,,,,,,
11,PT11M26.00S,2023-03-31T23:42:09.0Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,0,0,2023-03-31T23:42:14Z,110000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Left Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M11.00S,2023-03-31T23:42:23.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629659,89.43823915900131,37.5,1610612762,0,0,2023-03-31T23:42:28Z,120000,False,-62.0,47.0,1,right,MISS T. Horton-Tucker 7' fadeaway bank Shot,[1629659],1610612762.0,UTA,fadeaway bank,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.81,Missed,,,,,,,,,,,,
13,PT11M09.00S,2023-03-31T23:42:25.3Z,1,REGULAR,rebound,defensive,[],201933,,,1610612738,0,0,2023-03-31T23:42:28Z,130000,False,,,0,,B. Griffin REBOUND (Off:0 Def:1),[201933],1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M02.00S,2023-03-31T23:42:32.2Z,1,REGULAR,3pt,Jump Shot,[],1628401,27.283180026281208,17.892156862745097,1610612738,3,0,2023-03-31T23:42:37Z,140000,False,161.0,204.0,1,left,D. White 25' 3PT  (3 PTS) (J. Brown 1 AST),"[1628401, 1627759]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,25.96,Made,,,,,3.0,J. Brown,1627759.0,1.0,,,,
16,PT10M48.00S,2023-03-31T23:42:46.7Z,1,REGULAR,3pt,Jump Shot,[],1630534,73.9323258869908,84.55882352941177,1610612762,3,0,2023-03-31T23:42:54Z,160000,False,173.0,193.0,1,right,MISS O. Agbaji 25' 3PT,[1630534],1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Right Center,,,,,,,25.87,Missed,,,,,,,,,,,,
