actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-10-30T22:10:30.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T22:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-10-30T22:10:32.5Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2022-10-30T22:10:32Z,40000,,,0,,Jump Ball A. Horford vs. K. Porzingis: Tip to D. White,"[1628401, 201143, 204001]",1610612738.0,BOS,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Porzingis,204001.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-10-30T22:10:46.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.64717477003943,70.83333333333334,1610612738,3,0,2022-10-30T22:10:54Z,70000,104.0,223.0,1,right,J. Tatum 24' 3PT  (3 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,24.65,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2022-10-30T22:11:09.6Z,1,REGULAR,2pt,Jump Shot,[],1630166,9.411957950065702,83.33333333333334,1610612764,3,0,2022-10-30T22:11:16Z,90000,-167.0,36.0,1,left,MISS D. Avdija 17' turnaround fadeaway Shot,[1630166],1610612764.0,WAS,turnaround fadeaway,,,Avdija,D. Avdija,,,,,Mid-Range,16-24 Left,17.05,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-10-30T22:11:11.6Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,0,2022-10-30T22:11:16Z,100000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2022-10-30T22:11:16.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,70.90998685939553,25.0,1610612738,6,0,2022-10-30T22:12:39Z,110000,-125.0,221.0,1,right,J. Tatum 25' 3PT running pullup (6 PTS) (J. Brown 1 AST),"[1628369, 1627759]",1610612738.0,BOS,running pullup,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Left Center,25.38,Made,6.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
13,PT11M04.00S,2022-10-30T22:11:31.1Z,1,REGULAR,foul,personal,[],1628401,,,1610612764,6,0,2022-10-30T22:11:44Z,130000,,,0,,D. White personal FOUL (1 PF),"[1628401, 204001]",1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,203593.0,1.0,0.0,Porzingis,204001.0,,,,,
15,PT10M58.00S,2022-10-30T22:11:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628420,9.461235216819974,63.748468137254896,1610612764,6,0,2022-10-30T22:12:10Z,150000,-69.0,36.0,1,left,MISS M. Morris 7' driving Layup - blocked,"[1628420, 201143]",1610612764.0,WAS,driving,,,Morris,M. Morris,,,,,In The Paint (Non-RA),0-8 Center,7.77,Missed,,,,,,,,,,,,,,Horford,201143.0,,,
16,PT10M58.00S,2022-10-30T22:11:52.5Z,1,REGULAR,block,,[],201143,,,1610612764,6,0,2022-10-30T22:11:55Z,160000,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2022-10-30T22:11:55.5Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,6,0,2022-10-30T22:12:10Z,170000,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
