actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-20T00:32:53.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-20T00:32:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-20T00:32:55.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-01-20T00:32:55Z,40000,False,,,0,,Jump Ball R. Williams III vs. D. Green: Tip to M. Smart,"[203935, 1629057, 203110]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Green,203110.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-20T00:33:04.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,75.1149802890933,82.35294117647058,1610612738,0,0,2023-01-20T00:33:13Z,70000,False,162.0,181.0,1,right,MISS J. Brown 24' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,24.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-01-20T00:33:06.9Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,0,0,2023-01-20T00:33:13Z,80000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2023-01-20T00:33:17.1Z,1,REGULAR,2pt,Jump Shot,[],203952,29.25427069645204,59.31372549019608,1610612744,0,0,2023-01-20T00:33:22Z,90000,False,-47.0,222.0,1,left,MISS A. Wiggins 22' Jump Shot,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Center,22.73,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2023-01-20T00:33:19.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,0,2023-01-20T00:33:22Z,100000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M28.00S,2023-01-20T00:33:25.1Z,1,REGULAR,2pt,Hook,"['fastbreak', 'pointsinthepaint']",201143,85.3646517739816,49.01960784313725,1610612738,0,0,2023-01-20T00:35:28Z,110000,False,-5.0,85.0,1,right,MISS A. Horford 8' driving Hook - blocked,"[201143, 203952]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,In The Paint (Non-RA),8-16 Center,8.52,Missed,,,,,Wiggins,203952.0,,,,,,,,,,,,
36,PT11M28.00S,2023-01-20T00:33:25.1Z,1,REGULAR,block,,[],203952,,,1610612738,0,0,2023-01-20T00:35:58Z,115000,False,,,0,,A. Wiggins BLOCK (1 BLK),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2023-01-20T00:33:27.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,0,2023-01-20T00:33:38Z,120000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M21.00S,2023-01-20T00:33:32.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,23.866622864651774,85.7843137254902,1610612744,0,0,2023-01-20T00:35:39Z,130000,False,-179.0,172.0,1,left,MISS K. Thompson 24' running 3PT,[202691],1610612744.0,GSW,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,24.8,Missed,,,,,,,,,,,,,,,,,,
14,PT11M19.00S,2023-01-20T00:33:34.2Z,1,REGULAR,rebound,offensive,[],203952,,,1610612744,0,0,2023-01-20T00:33:43Z,140000,False,,,0,,A. Wiggins REBOUND (Off:1 Def:0),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
15,PT11M13.00S,2023-01-20T00:33:39.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629673,12.565703022339028,40.44117647058824,1610612744,0,0,2023-01-20T00:36:39Z,150000,False,48.0,66.0,1,left,MISS J. Poole 8' driving Layup,[1629673],1610612744.0,GSW,driving,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Right,8.12,Missed,,,,,,,,,,,,,,,,,,
