actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-04T00:40:17.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-04T00:40:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-04T00:40:19.4Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2023-02-04T00:40:19Z,40000,False,,,0,,Jump Ball R. Williams III vs. D. Ayton: Tip to J. Brown,"[1627759, 1629057, 1629028]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Williams III,1629057.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-02-04T00:40:34.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,27.283180026281208,82.59803921568627,1610612738,3,0,2023-02-04T00:40:39Z,70000,False,-163.0,204.0,1,left,J. Brown 26' 3PT  (3 PTS) (R. Williams III 1 AST),"[1627759, 1629057]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.11,Made,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,
9,PT11M25.00S,2023-02-04T00:40:51.1Z,1,REGULAR,2pt,Jump Shot,[],1629028,77.08607095926413,68.62745098039215,1610612756,3,0,2023-02-04T00:40:56Z,90000,False,93.0,163.0,1,right,MISS D. Ayton 18' Jump Shot,[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Mid-Range,16-24 Right Center,18.76,Missed,,,,,,,,,,,,,,,,,,
10,PT11M24.00S,2023-02-04T00:40:52.1Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,3,0,2023-02-04T00:41:13Z,100000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Mid-Range,16-24 Right Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M17.00S,2023-02-04T00:40:59.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,33.327858081471746,63.48039215686274,1610612738,3,0,2023-02-04T00:41:05Z,110000,False,-67.0,261.0,1,left,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,26.94,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2023-02-04T00:41:02.4Z,1,REGULAR,rebound,defensive,[],1629028,,,1610612756,3,0,2023-02-04T00:41:05Z,120000,False,,,0,,D. Ayton REBOUND (Off:0 Def:1),[1629028],1610612756.0,PHX,,,,Ayton,D. Ayton,,,,,Above the Break 3,24+ Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M05.00S,2023-02-04T00:41:11.7Z,1,REGULAR,2pt,Jump Shot,[],1628969,82.7365308804205,66.42156862745098,1610612756,3,0,2023-02-04T00:41:50Z,130000,False,82.0,110.0,1,right,MISS M. Bridges 13' Jump Shot,[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,13.71,Missed,,,,,,,,,,,,,,,,,,
14,PT11M03.00S,2023-02-04T00:41:13.7Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,3,0,2023-02-04T00:41:17Z,140000,False,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Mid-Range,8-16 Right,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M51.00S,2023-02-04T00:41:26.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,27.808804204993432,83.57843137254902,1610612738,3,0,2023-02-04T00:41:31Z,150000,False,-168.0,209.0,1,left,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Left Center,26.8,Missed,,,,,,,,,,,,,,,,,,
