actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-12T19:10:40.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-12T19:10:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-12T19:10:42.4Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2023-02-12T19:10:42Z,40000,False,,,0,,Jump Ball R. Williams III vs. J. Jackson Jr.: Tip to A. Horford,"[201143, 1629057, 1628991]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-02-12T19:10:58.8Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,0,0,2023-02-12T19:11:04Z,70000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1628991]",1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,1.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-02-12T19:10:58.8Z,1,REGULAR,steal,,[],1628991,,,1610612763,0,0,2023-02-12T19:11:00Z,80000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2023-02-12T19:11:07.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630214,93.64323258869908,53.92156862745098,1610612763,0,2,2023-02-12T19:19:10Z,90000,False,20.0,7.0,1,right,X. Tillman reverse Layup (2 PTS) (J. Jackson Jr. 1 AST),"[1630214, 1628991]",1610612763.0,MEM,reverse,,,Tillman,X. Tillman,,,,,Restricted Area,0-8 Center,,,,2.09,Made,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,
11,PT11M20.00S,2023-02-12T19:11:19.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630573,7.835085413929041,49.754901960784316,1610612738,2,2,2023-02-12T19:11:23Z,110000,False,1.0,21.0,1,left,S. Hauser cutting Layup (2 PTS) (R. Williams III 1 AST),"[1630573, 1629057]",1610612738.0,BOS,cutting,,,Hauser,S. Hauser,,,,,Restricted Area,0-8 Center,,,,2.11,Made,2.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,
13,PT11M03.00S,2023-02-12T19:11:35.8Z,1,REGULAR,3pt,Jump Shot,[],1628415,70.64717477003943,75.24509803921569,1610612763,2,5,2023-02-12T19:11:40Z,130000,False,126.0,223.0,1,right,D. Brooks 25' 3PT  (3 PTS) (D. Bane 1 AST),"[1628415, 1630217]",1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,,,,25.66,Made,3.0,D. Bane,1630217.0,1.0,,,,,,,,,,,
15,PT10M36.00S,2023-02-12T19:12:03.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,19.66162943495401,45.588235294117645,1610612738,2,5,2023-02-12T19:12:11Z,150000,False,22.0,132.0,1,left,MISS D. White 13' fadeaway Shot,[1628401],1610612738.0,BOS,fadeaway,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,,13.41,Missed,,,,,,,,,,,,,,,
16,PT10M34.00S,2023-02-12T19:12:05.1Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,2,5,2023-02-12T19:12:11Z,160000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT10M30.00S,2023-02-12T19:12:09.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,66.44218134034165,54.65686274509803,1610612763,2,5,2023-02-12T19:12:16Z,170000,False,23.0,263.0,1,right,MISS D. Bane 26' running pullup 3PT,[1630217],1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,,,,26.39,Missed,,,,,,,,,,,,,,,
