actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-06T00:45:47.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-06T00:45:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-06T00:45:49.5Z,1,REGULAR,jumpball,recovered,[],203944,,,1610612752,0,0,2023-03-06T00:45:49Z,40000,False,,,0,,Jump Ball M. Robinson vs. A. Horford: Tip to J. Randle,"[203944, 1629011, 201143]",1610612752.0,NYK,startperiod,J. Randle,203944.0,Randle,J. Randle,Robinson,1629011.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2023-03-06T00:45:54.3Z,1,REGULAR,3pt,Jump Shot,[],1630193,33.459264126149804,58.82352941176471,1610612752,0,3,2023-03-06T00:46:01Z,70000,False,-44.0,262.0,1,left,I. Quickley 26' 3PT pullup (3 PTS),[1630193],1610612752.0,NYK,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Center,26.57,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-03-06T00:46:09.5Z,1,REGULAR,3pt,Jump Shot,[],201143,71.69842312746385,74.26470588235294,1610612738,0,3,2023-03-06T00:46:22Z,80000,False,121.0,214.0,1,right,MISS A. Horford 24' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,24.56,Missed,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-03-06T00:46:12.5Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,0,3,2023-03-06T00:46:22Z,90000,False,,,0,,M. Smart REBOUND (Off:1 Def:0),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M29.00S,2023-03-06T00:46:19.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628401,88.12417871222075,4.166666666666666,1610612738,3,3,2023-03-06T00:46:28Z,100000,False,-229.0,59.0,1,right,D. White 3PT  (3 PTS) (J. Tatum 1 AST),"[1628401, 1628369]",1610612738.0,BOS,,,,White,D. White,,,,,Left Corner 3,24+ Left,23.67,Made,3.0,,,,,J. Tatum,1628369.0,1.0,,,,,,,,,,
12,PT11M03.00S,2023-03-06T00:46:44.3Z,1,REGULAR,3pt,Jump Shot,[],1629628,31.750985545335087,70.09803921568627,1610612752,3,6,2023-03-06T00:47:02Z,120000,False,-100.0,246.0,1,left,R. Barrett 26' 3PT pullup (3 PTS),[1629628],1610612752.0,NYK,pullup,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,26.57,Made,3.0,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2023-03-06T00:46:57.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627759,93.64323258869908,53.92156862745098,1610612738,3,6,2023-03-06T00:47:06Z,130000,False,20.0,7.0,1,right,MISS J. Brown driving Layup,[1627759],1610612738.0,BOS,driving,,,Brown,J. Brown,,,,,Restricted Area,0-8 Center,2.09,Missed,,,,,,,,,,,,,,,,,,
14,PT10M49.00S,2023-03-06T00:46:59.0Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612752,3,6,2023-03-06T00:47:06Z,140000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612752.0,NYK,,,,Quickley,I. Quickley,,,,,Restricted Area,0-8 Center,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,
15,PT10M45.00S,2023-03-06T00:47:03.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203944,27.94021024967148,83.33333333333334,1610612752,3,6,2023-03-06T00:47:17Z,150000,False,-167.0,210.0,1,left,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Left Center,26.82,Missed,,,,,,,,,,,,,,,,,,
16,PT10M43.00S,2023-03-06T00:47:05.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,3,6,2023-03-06T00:47:17Z,160000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,
