actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-29T00:41:48.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-29T00:41:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-29T00:41:50.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-11-29T00:41:50Z,40000,False,,,0,,Jump Ball B. Griffin vs. M. Plumlee: Tip to M. Smart,"[203935, 201933, 203486]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Griffin,201933.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-11-29T00:42:04.6Z,1,REGULAR,3pt,Jump Shot,[],201933,67.49342969776609,58.82352941176471,1610612738,3,0,2022-11-29T00:42:11Z,70000,False,44.0,253.0,1,right,B. Griffin 25' 3PT  (3 PTS) (M. Smart 1 AST),"[201933, 203935]",1610612738.0,BOS,,,,Griffin,B. Griffin,,,,,Above the Break 3,24+ Center,25.69,Made,3.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-11-29T00:42:22.7Z,1,REGULAR,violation,kicked ball,[],1628369,,,1610612766,3,0,2022-11-29T00:42:31Z,90000,False,,,0,,J. Tatum kicked ball VIOLATION,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,1626301.0,,,,,,,,,,,,,
10,PT11M22.00S,2022-11-29T00:42:39.3Z,1,REGULAR,turnover,bad pass,[],1626162,,,1610612766,3,0,2022-11-29T00:42:43Z,100000,False,,,0,,K. Oubre Jr. bad pass TURNOVER (1 TO),"[1626162, 203935]",1610612766.0,CHA,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Smart,203935.0,,,,,,,,,,
11,PT11M22.00S,2022-11-29T00:42:39.3Z,1,REGULAR,steal,,[],203935,,,1610612738,3,0,2022-11-29T00:42:41Z,110000,False,,,0,,M. Smart STEAL (1 STL),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-11-29T00:42:46.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628369,92.9862023653088,45.83333333333333,1610612738,5,0,2022-11-29T00:43:09Z,120000,False,-21.0,13.0,1,right,J. Tatum cutting Layup (2 PTS) (M. Smart 2 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.47,Made,2.0,M. Smart,203935.0,2.0,,,,,,,,,,,,,,
14,PT10M59.00S,2022-11-29T00:43:01.9Z,1,REGULAR,2pt,Jump Shot,[],1629667,20.844283837056505,45.34313725490196,1610612766,5,2,2022-11-29T00:43:06Z,140000,False,23.0,143.0,1,left,J. McDaniels 14' pullup Jump Shot (2 PTS),[1629667],1610612766.0,CHA,pullup,,,McDaniels,J. McDaniels,,,,,Mid-Range,8-16 Center,14.53,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M41.00S,2022-11-29T00:43:19.5Z,1,REGULAR,3pt,Jump Shot,[],1628369,82.60512483574244,93.62745098039215,1610612738,5,2,2022-11-29T00:43:25Z,150000,False,218.0,111.0,1,right,MISS J. Tatum 24' 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,24.47,Missed,,,,,,,,,,,,,,,,,,
16,PT10M37.00S,2022-11-29T00:43:23.5Z,1,REGULAR,rebound,defensive,[],1629023,,,1610612766,5,2,2022-11-29T00:43:25Z,160000,False,,,0,,P. Washington REBOUND (Off:0 Def:1),[1629023],1610612766.0,CHA,,,,Washington,P. Washington,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,
17,PT10M33.00S,2022-11-29T00:43:27.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1626162,11.777266754270697,40.931372549019606,1610612766,5,4,2022-11-29T00:43:33Z,170000,False,45.0,58.0,1,left,K. Oubre Jr. 7' running Layup (2 PTS),[1626162],1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.38,Made,2.0,,,,,,,,,,,,,,,,,
18,PT10M09.00S,2022-11-29T00:43:51.6Z,1,REGULAR,3pt,Jump Shot,[],1628369,90.75229960578186,4.411764705882353,1610612738,5,4,2022-11-29T00:43:57Z,180000,False,-228.0,34.0,1,right,MISS J. Tatum 3PT,[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,23.05,Missed,,,,,,,,,,,,,,,,,,
