actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-22T00:41:18.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-22T00:41:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-22T00:41:21.7Z,1,REGULAR,jumpball,recovered,[],1630202,,,1610612738,0,0,2022-12-22T00:41:21Z,40000,False,,,0,,Jump Ball A. Horford vs. M. Turner: Tip to P. Pritchard,"[1630202, 201143, 1626167]",1610612738.0,BOS,startperiod,P. Pritchard,1630202.0,Pritchard,P. Pritchard,Horford,201143.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-22T00:41:37.9Z,1,REGULAR,foul,personal,['2freethrow'],1629614,,,1610612738,0,0,2022-12-22T00:41:53Z,70000,False,,,0,,A. Nembhard shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629614, 1628369]",1610612754.0,IND,shooting,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,204059.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-12-22T00:42:03.2Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,1,0,2022-12-22T00:42:03Z,90000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M42.00S,2022-12-22T00:42:19.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,2,0,2022-12-22T00:42:19Z,100000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M24.00S,2022-12-22T00:42:39.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,6.701708278580814,54.92493872549019,1610612754,2,0,2022-12-22T00:42:52Z,110000,False,-25.0,10.0,1,left,MISS M. Turner driving Layup,[1626167],1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.67,,,,,,,,,,,,
12,PT11M22.00S,2022-12-22T00:42:41.5Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,2,0,2022-12-22T00:50:39Z,120000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
14,PT11M20.00S,2022-12-22T00:42:44.7Z,1,REGULAR,turnover,bad pass,[],1628401,,,1610612738,2,0,2022-12-22T00:42:58Z,140000,False,,,0,,D. White bad pass TURNOVER (1 TO),"[1628401, 1630169]",1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1.0,Haliburton,1630169.0,,,,,
15,PT11M20.00S,2022-12-22T00:42:44.7Z,1,REGULAR,steal,,[],1630169,,,1610612754,2,0,2022-12-22T00:42:53Z,150000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
20,PT11M14.00S,2022-12-22T00:42:53.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630174,7.440867279894875,51.470588235294116,1610612754,2,2,2022-12-22T00:48:47Z,155000,False,-7.0,17.0,1,left,A. Nesmith Layup (2 PTS) (M. Turner 1 AST),"[1630174, 1626167]",1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.89,,,,,,,,M. Turner,1626167.0,1.0,,
