actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-03-26T22:10:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-26T22:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-26T22:10:43.7Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-03-26T22:10:43Z,40000,False,,,0,,Jump Ball A. Horford vs. Z. Collins: Tip to M. Smart,"[203935, 201143, 1628380]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Collins,1628380.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-03-26T22:11:00.2Z,1,REGULAR,turnover,out-of-bounds,[],203935,,,1610612738,0,0,2023-03-26T22:11:25Z,70000,False,,,0,,M. Smart bad pass out-of-bounds TURNOVER (1 TO),[203935],1610612738.0,BOS,bad pass,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,1.0,,,,,,,,,,,,,,,,,,,
8,PT11M26.00S,2023-03-26T22:11:24.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628380,6.783837056504599,37.254901960784316,1610612759,0,2,2023-03-26T22:11:32Z,80000,False,64.0,11.0,1,left,Z. Collins 6' cutting Layup (2 PTS) (K. Bates-Diop 1 AST),"[1628380, 1628966]",1610612759.0,SAS,cutting,,,Collins,Z. Collins,,,,,In The Paint (Non-RA),0-8 Center,,6.47,Made,2.0,K. Bates-Diop,1628966.0,1.0,,,,,,,,,,,,,
10,PT11M17.00S,2023-03-26T22:11:32.5Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.96123521681997,20.34313725490196,1610612738,0,2,2023-03-26T22:11:39Z,100000,False,-148.0,211.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,,25.8,Missed,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2023-03-26T22:11:34.5Z,1,REGULAR,rebound,defensive,[],1630200,,,1610612759,0,2,2023-03-26T22:11:39Z,110000,False,,,0,,T. Jones REBOUND (Off:0 Def:1),[1630200],1610612759.0,SAS,,,,Jones,T. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M07.00S,2023-03-26T22:11:43.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630170,6.044678055190539,47.181372549019606,1610612759,0,4,2023-03-26T22:11:50Z,120000,False,14.0,4.0,1,left,D. Vassell driving reverse Layup (2 PTS) (Z. Collins 1 AST),"[1630170, 1628380]",1610612759.0,SAS,driving reverse,,,Vassell,D. Vassell,,,,,Restricted Area,0-8 Center,,1.47,Made,2.0,Z. Collins,1628380.0,1.0,,,,,,,,,,,,,
14,PT10M51.00S,2023-03-26T22:11:59.0Z,1,REGULAR,3pt,Jump Shot,[],201143,67.7562417871222,30.392156862745097,1610612738,0,4,2023-03-26T22:12:06Z,140000,False,-98.0,251.0,1,right,MISS A. Horford 26' 3PT,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Left Center,,26.91,Missed,,,,,,,,,,,,,,,,,
15,PT10M49.00S,2023-03-26T22:12:01.0Z,1,REGULAR,rebound,defensive,[],1628966,,,1610612759,0,4,2023-03-26T22:12:06Z,150000,False,,,0,,K. Bates-Diop REBOUND (Off:0 Def:1),[1628966],1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Above the Break 3,24+ Left Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT10M35.00S,2023-03-26T22:12:15.3Z,1,REGULAR,3pt,Jump Shot,[],1628380,32.40801576872536,74.26470588235294,1610612759,0,4,2023-03-26T22:12:20Z,160000,False,-121.0,252.0,1,left,MISS Z. Collins 27' 3PT,[1628380],1610612759.0,SAS,,,,Collins,Z. Collins,,,,,Above the Break 3,24+ Left Center,,27.98,Missed,,,,,,,,,,,,,,,,,
