actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-10T00:40:51.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-10T00:40:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-10T00:40:52.7Z,1,REGULAR,jumpball,recovered,[],1627759,,,1610612738,0,0,2022-11-10T00:40:52Z,40000,False,,,0,,Jump Ball A. Horford vs. I. Stewart: Tip to J. Brown,"[1627759, 201143, 1630191]",1610612738.0,BOS,startperiod,J. Brown,1627759.0,Brown,J. Brown,Horford,201143.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-10T00:41:04.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,68.54467805519053,30.392156862745097,1610612738,0,0,2022-11-10T00:41:56Z,70000,False,-98.0,243.0,1,right,MISS J. Brown 26' pullup 3PT,[1627759],1610612738.0,BOS,pullup,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.22,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-11-10T00:41:08.8Z,1,REGULAR,rebound,defensive,[],1631093,,,1610612765,0,0,2022-11-10T00:41:10Z,80000,False,,,0,,J. Ivey REBOUND (Off:0 Def:1),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-11-10T00:41:31.1Z,1,REGULAR,foul,personal,['2freethrow'],203935,,,1610612765,0,0,2022-11-10T00:41:38Z,90000,False,,,0,,M. Smart shooting personal FOUL (1 PF) (Ivey 2 FT),"[203935, 1631093]",1610612738.0,BOS,shooting,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1146.0,1.0,0.0,Ivey,1631093.0,,,,,,,,,
11,PT11M21.00S,2022-11-10T00:41:53.8Z,1,REGULAR,freethrow,1 of 2,[],1631093,,,1610612765,0,1,2022-11-10T00:41:53Z,110000,False,,,0,,J. Ivey Free Throw 1 of 2 (1 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M21.00S,2022-11-10T00:42:07.0Z,1,REGULAR,freethrow,2 of 2,[],1631093,,,1610612765,0,2,2022-11-10T00:42:07Z,120000,False,,,0,,J. Ivey Free Throw 2 of 2 (2 PTS),[1631093],1610612765.0,DET,,,,Ivey,J. Ivey,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M10.00S,2022-11-10T00:42:20.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.51182654402102,53.92156862745098,1610612738,2,2,2022-11-10T00:42:25Z,130000,False,20.0,8.0,1,right,J. Tatum driving finger roll Layup (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,driving finger roll,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,2.14,Made,,,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,
15,PT10M52.00S,2022-11-10T00:42:36.9Z,1,REGULAR,3pt,Jump Shot,[],1630595,35.03613666228647,44.11764705882353,1610612765,2,2,2022-11-10T00:42:58Z,150000,False,29.0,277.0,1,left,MISS C. Cunningham 27' pullup 3PT,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,27.84,Missed,,,,,,,,,,,,,,,,,,
16,PT10M50.00S,2022-11-10T00:42:38.9Z,1,REGULAR,rebound,defensive,[],1629684,,,1610612738,2,2,2022-11-10T00:42:41Z,160000,False,,,0,,G. Williams REBOUND (Off:0 Def:1),[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M43.00S,2022-11-10T00:42:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201143,94.30026281208936,51.9607843137255,1610612738,4,2,2022-11-10T00:43:53Z,170000,False,10.0,1.0,1,right,A. Horford driving Layup (2 PTS) (M. Smart 2 AST),"[201143, 203935]",1610612738.0,BOS,driving,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,0.99,Made,,,,,,,,,,2.0,M. Smart,203935.0,2.0,,,,,
19,PT10M43.00S,2022-11-10T00:42:51.0Z,1,REGULAR,foul,personal,['1freethrow'],1630180,,,1610612738,4,2,2022-11-10T00:42:58Z,190000,False,,,0,,S. Bey shooting personal FOUL (1 PF) (Horford 1 FT),"[1630180, 201143]",1610612765.0,DET,shooting,,,Bey,S. Bey,,,,,Restricted Area,0-8 Center,,,,,,,1146.0,1.0,0.0,Horford,201143.0,,,,,,,,,
21,PT10M43.00S,2022-11-10T00:43:18.8Z,1,REGULAR,freethrow,1 of 1,[],201143,,,1610612738,4,2,2022-11-10T00:43:27Z,210000,False,,,0,,MISS A. Horford Free Throw 1 of 1,[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
