actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-03T00:41:06.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T00:41:06Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT12M00.00S,2022-12-03T00:41:10.3Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2022-12-03T00:51:44Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612738.0,BOS,101284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-12-03T00:41:10.9Z,1,REGULAR,jumpball,recovered,[],1628401,,,1610612738,0,0,2022-12-03T00:41:10Z,40000,False,,,0,,Jump Ball A. Horford vs. B. Adebayo: Tip to D. White,"[1628401, 201143, 1628389]",1610612738.0,BOS,,startperiod,D. White,1628401.0,White,D. White,Horford,201143.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,
14,PT12M00.00S,2022-12-03T00:41:16.0Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612738,0,0,2022-12-03T00:50:40Z,69375,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612748.0,MIA,101284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-12-03T00:41:17.7Z,1,REGULAR,2pt,Jump Shot,[],1627759,75.24638633377135,61.51960784313726,1610612738,0,0,2022-12-03T00:42:00Z,70000,False,58.0,180.0,1,right,MISS J. Brown 18' pullup Shot,[1627759],1610612738.0,BOS,,pullup,,,Brown,J. Brown,,,,,Mid-Range,16-24 Center,18.92,Missed,,,,,,,,,,,,,,,,,
8,PT11M45.00S,2022-12-03T00:41:20.7Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,0,0,2022-12-03T00:41:25Z,80000,False,,,0,,T. Herro REBOUND (Off:0 Def:1),[1629639],1610612748.0,MIA,,,,,Herro,T. Herro,,,,,Mid-Range,16-24 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,
9,PT11M24.00S,2022-12-03T00:41:43.1Z,1,REGULAR,foul,personal,['2freethrow'],201143,,,1610612748,0,0,2022-12-03T00:41:53Z,90000,False,,,0,,A. Horford shooting personal FOUL (1 PF) (Adebayo 2 FT),"[201143, 1628389]",1610612738.0,BOS,202053.0,shooting,,,Horford,A. Horford,,,,,Mid-Range,16-24 Center,,,,,,,1.0,0.0,Adebayo,1628389.0,,,,,,,,,
12,PT11M24.00S,2022-12-03T00:42:09.5Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,0,1,2022-12-03T00:42:09Z,110000,False,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,,,1.0,,,,,,,,
13,PT11M24.00S,2022-12-03T00:42:27.9Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,0,2,2022-12-03T00:42:27Z,120000,False,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,,,,,2.0,,,,,,,,
15,PT11M07.00S,2022-12-03T00:42:46.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203935,92.9862023653088,49.754901960784316,1610612738,2,2,2022-12-03T00:42:54Z,130000,False,-1.0,13.0,1,right,M. Smart cutting Layup (2 PTS) (A. Horford 1 AST),"[203935, 201143]",1610612738.0,BOS,,cutting,,,Smart,M. Smart,,,,,Restricted Area,0-8 Center,1.35,Made,,,,,,,,,2.0,A. Horford,201143.0,1.0,,,,,
19,PT10M47.00S,2022-12-03T00:43:25.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,23.99802890932983,54.90196078431373,1610612748,2,4,2022-12-03T00:43:31Z,170000,False,-25.0,173.0,1,left,B. Adebayo 17' Jump Shot (4 PTS),[1628389],1610612748.0,MIA,,,,,Adebayo,B. Adebayo,,,,,Mid-Range,16-24 Center,17.48,Made,,,,,,,,,4.0,,,,,,,,
20,PT10M32.00S,2022-12-03T00:43:43.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,88.64980289093299,62.254901960784316,1610612738,4,4,2022-12-03T00:43:51Z,180000,False,61.0,54.0,1,right,J. Tatum 8' turnaround Jump Shot (2 PTS),[1628369],1610612738.0,BOS,,turnaround,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Right,8.18,Made,,,,,,,,,2.0,,,,,,,,
21,PT10M32.00S,2022-12-03T00:43:49.5Z,1,REGULAR,foul,personal,['1freethrow'],1628389,,,1610612738,4,4,2022-12-03T00:43:56Z,190000,False,,,0,,B. Adebayo shooting personal FOUL (1 PF) (Tatum 1 FT),"[1628389, 1628369]",1610612748.0,MIA,101284.0,shooting,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,1.0,0.0,Tatum,1628369.0,,,,,,,,,
23,PT10M32.00S,2022-12-03T00:44:12.8Z,1,REGULAR,freethrow,1 of 1,[],1628369,,,1610612738,4,4,2022-12-03T00:44:18Z,210000,False,,,0,,MISS J. Tatum Free Throw 1 of 1,[1628369],1610612738.0,BOS,,,,,Tatum,J. Tatum,,,,,,,,Missed,,,,,,,,,,,,,,,,,
24,PT10M32.00S,2022-12-03T00:44:12.8Z,1,REGULAR,rebound,defensive,[],1629639,,,1610612748,4,4,2022-12-03T00:44:18Z,220000,False,,,0,,T. Herro REBOUND (Off:0 Def:2),[1629639],1610612748.0,MIA,,,,,Herro,T. Herro,,,,,,,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,
25,PT10M22.00S,2022-12-03T00:44:21.6Z,1,REGULAR,3pt,Jump Shot,[],200768,34.11629434954008,44.36274509803921,1610612748,4,4,2022-12-03T00:45:03Z,230000,False,28.0,268.0,1,left,MISS K. Lowry 26' pullup 3PT,[200768],1610612748.0,MIA,,pullup,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Center,26.97,Missed,,,,,,,,,,,,,,,,,
26,PT10M18.00S,2022-12-03T00:44:25.6Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,4,4,2022-12-03T00:44:27Z,240000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,
27,PT10M13.00S,2022-12-03T00:44:30.3Z,1,REGULAR,3pt,Jump Shot,[],203935,68.9388961892247,24.509803921568626,1610612738,4,4,2022-12-03T01:46:43Z,250000,False,-127.0,239.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,27.13,Missed,,,,,,,,,,,,,,,,,
28,PT10M10.00S,2022-12-03T00:44:33.3Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,4,4,2022-12-03T00:44:40Z,260000,False,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,27.0,1.0,1.0,0.0,,,,,,,,,,,,,
29,PT09M55.00S,2022-12-03T00:44:48.9Z,1,REGULAR,3pt,Jump Shot,[],202710,10.988830486202366,96.32352941176471,1610612748,4,4,2022-12-03T00:44:54Z,270000,False,-232.0,51.0,1,left,MISS J. Butler 3PT,[202710],1610612748.0,MIA,,,,,Butler,J. Butler,,,,,Left Corner 3,24+ Left,23.71,Missed,,,,,,,,,,,,,,,,,
30,PT09M51.00S,2022-12-03T00:44:52.9Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,4,4,2022-12-03T00:44:54Z,280000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,,Brown,J. Brown,,,,,Left Corner 3,24+ Left,,,29.0,1.0,1.0,0.0,,,,,,,,,,,,,
