actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-11T00:45:16.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-11T00:45:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-02-11T00:45:17.5Z,1,REGULAR,jumpball,recovered,[],1629684,,,1610612738,0,0,2023-02-11T00:45:17Z,40000,False,,,0,,Jump Ball R. Williams III vs. M. Williams: Tip to G. Williams,"[1629684, 1629057, 1631109]",1610612738.0,BOS,startperiod,G. Williams,1629684.0,Williams,G. Williams,Williams III,1629057.0,Williams,1631109.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2023-02-11T00:45:28.2Z,1,REGULAR,3pt,Jump Shot,[],1630573,68.54467805519053,66.91176470588235,1610612738,3,0,2023-02-11T00:45:33Z,70000,False,85.0,243.0,1,right,S. Hauser 25' 3PT  (3 PTS) (J. Tatum 1 AST),"[1630573, 1628369]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,25.75,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-02-11T00:45:50.2Z,1,REGULAR,3pt,Jump Shot,[],1626179,25.969119579500656,85.5392156862745,1610612766,3,0,2023-02-11T00:45:57Z,90000,False,-178.0,192.0,1,left,MISS T. Rozier 26' 3PT,[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Left Center,26.13,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2023-02-11T00:45:52.2Z,1,REGULAR,rebound,defensive,[],1629057,,,1610612738,3,0,2023-02-11T00:45:57Z,100000,False,,,0,,R. Williams III REBOUND (Off:0 Def:1),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,Above the Break 3,24+ Left Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M14.00S,2023-02-11T00:46:02.1Z,1,REGULAR,3pt,Jump Shot,[],1628401,84.97043363994744,96.56862745098039,1610612738,6,0,2023-02-11T00:46:07Z,110000,False,233.0,89.0,1,right,D. White 24' 3PT  (3 PTS) (R. Williams III 1 AST),"[1628401, 1629057]",1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,24.92,Made,3.0,R. Williams III,1629057.0,1.0,,,,,,,,,,,,,,
13,PT11M01.00S,2023-02-11T00:46:13.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,26.757555847568987,17.15686274509804,1610612766,6,3,2023-02-11T00:46:18Z,130000,False,164.0,199.0,1,left,L. Ball 25' 3PT step back (3 PTS),[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,25.8,Made,3.0,,,,,,,,,,,,,,,,,
14,PT10M41.00S,2023-02-11T00:46:34.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,92.19776609724047,59.31372549019608,1610612738,8,3,2023-02-11T00:46:39Z,140000,False,47.0,21.0,1,right,D. White driving floating Jump Shot (5 PTS),[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,5.1,Made,5.0,,,,,,,,,,,,,,,,,
15,PT10M31.00S,2023-02-11T00:46:44.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630163,14.586070959264127,42.67386642156863,1610612766,8,5,2023-02-11T00:46:50Z,150000,False,37.0,85.0,1,left,L. Ball 9' driving floating Jump Shot (5 PTS),[1630163],1610612766.0,CHA,driving floating,,,Ball,L. Ball,,,,,In The Paint (Non-RA),8-16 Center,9.22,Made,5.0,,,,,,,,,,,,,,,,,
16,PT10M10.00S,2023-02-11T00:47:04.9Z,1,REGULAR,3pt,Jump Shot,[],1630573,72.7496714848883,79.65686274509804,1610612738,8,5,2023-02-11T00:47:10Z,160000,False,148.0,204.0,1,right,MISS S. Hauser 25' 3PT,[1630573],1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Right Center,25.2,Missed,,,,,,,,,,,,,,,,,,
