actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-15T00:40:39.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-15T00:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-11-15T00:40:45.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612760,0,0,2022-11-15T00:40:45Z,40000,False,,,0,,Jump Ball A. Pokusevski vs. A. Horford: Tip to Team (OKC),"[1630197, 201143]",1610612760.0,OKC,startperiod,Team (OKC),Pokusevski,1630197.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-11-15T00:41:05.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,88.64980289093299,47.549019607843135,1610612760,0,0,2022-11-15T00:41:15Z,70000,False,-12.0,54.0,1,right,MISS J. Giddey driving floating Shot,[1630581],1610612760.0,OKC,driving floating,,,,,,In The Paint (Non-RA),0-8 Center,5.56,Missed,Giddey,J. Giddey,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-11-15T00:41:08.8Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,0,2022-11-15T00:41:15Z,80000,False,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,,,,In The Paint (Non-RA),0-8 Center,,,Brown,J. Brown,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-11-15T00:41:21.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],201143,8.09789750328515,54.41176470588235,1610612738,2,0,2022-11-15T00:41:28Z,90000,False,-22.0,24.0,1,left,A. Horford cutting DUNK (2 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,cutting,,,,,,Restricted Area,0-8 Center,3.23,Made,Horford,A. Horford,,,,,2.0,J. Brown,1627759.0,1.0,,,,,,,,,,
11,PT11M15.00S,2022-11-15T00:41:39.5Z,1,REGULAR,2pt,Jump Shot,[],1631114,88.25558475689881,79.90196078431373,1610612760,2,2,2022-11-15T00:41:45Z,110000,False,150.0,58.0,1,right,J. Williams 16' pullup Jump Shot (2 PTS),[1631114],1610612760.0,OKC,pullup,,,,,,Mid-Range,16-24 Right,16.03,Made,Williams,J. Williams,,,,,2.0,,,,,,,,,,,,,
13,PT10M54.00S,2022-11-15T00:42:01.8Z,1,REGULAR,foul,personal,['2freethrow'],1629652,,,1610612738,2,2,2022-11-15T00:42:13Z,130000,False,,,0,,L. Dort shooting personal FOUL (1 PF) (Tatum 2 FT),"[1629652, 1628369]",1610612760.0,OKC,shooting,,,,,,In The Paint (Non-RA),8-16 Left,,,Dort,L. Dort,,,,,,,,,101284.0,1.0,0.0,Tatum,1628369.0,,,,,
15,PT10M54.00S,2022-11-15T00:42:36.9Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,3,2,2022-11-15T00:42:36Z,150000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,,,,,,,Made,Tatum,J. Tatum,,,,,1.0,,,,,,,,,,,,,
16,PT10M54.00S,2022-11-15T00:42:55.3Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,4,2,2022-11-15T00:42:55Z,160000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,,,,,,,Made,Tatum,J. Tatum,,,,,2.0,,,,,,,,,,,,,
17,PT10M45.00S,2022-11-15T00:43:05.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629652,93.9060446780552,47.549019607843135,1610612760,4,2,2022-11-15T00:43:11Z,170000,False,-12.0,5.0,1,right,MISS L. Dort driving Layup,[1629652],1610612760.0,OKC,driving,,,,,,Restricted Area,0-8 Center,1.32,Missed,Dort,L. Dort,,,,,,,,,,,,,,,,,,
