actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-24T23:11:22.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-24T23:11:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-24T23:11:24.1Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2023-03-24T23:11:24Z,40000,False,,,0,,Jump Ball A. Horford vs. M. Turner: Tip to M. Smart,"[203935, 201143, 1626167]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Horford,201143.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-24T23:11:37.1Z,1,REGULAR,2pt,Jump Shot,[],1628401,77.08607095926413,66.42156862745098,1610612738,0,0,2023-03-24T23:11:46Z,70000,False,82.0,163.0,1,right,MISS D. White 18' pullup Shot,[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,Mid-Range,16-24 Right Center,18.24,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-03-24T23:11:41.1Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2023-03-24T23:11:46Z,80000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-03-24T23:11:46.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631097,8.147174770039427,58.708639705882355,1610612754,0,0,2023-03-24T23:12:19Z,90000,False,-44.0,24.0,1,left,MISS B. Mathurin running Layup - blocked,"[1631097, 1628401]",1610612754.0,IND,running,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),0-8 Center,4.97,Missed,,,,,White,1628401.0,,,,,,,,,,,,
10,PT11M36.00S,2023-03-24T23:11:46.0Z,1,REGULAR,block,,[],1628401,,,1610612754,0,0,2023-03-24T23:11:48Z,100000,False,,,0,,D. White BLOCK (1 BLK),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M32.00S,2023-03-24T23:11:50.0Z,1,REGULAR,rebound,defensive,[],201143,,,1610612738,0,0,2023-03-24T23:11:55Z,110000,False,,,0,,A. Horford REBOUND (Off:0 Def:1),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M30.00S,2023-03-24T23:11:51.7Z,1,REGULAR,turnover,lost ball,[],201143,,,1610612738,0,0,2023-03-24T23:12:50Z,120000,False,,,0,,A. Horford lost ball TURNOVER (1 TO),"[201143, 1630169]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Center,,,,,,,,,1.0,Haliburton,1630169.0,,,,,,,,,
13,PT11M30.00S,2023-03-24T23:11:51.7Z,1,REGULAR,steal,,[],1630169,,,1610612754,0,0,2023-03-24T23:11:53Z,130000,False,,,0,,T. Haliburton STEAL (1 STL),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
14,PT11M26.00S,2023-03-24T23:11:56.1Z,1,REGULAR,turnover,bad pass,[],1630169,,,1610612754,0,0,2023-03-24T23:12:15Z,140000,False,,,0,,T. Haliburton bad pass TURNOVER (1 TO),"[1630169, 1628401]",1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,1.0,White,1628401.0,,,,,,,,,
15,PT11M26.00S,2023-03-24T23:11:56.1Z,1,REGULAR,steal,,[],1628401,,,1610612738,0,0,2023-03-24T23:11:57Z,150000,False,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT11M23.00S,2023-03-24T23:11:59.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628369,93.51182654402102,49.754901960784316,1610612738,2,0,2023-03-24T23:12:08Z,160000,False,-1.0,8.0,1,right,J. Tatum running Layup (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,running,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,0.86,Made,,,,,,,,,,2.0,M. Smart,203935.0,1.0,,,,,
18,PT11M07.00S,2023-03-24T23:12:14.1Z,1,REGULAR,2pt,Jump Shot,[],1626167,20.581471747700395,36.51960784313725,1610612754,2,2,2023-03-24T23:12:43Z,180000,False,67.0,141.0,1,left,M. Turner 15' turnaround fadeaway Jump Shot (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,turnaround fadeaway,,,Turner,M. Turner,,,,,Mid-Range,8-16 Center,15.63,Made,,,,,,,,,,2.0,A. Nembhard,1629614.0,1.0,,,,,
