actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-24T00:40:34.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-24T00:40:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-12-24T00:40:57.0Z,1,REGULAR,jumpball,recovered,[],1630162,,,1610612750,0,0,2022-12-24T00:40:57Z,40000,False,,,0,,Jump Ball R. Gobert vs. A. Horford: Tip to A. Edwards,"[1630162, 203497, 201143]",1610612750.0,MIN,startperiod,A. Edwards,1630162.0,Edwards,A. Edwards,Gobert,203497.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-12-24T00:41:11.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630183,85.49605781865965,42.40196078431372,1610612750,0,0,2022-12-24T00:41:16Z,70000,False,-38.0,84.0,1,right,MISS J. McDaniels 9' driving floating Shot,[1630183],1610612750.0,MIN,driving floating,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,9.2,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-12-24T00:41:13.6Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2022-12-24T00:41:16Z,80000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M33.00S,2022-12-24T00:41:21.9Z,1,REGULAR,foul,personal,['2freethrow'],1630162,,,1610612738,0,0,2022-12-24T00:41:34Z,90000,False,,,0,,A. Edwards shooting personal FOUL (1 PF) (Tatum 2 FT),"[1630162, 1628369]",1610612750.0,MIN,shooting,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,,,,,,,1627519.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,
11,PT11M33.00S,2022-12-24T00:41:51.2Z,1,REGULAR,freethrow,1 of 2,[],1628369,,,1610612738,1,0,2022-12-24T00:41:51Z,110000,False,,,0,,J. Tatum Free Throw 1 of 2 (1 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M33.00S,2022-12-24T00:42:08.5Z,1,REGULAR,freethrow,2 of 2,[],1628369,,,1610612738,2,0,2022-12-24T00:42:08Z,120000,False,,,0,,J. Tatum Free Throw 2 of 2 (2 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M21.00S,2022-12-24T00:42:22.5Z,1,REGULAR,2pt,Jump Shot,[],1626156,79.05716162943496,67.15686274509804,1610612750,2,2,2022-12-24T00:42:27Z,130000,False,86.0,144.0,1,right,D. Russell 16' pullup Jump Shot (2 PTS),[1626156],1610612750.0,MIN,pullup,,,Russell,D. Russell,,,,,Mid-Range,16-24 Right Center,16.8,Made,,,,,,,,,,2.0,,,,,,,,
14,PT11M02.00S,2022-12-24T00:42:40.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,20.318659658344284,41.42156862745098,1610612738,4,2,2022-12-24T00:42:44Z,140000,False,43.0,138.0,1,left,D. White 14' pullup Jump Shot (2 PTS),[1628401],1610612738.0,BOS,pullup,,,White,D. White,,,,,In The Paint (Non-RA),8-16 Center,14.5,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M52.00S,2022-12-24T00:42:52.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630162,91.5407358738502,56.372549019607845,1610612750,4,2,2022-12-24T00:43:13Z,150000,False,32.0,27.0,1,right,MISS A. Edwards driving Layup - blocked,"[1630162, 201143]",1610612750.0,MIN,driving,,,Edwards,A. Edwards,,,,,Restricted Area,0-8 Center,4.18,Missed,,,,,,,,,,,Horford,201143.0,,,,,,
16,PT10M52.00S,2022-12-24T00:42:52.5Z,1,REGULAR,block,,[],201143,,,1610612750,4,2,2022-12-24T00:42:55Z,160000,False,,,0,,A. Horford BLOCK (1 BLK),[201143],1610612738.0,BOS,,,,Horford,A. Horford,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M51.00S,2022-12-24T00:42:53.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,4,2,2022-12-24T00:43:13Z,170000,False,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,Restricted Area,0-8 Center,,,15.0,,,,,,,,,,,,,,,,,
19,PT10M50.00S,2022-12-24T00:43:13.4Z,1,REGULAR,turnover,out-of-bounds,[],1626156,,,1610612750,4,2,2022-12-24T01:00:09Z,190000,False,,,0,,D. Russell bad pass out-of-bounds TURNOVER (1 TO),[1626156],1610612750.0,MIN,bad pass,,,Russell,D. Russell,,,,,Mid-Range,8-16 Left,,,,,,,1627519.0,,,,,,,,1.0,,,,,
20,PT10M32.00S,2022-12-24T00:43:37.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628401,12.565703022339028,58.82352941176471,1610612738,4,2,2022-12-24T00:43:45Z,200000,False,-44.0,66.0,1,left,MISS D. White 7' driving Layup - blocked,"[1628401, 1626156]",1610612738.0,BOS,driving,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,7.9,Missed,,,,,,,,,,,Russell,1626156.0,,,,,,
21,PT10M32.00S,2022-12-24T00:43:37.4Z,1,REGULAR,block,,[],1626156,,,1610612738,4,2,2022-12-24T00:43:39Z,210000,False,,,0,,D. Russell BLOCK (1 BLK),[1626156],1610612750.0,MIN,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT10M30.00S,2022-12-24T00:43:39.4Z,1,REGULAR,rebound,offensive,[],1628401,,,1610612738,4,2,2022-12-24T00:43:45Z,220000,False,,,0,,D. White REBOUND (Off:1 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,,
