actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-28T23:40:53.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T23:40:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-28T23:40:55.0Z,1,REGULAR,jumpball,recovered,[],1628378,,,1610612739,0,0,2022-10-28T23:40:55Z,40000,,,0,,Jump Ball J. Allen vs. A. Horford: Tip to D. Mitchell,"[1628378, 1628386, 201143]",1610612739.0,CLE,startperiod,D. Mitchell,1628378.0,Mitchell,D. Mitchell,Allen,1628386.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-28T23:41:11.6Z,1,REGULAR,foul,personal,[],1628369,,,1610612739,0,0,2022-10-28T23:41:21Z,70000,,,0,,J. Tatum personal FOUL (1 PF),"[1628369, 1630596]",1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,In The Paint (Non-RA),8-16 Center,202049.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-10-28T23:41:39.7Z,1,REGULAR,foul,personal,['2freethrow'],1628401,,,1610612739,0,0,2022-10-28T23:41:49Z,90000,,,0,,D. White shooting personal FOUL (1 PF) (Wade 2 FT),"[1628401, 1629731]",1610612738.0,BOS,shooting,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,1.0,0.0,Wade,1629731.0,,,,,,,,,,,,,,,
11,PT11M35.00S,2022-10-28T23:42:01.2Z,1,REGULAR,freethrow,1 of 2,[],1629731,,,1610612739,0,0,2022-10-28T23:42:01Z,110000,,,0,,MISS D. Wade Free Throw 1 of 2,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
12,PT11M35.00S,2022-10-28T23:42:01.2Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,0,0,2022-10-28T23:42:01Z,120000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,
13,PT11M35.00S,2022-10-28T23:42:13.2Z,1,REGULAR,freethrow,2 of 2,[],1629731,,,1610612739,0,1,2022-10-28T23:42:13Z,130000,,,0,,D. Wade Free Throw 2 of 2 (1 PTS),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
14,PT11M13.00S,2022-10-28T23:42:36.2Z,1,REGULAR,3pt,Jump Shot,[],203935,69.07030223390277,24.019607843137255,1610612738,0,1,2022-10-28T23:42:42Z,140000,-130.0,238.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,27.13,,,,,,,,,,,
15,PT11M10.00S,2022-10-28T23:42:39.2Z,1,REGULAR,rebound,defensive,[],1628386,,,1610612739,0,1,2022-10-28T23:42:42Z,150000,,,0,,J. Allen REBOUND (Off:0 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Above the Break 3,24+ Left Center,,,,,,,14.0,,,1.0,1.0,0.0,,,,,,,,
16,PT11M04.00S,2022-10-28T23:42:46.4Z,1,REGULAR,3pt,Jump Shot,[],1627747,30.56833114323259,78.67647058823529,1610612739,0,4,2022-10-28T23:43:02Z,160000,-143.0,235.0,1,left,C. LeVert 27' 3PT step back (3 PTS),[1627747],1610612739.0,CLE,step back,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Left Center,,,,,,Made,,3.0,27.51,,,,,,,,,,,
17,PT10M47.00S,2022-10-28T23:43:04.5Z,1,REGULAR,turnover,traveling,[],1627759,,,1610612738,0,4,2022-10-28T23:43:10Z,170000,,,0,,J. Brown traveling TURNOVER (1 TO),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Center,1151.0,,,,,,,,,,,,1.0,,,,,,,
18,PT10M33.00S,2022-10-28T23:43:28.4Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628386,11.12023653088042,53.92156862745098,1610612739,0,4,2022-10-28T23:43:36Z,180000,-20.0,52.0,1,left,MISS J. Allen turnaround Hook,[1628386],1610612739.0,CLE,turnaround,,,Allen,J. Allen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,5.56,,,,,,,,,,,
19,PT10M31.00S,2022-10-28T23:43:30.4Z,1,REGULAR,rebound,defensive,[],1627759,,,1610612738,0,4,2022-10-28T23:43:36Z,190000,,,0,,J. Brown REBOUND (Off:0 Def:1),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,18.0,,,1.0,1.0,0.0,,,,,,,,
20,PT10M27.00S,2022-10-28T23:43:36.5Z,1,REGULAR,foul,personal,[],1628378,,,1610612738,0,4,2022-10-28T23:43:47Z,200000,,,0,,D. Mitchell personal FOUL (1 PF),"[1628378, 1628369]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,202049.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,
22,PT10M17.00S,2022-10-28T23:44:01.3Z,1,REGULAR,3pt,Jump Shot,[],203935,71.69842312746385,79.90196078431373,1610612738,0,4,2022-10-28T23:44:06Z,220000,150.0,214.0,1,right,MISS M. Smart 26' 3PT,[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,26.06,,,,,,,,,,,
23,PT10M14.00S,2022-10-28T23:44:04.3Z,1,REGULAR,rebound,defensive,[],1627747,,,1610612739,0,4,2022-10-28T23:44:06Z,230000,,,0,,C. LeVert REBOUND (Off:0 Def:1),[1627747],1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Above the Break 3,24+ Right Center,,,,,,,22.0,,,1.0,1.0,0.0,,,,,,,,
24,PT10M10.00S,2022-10-28T23:44:08.2Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627747,8.886333771353483,43.13725490196079,1610612739,0,6,2022-10-28T23:44:35Z,240000,34.0,31.0,1,left,C. LeVert running finger roll Layup (5 PTS),[1627747],1610612739.0,CLE,running finger roll,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,,5.0,4.62,,,,,,,,,,,
26,PT09M55.00S,2022-10-28T23:44:23.6Z,1,REGULAR,2pt,Jump Shot,[],1628369,87.51642575558476,10.807291666666668,1610612738,2,6,2022-10-28T23:45:27Z,260000,-196.0,65.0,1,right,J. Tatum 20' pullup Jump Shot (2 PTS) (A. Horford 1 AST),"[1628369, 201143]",1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,Mid-Range,16-24 Left,,,,,,Made,,2.0,20.64,,,,,A. Horford,201143.0,1.0,,,,
27,PT09M42.00S,2022-10-28T23:44:38.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627747,14.4053876478318,35.049019607843135,1610612739,2,6,2022-10-28T23:47:42Z,270000,75.0,83.0,1,left,MISS C. LeVert 11' driving floating bank Shot,[1627747],1610612739.0,CLE,driving floating bank,,,LeVert,C. LeVert,,,,,In The Paint (Non-RA),8-16 Right,,,,,,Missed,,,11.17,,,,,,,,,,,
28,PT09M40.00S,2022-10-28T23:44:40.9Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,2,6,2022-10-28T23:45:47Z,280000,,,0,,J. Allen REBOUND (Off:1 Def:1),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,27.0,,,2.0,1.0,1.0,,,,,,,,
29,PT09M39.00S,2022-10-28T23:44:44.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628386,7.835085413929041,43.38235294117647,1610612739,2,8,2022-10-28T23:46:21Z,290000,33.0,21.0,1,left,J. Allen putback Layup (2 PTS),[1628386],1610612739.0,CLE,putback,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Made,,2.0,3.93,,,,,,,,,,,
30,PT09M26.00S,2022-10-28T23:44:54.9Z,1,REGULAR,foul,personal,['2freethrow'],1630596,,,1610612738,2,8,2022-10-28T23:45:06Z,300000,,,0,,E. Mobley shooting personal FOUL (1 PF) (Brown 2 FT),"[1630596, 1627759]",1610612739.0,CLE,shooting,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,1151.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
32,PT09M26.00S,2022-10-28T23:45:22.7Z,1,REGULAR,freethrow,1 of 2,[],1627759,,,1610612738,3,8,2022-10-28T23:45:22Z,320000,,,0,,J. Brown Free Throw 1 of 2 (1 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,,1.0,,,,,,,,,,,,
33,PT09M26.00S,2022-10-28T23:45:36.3Z,1,REGULAR,freethrow,2 of 2,[],1627759,,,1610612738,4,8,2022-10-28T23:45:36Z,330000,,,0,,J. Brown Free Throw 2 of 2 (2 PTS),[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,,,,,Made,,2.0,,,,,,,,,,,,
34,PT09M09.00S,2022-10-28T23:45:54.5Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628386,8.672798948751643,47.143075980392155,1610612739,4,10,2022-10-28T23:46:05Z,340000,14.0,29.0,1,left,J. Allen cutting DUNK (4 PTS) (C. LeVert 1 AST),"[1628386, 1627747]",1610612739.0,CLE,cutting,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,3.23,,,,,C. LeVert,1627747.0,1.0,,,,
37,PT08M57.00S,2022-10-28T23:46:05.9Z,1,REGULAR,3pt,Jump Shot,[],1627759,71.69842312746385,77.69607843137256,1610612738,4,10,2022-10-28T23:46:11Z,360000,138.0,214.0,1,right,MISS J. Brown 25' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.45,,,,,,,,,,,
38,PT08M54.00S,2022-10-28T23:46:08.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,4,10,2022-10-28T23:46:11Z,370000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,37.0,,,1.0,1.0,0.0,,,,,,,,
39,PT08M41.00S,2022-10-28T23:46:21.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630596,11.251642575558476,40.44117647058824,1610612739,4,12,2022-10-28T23:46:25Z,380000,48.0,53.0,1,left,E. Mobley 7' driving Layup (2 PTS),[1630596],1610612739.0,CLE,driving,,,Mobley,E. Mobley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,,2.0,7.16,,,,,,,,,,,
40,PT08M34.00S,2022-10-28T23:46:29.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203935,92.59198423127464,58.333333333333336,1610612738,4,12,2022-10-28T23:46:38Z,390000,42.0,17.0,1,right,MISS M. Smart running Layup,[203935],1610612738.0,BOS,running,,,Smart,M. Smart,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,,4.51,,,,,,,,,,,
41,PT08M32.00S,2022-10-28T23:46:31.2Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612739,4,12,2022-10-28T23:46:38Z,400000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,40.0,,,1.0,1.0,0.0,,,,,,,,
42,PT08M28.00S,2022-10-28T23:46:49.2Z,1,REGULAR,turnover,bad pass,[],1628378,,,1610612739,4,12,2022-10-28T23:47:00Z,410000,,,0,,D. Mitchell bad pass TURNOVER (1 TO),"[1628378, 1628401]",1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,1.0,,,,White,1628401.0,,
43,PT08M28.00S,2022-10-28T23:46:49.2Z,1,REGULAR,steal,,[],1628401,,,1610612738,4,12,2022-10-28T23:46:51Z,420000,,,0,,D. White STEAL (1 STL),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
44,PT08M28.00S,2022-10-28T23:46:52.1Z,1,REGULAR,turnover,out-of-bounds,[],1628401,,,1610612738,4,12,2022-10-28T23:47:07Z,430000,,,0,,D. White step out-of-bounds TURNOVER (1 TO),[1628401],1610612738.0,BOS,step,,,White,D. White,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,1.0,,,,,,,
46,PT08M16.00S,2022-10-28T23:47:26.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628378,16.819973718791065,67.67003676470588,1610612739,4,14,2022-10-28T23:47:53Z,450000,-88.0,106.0,1,left,D. Mitchell 13' pullup Jump Shot (2 PTS),[1628378],1610612739.0,CLE,pullup,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Left,,,,,,Made,,2.0,13.77,,,,,,,,,,,
47,PT08M06.00S,2022-10-28T23:47:36.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628369,93.77463863337714,44.85294117647059,1610612738,6,14,2022-10-28T23:47:41Z,460000,-26.0,6.0,1,right,J. Tatum cutting Layup (4 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,cutting,,,Tatum,J. Tatum,,,,,Restricted Area,0-8 Center,,,,,,Made,,4.0,2.64,,,,,M. Smart,203935.0,1.0,,,,
49,PT07M48.00S,2022-10-28T23:47:54.6Z,1,REGULAR,3pt,Jump Shot,[],1628386,13.87976346911958,95.58823529411765,1610612739,6,14,2022-10-28T23:48:00Z,480000,-228.0,78.0,1,left,MISS J. Allen 24' 3PT,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Left Corner 3,24+ Left,,,,,,Missed,,,24.09,,,,,,,,,,,
50,PT07M45.00S,2022-10-28T23:47:57.6Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,6,14,2022-10-28T23:48:00Z,490000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,Left Corner 3,24+ Left,,,,,,,49.0,,,1.0,1.0,0.0,,,,,,,,
51,PT07M42.00S,2022-10-28T23:48:04.1Z,1,REGULAR,foul,personal,[],1627747,,,1610612738,6,14,2022-10-28T23:48:13Z,500000,,,0,,C. LeVert personal FOUL (1 PF),"[1627747, 1627759]",1610612739.0,CLE,,,,LeVert,C. LeVert,,,,,Mid-Range,16-24 Left Center,202049.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,,,,,,
53,PT07M35.00S,2022-10-28T23:48:27.4Z,1,REGULAR,3pt,Jump Shot,[],1628369,70.90998685939553,76.7156862745098,1610612738,6,14,2022-10-28T23:48:34Z,520000,134.0,221.0,1,right,MISS J. Tatum 25' step back 3PT,[1628369],1610612738.0,BOS,step back,,,Tatum,J. Tatum,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,25.82,,,,,,,,,,,
54,PT07M32.00S,2022-10-28T23:48:30.4Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,6,14,2022-10-28T23:48:34Z,530000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,Above the Break 3,24+ Right Center,,,,,,,53.0,,,2.0,2.0,0.0,,,,,,,,
55,PT07M20.00S,2022-10-28T23:48:47.1Z,1,REGULAR,foul,personal,['2freethrow'],1627759,,,1610612739,6,14,2022-10-28T23:48:54Z,540000,,,0,,J. Brown shooting personal FOUL (1 PF) (Mobley 2 FT),"[1627759, 1630596]",1610612738.0,BOS,shooting,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,1627519.0,1.0,0.0,Mobley,1630596.0,,,,,,,,,,,,,,,
