actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-27T00:40:41.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-27T00:40:41Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-27T00:40:43.8Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2023-11-27T00:40:43Z,40000,False,,,0,,Jump Ball N. Vucevic vs. D. Finney-Smith: Tip to C. White,"[1629632, 202696, 1627827]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vucevic,202696.0,Finney-Smith,1627827.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-11-27T00:40:53.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,91.80354796320631,55.14705882352941,1610612741,0,2,2023-11-27T00:41:29Z,70000,False,26.0,25.0,1,right,Z. LaVine alley-oop Layup (2 PTS) (D. DeRozan 1 AST),"[203897, 201942]",1610612741.0,CHI,alley-oop,,,LaVine,Z. LaVine,,,,,Restricted Area,0-8 Center,3.55,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2023-11-27T00:41:10.8Z,1,REGULAR,3pt,Jump Shot,[],1629661,31.750985545335087,38.72549019607843,1610612751,0,2,2023-11-27T00:41:15Z,90000,False,56.0,246.0,1,left,MISS C. Johnson 25' pullup 3PT,[1629661],1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,25.24,Missed,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2023-11-27T00:41:12.8Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,2,2023-11-27T00:41:15Z,100000,False,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,Above the Break 3,24+ Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M14.00S,2023-11-27T00:41:26.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630172,88.91261498028909,35.53921568627451,1610612741,0,4,2023-11-27T00:41:33Z,110000,False,-72.0,52.0,1,right,P. Williams 8' driving bank Jump Shot (2 PTS) (C. White 1 AST),"[1630172, 1629632]",1610612741.0,CHI,driving bank,,,Williams,P. Williams,,,,,In The Paint (Non-RA),8-16 Left,8.89,Made,2.0,C. White,1629632.0,1.0,,,,,,,,,,,,,,
12,PT10M56.00S,2023-11-27T00:41:44.8Z,1,REGULAR,3pt,Jump Shot,[],203915,28.07161629434954,23.774509803921568,1610612751,0,4,2023-11-27T00:41:50Z,120000,False,131.0,211.0,1,left,MISS S. Dinwiddie 24' step back 3PT,[203915],1610612751.0,BKN,step back,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,24.88,Missed,,,,,,,,,,,,,,,,,,
13,PT10M52.00S,2023-11-27T00:41:48.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,4,2023-11-27T00:41:50Z,130000,False,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M44.00S,2023-11-27T00:41:57.8Z,1,REGULAR,foul,personal,[],1629661,,,1610612741,0,4,2023-11-27T00:42:07Z,140000,False,,,0,,C. Johnson personal FOUL (1 PF),"[1629661, 1630172]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Left,,,,,,,,,,,201638.0,1.0,0.0,Williams,1630172.0,,,,,
17,PT10M34.00S,2023-11-27T00:42:22.7Z,1,REGULAR,3pt,Jump Shot,[],1629632,91.14651773981603,4.166666666666666,1610612741,0,4,2023-11-27T00:42:26Z,160000,False,-229.0,31.0,1,right,MISS C. White 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Left Corner 3,24+ Left,23.12,Missed,,,,,,,,,,,,,,,,,,
