actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-12-03T00:10:57.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-03T00:10:57Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-12-03T00:10:59.5Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2023-12-03T00:10:59Z,40000,False,,,0,,Jump Ball N. Claxton vs. G. Bitadze: Tip to S. Dinwiddie,"[203915, 1629651, 1629048]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Bitadze,1629048.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M54.00S,2023-12-03T00:11:03.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,91.01511169513797,58.333333333333336,1610612751,0,0,2023-12-03T00:11:34Z,70000,False,42.0,32.0,1,right,MISS M. Bridges driving Layup,[1628969],1610612751.0,BKN,driving,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,5.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M51.00S,2023-12-03T00:11:06.7Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,0,0,2023-12-03T00:11:09Z,80000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:1),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M46.00S,2023-12-03T00:11:11.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629048,5.469776609724048,58.57843137254902,1610612753,0,0,2023-12-03T00:12:46Z,90000,False,-43.0,-1.0,1,left,MISS G. Bitadze driving Layup,[1629048],1610612753.0,ORL,driving,,,Bitadze,G. Bitadze,,,,,In The Paint (Non-RA),0-8 Center,4.29,Missed,,,,,,,,,,,,,,,,,,
10,PT11M44.00S,2023-12-03T00:11:13.9Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,0,0,2023-12-03T00:11:21Z,100000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M35.00S,2023-12-03T00:11:21.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,93.9060446780552,3.6764705882352944,1610612751,3,0,2023-12-03T00:11:27Z,110000,False,-232.0,5.0,1,right,M. Bridges 3PT  (3 PTS) (S. Dinwiddie 1 AST),"[1628969, 203915]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.16,Made,,,,,3.0,S. Dinwiddie,203915.0,1.0,,,,,,,,,,
13,PT11M20.00S,2023-12-03T00:11:37.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629048,6.915243101182654,43.872549019607845,1610612753,3,0,2023-12-03T00:11:41Z,130000,False,31.0,13.0,1,left,MISS G. Bitadze alley-oop DUNK,[1629048],1610612753.0,ORL,alley-oop,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,3.31,Missed,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2023-12-03T00:11:40.8Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,3,0,2023-12-03T00:11:41Z,140000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M10.00S,2023-12-03T00:11:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630560,85.3646517739816,50.73529411764706,1610612751,3,0,2023-12-03T00:11:52Z,150000,False,4.0,85.0,1,right,MISS C. Thomas 8' driving floating Shot,[1630560],1610612751.0,BKN,driving floating,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,8.52,Missed,,,,,,,,,,,,,,,,,,
16,PT11M06.00S,2023-12-03T00:11:51.6Z,1,REGULAR,rebound,defensive,[],1641710,,,1610612753,3,0,2023-12-03T00:11:52Z,160000,False,,,0,,A. Black REBOUND (Off:0 Def:1),[1641710],1610612753.0,ORL,,,,Black,A. Black,,,,,In The Paint (Non-RA),8-16 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
17,PT10M50.00S,2023-12-03T00:12:07.8Z,1,REGULAR,2pt,Jump Shot,[],1630532,15.456636005256241,18.627450980392158,1610612753,3,0,2023-12-03T00:14:10Z,170000,False,157.0,93.0,1,left,MISS F. Wagner 18' step back Shot,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,Mid-Range,16-24 Right,18.23,Missed,,,,,,,,,,,,,,,,,,
18,PT10M45.00S,2023-12-03T00:12:12.8Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,3,0,2023-12-03T00:12:12Z,180000,False,,,0,,C. Thomas REBOUND (Off:0 Def:1),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Right,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,,
19,PT10M31.00S,2023-12-03T00:12:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628969,91.27792378449409,54.65686274509803,1610612751,3,0,2023-12-03T00:12:29Z,190000,False,23.0,29.0,1,right,MISS M. Bridges driving Layup - blocked,"[1628969, 1630532]",1610612751.0,BKN,driving,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,3.76,Missed,,,,,,,,,Wagner,1630532.0,,,,,,,,
58,PT10M31.00S,2023-12-03T00:12:25.5Z,1,REGULAR,block,,[],1630532,,,1610612751,3,0,2023-12-03T00:18:05Z,195000,False,,,0,,F. Wagner BLOCK (1 BLK),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M30.00S,2023-12-03T00:12:26.5Z,1,REGULAR,rebound,defensive,[],1629048,,,1610612753,3,0,2023-12-03T00:12:29Z,200000,False,,,0,,G. Bitadze REBOUND (Off:0 Def:2),[1629048],1610612753.0,ORL,,,,Bitadze,G. Bitadze,,,,,Restricted Area,0-8 Center,,,19.0,2.0,2.0,0.0,,,,,,,,,,,,,,
21,PT10M27.00S,2023-12-03T00:12:31.8Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631094,5.206964520367937,43.872549019607845,1610612753,3,2,2023-12-03T00:12:42Z,210000,False,31.0,-4.0,1,left,P. Banchero running Layup (2 PTS),[1631094],1610612753.0,ORL,running,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,3.08,Made,,,,,2.0,,,,,,,,,,,,,
22,PT10M27.00S,2023-12-03T00:12:35.6Z,1,REGULAR,foul,personal,['1freethrow'],1630560,,,1610612753,3,2,2023-12-03T00:12:44Z,220000,False,,,0,,C. Thomas shooting personal FOUL (1 PF) (Banchero 1 FT),"[1630560, 1631094]",1610612751.0,BKN,shooting,,,Thomas,C. Thomas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,202049.0,1.0,0.0,Banchero,1631094.0,,,
24,PT10M27.00S,2023-12-03T00:13:02.7Z,1,REGULAR,freethrow,1 of 1,['fastbreak'],1631094,,,1610612753,3,2,2023-12-03T00:13:02Z,240000,False,,,0,,MISS P. Banchero Free Throw 1 of 1,[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
25,PT10M25.00S,2023-12-03T00:13:04.7Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,3,2,2023-12-03T00:13:05Z,250000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
26,PT10M11.00S,2023-12-03T00:13:18.0Z,1,REGULAR,3pt,Jump Shot,[],1629661,91.80354796320631,96.32352941176471,1610612751,6,2,2023-12-03T00:13:22Z,260000,False,232.0,25.0,1,right,C. Johnson 3PT  (3 PTS) (C. Thomas 1 AST),"[1629661, 1630560]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,23.29,Made,,,,,3.0,C. Thomas,1630560.0,1.0,,,,,,,,,,
28,PT09M45.00S,2023-12-03T00:13:44.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630591,15.588042049934298,34.55882352941176,1610612753,6,2,2023-12-03T00:13:49Z,280000,False,77.0,94.0,1,left,MISS J. Suggs 12' driving floating Shot,[1630591],1610612753.0,ORL,driving floating,,,Suggs,J. Suggs,,,,,In The Paint (Non-RA),8-16 Right,12.16,Missed,,,,,,,,,,,,,,,,,,
29,PT09M42.00S,2023-12-03T00:13:47.1Z,1,REGULAR,rebound,defensive,[],1630560,,,1610612751,6,2,2023-12-03T00:13:49Z,290000,False,,,0,,C. Thomas REBOUND (Off:0 Def:2),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Right,,,28.0,2.0,2.0,0.0,,,,,,,,,,,,,,
30,PT09M29.00S,2023-12-03T00:13:59.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,92.06636005256242,39.21568627450981,1610612751,8,2,2023-12-03T00:14:04Z,300000,False,-54.0,22.0,1,right,N. Claxton turnaround Hook (2 PTS),[1629651],1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,,,,,2.0,,,,,,,,,,,,,
31,PT09M09.00S,2023-12-03T00:14:20.2Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630532,8.886333771353483,43.872549019607845,1610612753,8,4,2023-12-03T00:14:24Z,310000,False,31.0,31.0,1,left,F. Wagner driving Hook (2 PTS) (J. Suggs 1 AST),"[1630532, 1630591]",1610612753.0,ORL,driving,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,4.36,Made,,,,,2.0,J. Suggs,1630591.0,1.0,,,,,,,,,,
33,PT08M54.00S,2023-12-03T00:14:36.8Z,1,REGULAR,turnover,lost ball,[],1630560,,,1610612751,8,4,2023-12-03T00:14:48Z,330000,False,,,0,,C. Thomas lost ball TURNOVER (1 TO),[1630560],1610612751.0,BKN,,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,1.0,,
34,PT08M54.00S,2023-12-03T00:14:40.8Z,1,REGULAR,foul,personal,[],1630560,,,1610612753,8,4,2023-12-03T00:14:46Z,340000,False,,,0,,C. Thomas loose ball personal FOUL (2 PF),"[1630560, 1641710]",1610612751.0,BKN,loose ball,,,Thomas,C. Thomas,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,1628482.0,2.0,0.0,Black,1641710.0,,,
36,PT08M44.00S,2023-12-03T00:15:08.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1631094,20.581471747700395,35.294117647058826,1610612753,8,4,2023-12-03T00:15:14Z,360000,False,74.0,141.0,1,left,MISS P. Banchero 15' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Center,15.9,Missed,,,,,,,,,,,,,,,,,,
37,PT08M42.00S,2023-12-03T00:15:10.8Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,8,4,2023-12-03T00:15:14Z,370000,False,,,0,,C. Johnson REBOUND (Off:0 Def:2),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Center,,,36.0,2.0,2.0,0.0,,,,,,,,,,,,,,
