actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-19T23:40:54.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-19T23:40:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-03-19T23:40:58.0Z,1,REGULAR,jumpball,recovered,[],1630529,,,1610612740,0,0,2024-03-19T23:40:58Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. N. Claxton: Tip to H. Jones,"[1630529, 202685, 1629651]",1610612740.0,NOP,startperiod,H. Jones,1630529.0,Jones,H. Jones,Valanciunas,202685.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-19T23:41:13.1Z,1,REGULAR,3pt,Jump Shot,[],1630529,68.01905387647832,38.72549019607843,1610612740,0,0,2024-03-19T23:41:19Z,70000,False,-56.0,248.0,1,right,MISS H. Jones 25' 3PT,[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Center,25.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-19T23:41:17.1Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,0,0,2024-03-19T23:41:19Z,80000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M16.00S,2024-03-19T23:41:38.9Z,1,REGULAR,2pt,Jump Shot,[],1630560,4.812746386333772,86.27450980392157,1610612751,0,0,2024-03-19T23:43:28Z,90000,False,-181.0,-7.0,1,left,MISS C. Thomas 18' pullup Shot - blocked,"[1630560, 1630529]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,Mid-Range,16-24 Left,18.15,Missed,,,,,Jones,1630529.0,,,,,,,,,,,,
10,PT11M16.00S,2024-03-19T23:41:38.9Z,1,REGULAR,block,,[],1630529,,,1610612751,0,0,2024-03-19T23:41:43Z,100000,False,,,0,,H. Jones BLOCK (1 BLK),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
11,PT11M15.00S,2024-03-19T23:41:39.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2024-03-19T23:43:28Z,110000,False,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Mid-Range,16-24 Left,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2024-03-19T23:41:44.4Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612751,0,0,2024-03-19T23:42:27Z,120000,False,,,0,,BKN shot clock Team TURNOVER,[],1610612751.0,BKN,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,2004.0,,,,,,,,,,,
13,PT11M03.00S,2024-03-19T23:42:04.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",202685,92.72339027595268,49.26470588235294,1610612740,0,2,2024-03-19T23:42:53Z,130000,False,-4.0,16.0,1,right,J. Valanciunas cutting DUNK (2 PTS) (H. Jones 1 AST),"[202685, 1630529]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,1.63,Made,,,,,,,,2.0,H. Jones,1630529.0,1.0,,,,,,,
16,PT10M44.00S,2024-03-19T23:42:40.4Z,1,REGULAR,3pt,Jump Shot,[],1628969,3.4986859395532193,95.83333333333334,1610612751,3,2,2024-03-19T23:42:44Z,160000,False,-229.0,-20.0,1,left,M. Bridges 3PT  (3 PTS) (N. Claxton 1 AST),"[1628969, 1629651]",1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Left Corner 3,24+ Left,23.0,Made,,,,,,,,3.0,N. Claxton,1629651.0,1.0,,,,,,,
