actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2023-11-12T20:10:53.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-12T20:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-11-12T20:10:57.9Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2023-11-12T20:10:57Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Gafford: Tip to C. Johnson,"[1629661, 1629651, 1629655]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-11-12T20:11:14.9Z,1,REGULAR,3pt,Jump Shot,[],1628969,32.013797634691194,52.20588235294118,1610612751,0,0,2023-11-12T20:11:20Z,70000,False,-11.0,248.0,1,left,MISS M. Bridges 24' 3PT,[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Center,24.86,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2023-11-12T20:11:16.9Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612764,0,0,2023-11-12T20:11:25Z,80000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:1),[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M12.00S,2023-11-12T20:11:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629655,94.1688567674113,47.05882352941176,1610612764,0,0,2023-11-12T20:12:53Z,90000,False,-15.0,2.0,1,right,MISS D. Gafford alley-oop Layup,[1629655],1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,1.49,Missed,,,,,,,,,,,,,,,,,,
10,PT11M09.00S,2023-11-12T20:11:44.1Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,0,2023-11-12T20:12:53Z,100000,False,,,0,,C. Johnson REBOUND (Off:0 Def:1),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M06.00S,2023-11-12T20:11:46.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627827,6.783837056504599,2.941176470588235,1610612751,0,0,2023-11-12T20:11:54Z,110000,False,235.0,11.0,1,left,MISS D. Finney-Smith running 3PT - blocked,"[1627827, 1629673]",1610612751.0,BKN,running,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,23.56,Missed,,,,,Poole,1629673.0,,,,,,,,,,,,
12,PT11M06.00S,2023-11-12T20:11:46.5Z,1,REGULAR,block,,[],1629673,,,1610612751,0,0,2023-11-12T20:11:49Z,120000,False,,,0,,J. Poole BLOCK (1 BLK),[1629673],1610612764.0,WAS,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
13,PT11M02.00S,2023-11-12T20:11:50.5Z,1,REGULAR,rebound,defensive,[],1629655,,,1610612764,0,0,2023-11-12T20:11:54Z,130000,False,,,0,,D. Gafford REBOUND (Off:0 Def:1),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M50.00S,2023-11-12T20:12:03.1Z,1,REGULAR,3pt,Jump Shot,[],1630166,66.70499342969777,42.64705882352941,1610612764,0,0,2023-11-12T20:12:07Z,140000,False,-37.0,260.0,1,right,MISS D. Avdija 26' 3PT,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Above the Break 3,24+ Center,26.31,Missed,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2023-11-12T20:12:07.1Z,1,REGULAR,rebound,defensive,[],1629661,,,1610612751,0,0,2023-11-12T20:12:07Z,150000,False,,,0,,C. Johnson REBOUND (Off:0 Def:2),[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Above the Break 3,24+ Center,,,14.0,2.0,2.0,0.0,,,,,,,,,,,,,,
16,PT10M24.00S,2023-11-12T20:12:29.4Z,1,REGULAR,turnover,bad pass,[],1627827,,,1610612751,0,0,2023-11-12T20:15:17Z,160000,False,,,0,,D. Finney-Smith bad pass TURNOVER (1 TO),"[1627827, 1630166]",1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Mid-Range,8-16 Center,,,,,,,,,1.0,Avdija,1630166.0,,,,,,,,,
17,PT10M24.00S,2023-11-12T20:12:29.4Z,1,REGULAR,steal,,[],1630166,,,1610612764,0,0,2023-11-12T20:12:35Z,170000,False,,,0,,D. Avdija STEAL (1 STL),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2023-11-12T20:12:44.7Z,1,REGULAR,foul,personal,[],1627827,,,1610612764,0,0,2023-11-12T20:12:59Z,190000,False,,,0,,D. Finney-Smith loose ball personal FOUL (1 PF),"[1627827, 1629673]",1610612751.0,BKN,loose ball,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,202058.0,1.0,0.0,Poole,1629673.0,,,,
21,PT10M11.00S,2023-11-12T20:13:01.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628398,93.38042049934296,19.852941176470587,1610612764,0,0,2023-11-12T20:13:11Z,210000,False,-151.0,10.0,1,right,MISS K. Kuzma 15' Jump Shot,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Mid-Range,8-16 Left,15.1,Missed,,,,,,,,,,,,,,,,,,
22,PT10M04.00S,2023-11-12T20:13:08.2Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,0,0,2023-11-12T20:13:11Z,220000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Left,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
