actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-12-23T00:40:56.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-12-23T00:40:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-12-23T00:40:59.0Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2023-12-23T00:40:59Z,40000,False,,,0,,Jump Ball N. Jokic vs. N. Claxton: Tip to A. Gordon,"[203932, 203999, 1629651]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M34.00S,2023-12-23T00:41:20.9Z,1,REGULAR,2pt,Jump Shot,[],1629008,20.97568988173456,77.94117647058823,1610612743,0,2,2023-12-23T00:41:25Z,70000,False,-140.0,145.0,1,left,M. Porter Jr. 20' Jump Shot (2 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Mid-Range,16-24 Left Center,20.11,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2023-12-23T00:41:39.4Z,1,REGULAR,2pt,Jump Shot,[],1628969,84.31340341655716,70.83333333333334,1610612751,0,2,2023-12-23T00:41:50Z,80000,False,104.0,95.0,1,right,MISS M. Bridges 14' pullup Shot,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Right,14.1,Missed,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2023-12-23T00:41:43.4Z,1,REGULAR,rebound,offensive,[],1629651,,,1610612751,0,2,2023-12-23T00:42:12Z,90000,False,,,0,,N. Claxton REBOUND (Off:1 Def:0),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Mid-Range,8-16 Right,,,,8.0,1.0,0.0,1.0,,,,,,,,,,,,,
10,PT11M08.00S,2023-12-23T00:41:48.3Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1630560,85.3646517739816,40.68627450980392,1610612751,2,2,2023-12-23T00:41:52Z,100000,False,-47.0,85.0,1,right,C. Thomas 9' pullup Jump Shot (2 PTS) (C. Johnson 1 AST),"[1630560, 1629661]",1610612751.0,BKN,pullup,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),8-16 Center,9.7,Made,2.0,,,,,C. Johnson,1629661.0,1.0,,,,,,,,,,
11,PT10M54.00S,2023-12-23T00:42:04.9Z,1,REGULAR,foul,personal,[],203915,,,1610612743,2,2,2023-12-23T00:42:14Z,110000,False,,,0,,S. Dinwiddie personal FOUL (1 PF),"[203915, 203932]",1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,2003.0,1.0,0.0,Gordon,203932.0,,,,,
13,PT10M48.00S,2023-12-23T00:42:26.5Z,1,REGULAR,3pt,Jump Shot,[],1629008,29.25427069645204,27.450980392156865,1610612743,2,5,2023-12-23T00:42:30Z,130000,False,113.0,222.0,1,left,M. Porter Jr. 24' 3PT  (5 PTS) (K. Caldwell-Pope 1 AST),"[1629008, 203484]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,24.94,Made,5.0,,,,,K. Caldwell-Pope,203484.0,1.0,,,,,,,,,,
15,PT10M27.00S,2023-12-23T00:42:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629661,95.3515111695138,3.9215686274509802,1610612751,5,5,2023-12-23T00:42:51Z,150000,False,-230.0,-9.0,1,right,C. Johnson 3PT  (3 PTS) (M. Bridges 1 AST),"[1629661, 1628969]",1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Left Corner 3,24+ Left,23.06,Made,3.0,,,,,M. Bridges,1628969.0,1.0,,,,,,,,,,
17,PT10M13.00S,2023-12-23T00:43:00.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,11.777266754270697,39.21568627450981,1610612743,5,5,2023-12-23T01:36:48Z,170000,False,54.0,58.0,1,left,MISS N. Jokic 7' driving floating bank Shot,[203999],1610612743.0,DEN,driving floating bank,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,7.93,Missed,,,,,,,,,,,,,,,,,,
18,PT10M11.00S,2023-12-23T00:43:02.7Z,1,REGULAR,rebound,offensive,[],203999,,,1610612743,5,5,2023-12-23T00:43:05Z,180000,False,,,0,,N. Jokic REBOUND (Off:1 Def:0),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,
19,PT10M09.00S,2023-12-23T00:43:04.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203999,5.075558475689881,48.77450980392157,1610612743,5,7,2023-12-23T00:43:10Z,190000,False,6.0,-5.0,1,left,N. Jokic putback Layup (2 PTS),[203999],1610612743.0,DEN,putback,,,Jokic,N. Jokic,,,,,Restricted Area,0-8 Center,0.78,Made,2.0,,,,,,,,,,,,,,,,,
20,PT09M59.00S,2023-12-23T00:43:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629651,83.26215505913272,42.15686274509804,1610612751,5,7,2023-12-23T00:44:29Z,200000,False,-39.0,105.0,1,right,MISS N. Claxton 11' floating Shot,[1629651],1610612751.0,BKN,floating,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,11.19,Missed,,,,,,,,,,,,,,,,,,
21,PT09M57.00S,2023-12-23T00:43:16.5Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,5,7,2023-12-23T00:43:18Z,210000,False,,,0,,N. Jokic REBOUND (Off:1 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Center,,,,20.0,2.0,1.0,1.0,,,,,,,,,,,,,
23,PT09M40.00S,2023-12-23T00:43:34.2Z,1,REGULAR,2pt,Jump Shot,[],1627750,24.129434954007884,68.38235294117648,1610612743,5,7,2023-12-23T00:45:12Z,220000,False,-92.0,174.0,1,left,MISS J. Murray 19' pullup Shot,[1627750],1610612743.0,DEN,pullup,,,Murray,J. Murray,,,,,Mid-Range,16-24 Left Center,19.7,Missed,,,,,,,,,,,,,,,,,,
