actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-06T00:41:10.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-06T00:41:10Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-06T00:41:13.1Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2024-01-06T00:41:13Z,40000,False,,,0,,Jump Ball N. Claxton vs. C. Holmgren: Tip to S. Dinwiddie,"[203915, 1629651, 1631096]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Holmgren,1631096.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2024-01-06T00:41:34.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627827,93.38042049934296,59.80392156862745,1610612751,0,0,2024-01-06T00:41:40Z,70000,False,49.0,10.0,1,right,MISS D. Finney-Smith floating Shot,[1627827],1610612751.0,BKN,floating,,,Finney-Smith,D. Finney-Smith,,,,,In The Paint (Non-RA),0-8 Center,5.0,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2024-01-06T00:41:36.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,0,0,2024-01-06T00:41:40Z,80000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2024-01-06T00:41:45.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,13.091327201051248,49.26470588235294,1610612760,0,0,2024-01-06T00:41:50Z,90000,False,4.0,71.0,1,left,MISS S. Gilgeous-Alexander 7' pullup Shot,[1628983],1610612760.0,OKC,pullup,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.07,Missed,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2024-01-06T00:41:50.3Z,1,REGULAR,rebound,defensive,[],203915,,,1610612751,0,0,2024-01-06T00:41:50Z,100000,False,,,0,,S. Dinwiddie REBOUND (Off:0 Def:1),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,In The Paint (Non-RA),0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2024-01-06T00:41:57.9Z,1,REGULAR,foul,personal,[],1630581,,,1610612751,0,0,2024-01-06T00:42:05Z,110000,False,,,0,,J. Giddey personal FOUL (1 PF),"[1630581, 1627827]",1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Left Center,,,,,,,1628172.0,1.0,0.0,Finney-Smith,1627827.0,,,,,,,,,
13,PT11M13.00S,2024-01-06T00:42:14.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629651,93.11760840998686,50.0,1610612751,2,0,2024-01-06T00:42:18Z,130000,False,0.0,12.0,1,right,N. Claxton alley-oop DUNK (2 PTS) (M. Bridges 1 AST),"[1629651, 1628969]",1610612751.0,BKN,alley-oop,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,1.22,Made,,,,,,,,,,2.0,M. Bridges,1628969.0,1.0,,,,,
15,PT10M47.00S,2024-01-06T00:42:38.8Z,1,REGULAR,2pt,Jump Shot,[],1631096,7.5722733245729295,11.029411764705882,1610612760,2,0,2024-01-06T00:42:43Z,150000,False,195.0,19.0,1,left,MISS C. Holmgren 19' pullup Shot - blocked,"[1631096, 203915]",1610612760.0,OKC,pullup,,,Holmgren,C. Holmgren,,,,,Mid-Range,16-24 Right,19.58,Missed,,,,,,,,,,,,,,Dinwiddie,203915.0,,,
16,PT10M47.00S,2024-01-06T00:42:38.8Z,1,REGULAR,block,,[],203915,,,1610612760,2,0,2024-01-06T00:42:41Z,160000,False,,,0,,S. Dinwiddie BLOCK (1 BLK),[203915],1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Mid-Range,16-24 Right,,,,,,,,,,,,,,,,,,,,
