actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-01-16T00:43:08.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-16T00:43:08Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-01-16T00:43:12.4Z,1,REGULAR,jumpball,recovered,[],203915,,,1610612751,0,0,2024-01-16T00:43:12Z,40000,False,,,0,,Jump Ball N. Claxton vs. B. Adebayo: Tip to S. Dinwiddie,"[203915, 1629651, 1628389]",1610612751.0,BKN,startperiod,S. Dinwiddie,203915.0,Dinwiddie,S. Dinwiddie,Claxton,1629651.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2024-01-16T00:43:33.9Z,1,REGULAR,3pt,Jump Shot,[],1627827,95.74572930354796,95.83333333333334,1610612751,0,0,2024-01-16T00:43:39Z,70000,False,229.0,-13.0,1,right,MISS D. Finney-Smith 3PT,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,Right Corner 3,24+ Right,22.95,Missed,,,,,,,,,,,,,,,,,,
8,PT11M31.00S,2024-01-16T00:43:36.7Z,1,REGULAR,rebound,defensive,[],200768,,,1610612748,0,0,2024-01-16T00:43:36Z,80000,False,,,0,,K. Lowry REBOUND (Off:0 Def:1),[200768],1610612748.0,MIA,,,,Lowry,K. Lowry,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M09.00S,2024-01-16T00:43:58.9Z,1,REGULAR,3pt,Jump Shot,[],1631107,30.042706964520367,28.921568627450984,1610612748,0,0,2024-01-16T00:44:04Z,90000,False,105.0,230.0,1,left,MISS N. Jovic 25' 3PT,[1631107],1610612748.0,MIA,,,,Jovic,N. Jovic,,,,,Above the Break 3,24+ Right Center,25.29,Missed,,,,,,,,,,,,,,,,,,
10,PT11M05.00S,2024-01-16T00:44:02.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,0,0,2024-01-16T00:44:02Z,100000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M01.00S,2024-01-16T00:44:06.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628969,68.41327201051249,66.42156862745098,1610612751,0,0,2024-01-16T00:44:28Z,110000,False,82.0,244.0,1,right,MISS M. Bridges 25' running pullup 3PT,[1628969],1610612751.0,BKN,running pullup,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,25.78,Missed,,,,,,,,,,,,,,,,,,
12,PT10M54.00S,2024-01-16T00:44:13.4Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,0,0,2024-01-16T00:44:28Z,120000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M52.00S,2024-01-16T00:44:17.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1629639,5.601182654402102,45.34313725490196,1610612748,0,0,2024-01-16T00:46:18Z,130000,False,23.0,0.0,1,left,MISS T. Herro running Layup - blocked,"[1629639, 1629651]",1610612748.0,MIA,running,,,Herro,T. Herro,,,,,Restricted Area,0-8 Center,2.33,Missed,,,,,Claxton,1629651.0,,,,,,,,,,,,
14,PT10M52.00S,2024-01-16T00:44:17.1Z,1,REGULAR,block,,[],1629651,,,1610612748,0,0,2024-01-16T00:44:19Z,140000,False,,,0,,N. Claxton BLOCK (1 BLK),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
