actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-06T00:40:58.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-06T00:40:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-03-06T00:41:02.0Z,1,REGULAR,jumpball,recovered,[],1627827,,,1610612751,0,0,2024-03-06T00:41:02Z,40000,False,,,0,,Jump Ball N. Claxton vs. M. Bamba: Tip to D. Finney-Smith,"[1627827, 1629651, 1628964]",1610612751.0,BKN,startperiod,D. Finney-Smith,1627827.0,Finney-Smith,D. Finney-Smith,Claxton,1629651.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2024-03-06T00:41:17.4Z,1,REGULAR,2pt,Jump Shot,[],1629661,93.38042049934296,73.52941176470588,1610612751,0,0,2024-03-06T00:41:22Z,70000,False,118.0,10.0,1,right,MISS C. Johnson 11' Jump Shot,[1629661],1610612751.0,BKN,,,,Johnson,C. Johnson,,,,,Mid-Range,8-16 Right,11.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-03-06T00:41:21.4Z,1,REGULAR,rebound,defensive,[],202699,,,1610612755,0,0,2024-03-06T00:41:22Z,80000,False,,,0,,T. Harris REBOUND (Off:0 Def:1),[202699],1610612755.0,PHI,,,,Harris,T. Harris,,,,,Mid-Range,8-16 Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M17.00S,2024-03-06T00:41:39.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628964,11.908672798948752,47.05882352941176,1610612755,0,2,2024-03-06T00:41:43Z,90000,False,15.0,59.0,1,left,M. Bamba 6' Hook (2 PTS),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),0-8 Center,6.12,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M05.00S,2024-03-06T00:41:51.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,84.31340341655716,40.44117647058824,1610612751,2,2,2024-03-06T00:41:56Z,100000,False,-48.0,95.0,1,right,M. Bridges 10' fadeaway Jump Shot (2 PTS),[1628969],1610612751.0,BKN,fadeaway,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,10.63,Made,,,,,2.0,,,,,,,,,,,,,
11,PT10M58.00S,2024-03-06T00:41:58.4Z,1,REGULAR,3pt,Jump Shot,[],1626166,28.33442838370565,75.0,1610612755,2,5,2024-03-06T00:42:05Z,110000,False,-125.0,214.0,1,left,C. Payne 24' 3PT pullup (3 PTS) (K. Lowry 1 AST),"[1626166, 200768]",1610612755.0,PHI,pullup,,,Payne,C. Payne,,,,,Above the Break 3,24+ Left Center,24.77,Made,,,,,3.0,K. Lowry,200768.0,1.0,,,,,,,,,,
12,PT10M44.00S,2024-03-06T00:42:12.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,79.84559789750328,56.372549019607845,1610612751,2,5,2024-03-06T00:42:16Z,120000,False,32.0,137.0,1,right,MISS M. Bridges 14' pullup Shot,[1628969],1610612751.0,BKN,pullup,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,14.07,Missed,,,,,,,,,,,,,,,,,,
13,PT10M41.00S,2024-03-06T00:42:15.7Z,1,REGULAR,rebound,defensive,[],1628964,,,1610612755,2,5,2024-03-06T00:42:16Z,130000,False,,,0,,M. Bamba REBOUND (Off:0 Def:1),[1628964],1610612755.0,PHI,,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M26.00S,2024-03-06T00:42:30.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628964,12.565703022339028,43.872549019607845,1610612755,2,5,2024-03-06T00:42:36Z,140000,False,31.0,66.0,1,left,MISS M. Bamba 7' floating Shot,[1628964],1610612755.0,PHI,floating,,,Bamba,M. Bamba,,,,,In The Paint (Non-RA),0-8 Center,7.24,Missed,,,,,,,,,,,,,,,,,,
