actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-01-07T20:11:02.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-07T20:11:02Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-01-07T20:11:05.2Z,1,REGULAR,jumpball,recovered,[],1629661,,,1610612751,0,0,2024-01-07T20:11:05Z,40000,False,,,0,,Jump Ball N. Claxton vs. D. Reath: Tip to C. Johnson,"[1629661, 1629651, 1641871]",1610612751.0,BKN,startperiod,C. Johnson,1629661.0,Johnson,C. Johnson,Claxton,1629651.0,Reath,1641871.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2024-01-07T20:11:24.0Z,1,REGULAR,turnover,bad pass,[],203915,,,1610612751,0,0,2024-01-07T20:11:27Z,70000,False,,,0,,S. Dinwiddie bad pass TURNOVER (1 TO),"[203915, 1641739]",1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Right Center,1.0,Camara,1641739.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-01-07T20:11:24.0Z,1,REGULAR,steal,,[],1641739,,,1610612757,0,0,2024-01-07T20:11:25Z,80000,False,,,0,,T. Camara STEAL (1 STL),[1641739],1610612757.0,POR,,,,Camara,T. Camara,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M18.00S,2024-01-07T20:11:43.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203924,6.521024967148489,43.872549019607845,1610612757,0,0,2024-01-07T20:11:46Z,90000,False,31.0,9.0,1,left,MISS J. Grant cutting Layup,[203924],1610612757.0,POR,cutting,,,Grant,J. Grant,,,,,Restricted Area,0-8 Center,,,,3.18,Missed,,,,,,,,,,,,,,,
10,PT11M16.00S,2024-01-07T20:11:45.1Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,0,0,2024-01-07T20:11:46Z,100000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M10.00S,2024-01-07T20:11:51.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,93.51182654402102,50.98039215686274,1610612751,2,0,2024-01-07T20:12:00Z,110000,False,5.0,8.0,1,right,N. Claxton turnaround Hook (2 PTS) (S. Dinwiddie 1 AST),"[1629651, 203915]",1610612751.0,BKN,turnaround,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,0.98,Made,,,,,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,
13,PT10M53.00S,2024-01-07T20:12:08.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,15.062417871222076,55.63725490196079,1610612757,2,0,2024-01-07T21:22:21Z,130000,False,-28.0,89.0,1,left,MISS A. Simons 9' fadeaway Shot,[1629014],1610612757.0,POR,fadeaway,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,9.35,Missed,,,,,,,,,,,,,,,
14,PT10M49.00S,2024-01-07T20:12:12.3Z,1,REGULAR,rebound,defensive,[],1629651,,,1610612751,2,0,2024-01-07T20:12:13Z,140000,False,,,0,,N. Claxton REBOUND (Off:0 Def:1),[1629651],1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),8-16 Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M45.00S,2024-01-07T20:12:16.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627827,67.09921156373193,64.4607843137255,1610612751,2,0,2024-01-07T20:12:20Z,150000,False,72.0,257.0,1,right,MISS D. Finney-Smith 26' running 3PT,[1627827],1610612751.0,BKN,running,,,Finney-Smith,D. Finney-Smith,,,,,Above the Break 3,24+ Center,,,,26.68,Missed,,,,,,,,,,,,,,,
