actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-03-31T22:11:05.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-31T22:11:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-03-31T22:11:07.1Z,1,REGULAR,jumpball,recovered,[],1630560,,,1610612751,0,0,2024-03-31T22:11:07Z,40000,False,,,0,,Jump Ball N. Claxton vs. A. Davis: Tip to C. Thomas,"[1630560, 1629651, 203076]",1610612751.0,BKN,startperiod,C. Thomas,1630560.0,Thomas,C. Thomas,Claxton,1629651.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
17,PT11M39.00S,2024-03-31T22:11:16.7Z,1,REGULAR,turnover,out-of-bounds,[],1630560,,,1610612751,0,0,2024-03-31T22:12:35Z,65000,False,,,0,,C. Thomas bad pass out-of-bounds TURNOVER (1 TO),[1630560],1610612751.0,BKN,bad pass,,,Thomas,C. Thomas,,,,,In The Paint (Non-RA),0-8 Center,202041.0,1.0,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2024-03-31T22:11:49.4Z,1,REGULAR,violation,kicked ball,[],1627827,,,1610612747,0,0,2024-03-31T22:16:20Z,120000,False,,,0,,D. Finney-Smith kicked ball VIOLATION,[1627827],1610612751.0,BKN,,,,Finney-Smith,D. Finney-Smith,,,,,,,201245.0,,,,,,,,,,,,,,,,,,,
13,PT11M18.00S,2024-03-31T22:12:01.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630559,14.273981603153747,62.00980392156863,1610612747,0,0,2024-03-31T22:13:01Z,130000,False,-60.0,82.0,1,left,MISS A. Reaves 10' driving floating Shot,[1630559],1610612747.0,LAL,driving floating,,,Reaves,A. Reaves,,,,,In The Paint (Non-RA),8-16 Left,,,10.14,Missed,,,,,,,,,,,,,,,,
14,PT11M18.00S,2024-03-31T22:12:01.2Z,1,REGULAR,rebound,offensive,[],203076,,,1610612747,0,0,2024-03-31T22:13:01Z,140000,False,,,0,,A. Davis REBOUND (Off:1 Def:0),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),8-16 Left,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,
15,PT11M18.00S,2024-03-31T22:12:05.9Z,1,REGULAR,foul,personal,['2freethrow'],1628969,,,1610612747,0,0,2024-03-31T22:12:41Z,150000,False,,,0,,M. Bridges shooting personal FOUL (1 PF) (Davis 2 FT),"[1628969, 203076]",1610612751.0,BKN,shooting,,,Bridges,M. Bridges,,,,,Restricted Area,0-8 Center,1627541.0,,,,,,,,1.0,0.0,Davis,203076.0,,,,,,,,
18,PT11M18.00S,2024-03-31T22:12:35.9Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",203076,,,1610612747,0,1,2024-03-31T22:12:35Z,170000,False,,,0,,A. Davis Free Throw 1 of 2 (1 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,,,,,,,,,1.0,,,,,,,
19,PT11M18.00S,2024-03-31T22:12:54.3Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",203076,,,1610612747,0,2,2024-03-31T22:12:54Z,180000,False,,,0,,A. Davis Free Throw 2 of 2 (2 PTS),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,Made,,,,,,,,,2.0,,,,,,,
20,PT11M02.00S,2024-03-31T22:13:12.2Z,1,REGULAR,2pt,Jump Shot,[],203471,79.97700394218134,74.75490196078431,1610612751,0,2,2024-03-31T22:13:16Z,190000,False,124.0,136.0,1,right,MISS D. Schroder 18' pullup Shot,[203471],1610612751.0,BKN,pullup,,,Schroder,D. Schroder,,,,,Mid-Range,16-24 Right Center,,,18.37,Missed,,,,,,,,,,,,,,,,
21,PT10M58.00S,2024-03-31T22:13:16.2Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,2,2024-03-31T22:13:16Z,200000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Right Center,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
