actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-01T01:40:48.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-01T01:40:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-02-01T01:40:51.2Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612756,0,0,2024-02-01T01:40:51Z,40000,False,,,0,,Jump Ball J. Nurkic vs. N. Claxton: Tip to K. Durant,"[201142, 203994, 1629651]",1610612756.0,PHX,startperiod,K. Durant,201142.0,Durant,K. Durant,Nurkic,203994.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-02-01T01:41:05.1Z,1,REGULAR,foul,personal,[],203915,,,1610612756,0,0,2024-02-01T01:41:35Z,70000,False,,,0,,S. Dinwiddie personal FOUL (1 PF),"[203915, 203994]",1610612751.0,BKN,,,,Dinwiddie,S. Dinwiddie,,,,,Above the Break 3,24+ Center,1162.0,1.0,0.0,Nurkic,203994.0,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-02-01T01:41:34.1Z,1,REGULAR,turnover,out-of-bounds,[],203994,,,1610612756,0,0,2024-02-01T01:41:41Z,90000,False,,,0,,J. Nurkic lost ball out-of-bounds TURNOVER (1 TO),[203994],1610612756.0,PHX,lost ball,,,Nurkic,J. Nurkic,,,,,Restricted Area,0-8 Center,201638.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M09.00S,2024-02-01T01:42:07.9Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",1629651,93.9060446780552,54.41176470588235,1610612751,2,0,2024-02-01T01:42:12Z,100000,False,22.0,5.0,1,right,N. Claxton DUNK (2 PTS) (S. Dinwiddie 1 AST),"[1629651, 203915]",1610612751.0,BKN,,,,Claxton,N. Claxton,,,,,Restricted Area,0-8 Center,,,,,,,2.26,Made,2.0,S. Dinwiddie,203915.0,1.0,,,,,,,,
12,PT10M46.00S,2024-02-01T01:42:29.8Z,1,REGULAR,2pt,Jump Shot,[],1626164,20.844283837056505,48.28431372549019,1610612756,2,0,2024-02-01T01:42:34Z,120000,False,9.0,143.0,1,left,MISS D. Booker 14' pullup Shot,[1626164],1610612756.0,PHX,pullup,,,Booker,D. Booker,,,,,Mid-Range,8-16 Center,,,,,,,14.37,Missed,,,,,,,,,,,,
13,PT10M42.00S,2024-02-01T01:42:33.8Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612751,2,0,2024-02-01T01:42:34Z,130000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612751.0,BKN,,,,Bridges,M. Bridges,,,,,Mid-Range,8-16 Center,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,
14,PT10M33.00S,2024-02-01T01:42:43.2Z,1,REGULAR,2pt,Jump Shot,[],1629661,76.03482260183968,30.637254901960787,1610612751,4,0,2024-02-01T01:42:46Z,140000,False,-97.0,173.0,1,right,C. Johnson 19' pullup Jump Shot (2 PTS) (N. Claxton 1 AST),"[1629661, 1629651]",1610612751.0,BKN,pullup,,,Johnson,C. Johnson,,,,,Mid-Range,16-24 Left Center,,,,,,,19.81,Made,2.0,N. Claxton,1629651.0,1.0,,,,,,,,
16,PT10M11.00S,2024-02-01T01:43:04.7Z,1,REGULAR,2pt,Jump Shot,[],1626164,15.193823915900131,69.36274509803921,1610612756,4,0,2024-02-01T01:43:11Z,160000,False,-97.0,90.0,1,left,MISS D. Booker 13' step back Shot,[1626164],1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,8-16 Left,,,,,,,13.24,Missed,,,,,,,,,,,,
17,PT10M08.00S,2024-02-01T01:43:07.7Z,1,REGULAR,rebound,offensive,[],203994,,,1610612756,4,0,2024-02-01T01:43:11Z,170000,False,,,0,,J. Nurkic REBOUND (Off:1 Def:0),[203994],1610612756.0,PHX,,,,Nurkic,J. Nurkic,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,
